Designator,Footprint,Quantity,Value,LCSC Part #
"BZ1_2, BZ1",BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,2,Buzzer,C94599
"C1_2, C1",0402,2,2.2uF-Ceramic,C23630
"C10_2, C10",CAP-SMD_L3.2-W1.6-RD-C7171,2,10uF-Tantalum,C7171
"C11_2, C11, C5_2, C5, C6_2, C6",0402,6,100nF-Ceramic,C1525
"C2_2, C2",CASE-B_3528,2,100uF-Tantalum,C16133
"C3_2, C3, C8_2, C8",0402,4,10nF,C15195
"C7_2, C7, C9_2, C9",0402,4,10uF,C15525
"D1_2, D1",LED0805-R-RD,2,GREEN,C2297
"D2_2, D2",SOD-123F_L2.7-W1.6-LS3.8-RD,2,Switching-Diode,C81598
"D3_2, D3",LED0805-R-RD,2,RED,C84256
"L1_2, L1",IND-SMD_L3.5-W3.0,2,6.8uH,C492260
"R1_2, R1",0402,2,100k,C25741
"R10_2, R10, R11_2, R11, R12_2, R12, R2_2, R2, R4_2, R4",0402,10,5k1,C25905
"R13_2, R13, R14_2, R14",0402,4,120,C25079
"R15_2, R15",0402,2,1M,C26083
"R16_2, R16",0402,2,200k,C25764
"R17_2, R17",0402,2,20k,C25765
"R3_2, R3",0402,2,47k,C25792
"R5_2, R5, R7_2, R7, R8_2, R8, R9_2, R9",0402,8,10k,C25744
"R6_2, R6",0402,2,2k,C4109
"U1_2, U1",USB-C-SMD_G-SWITCH_GT-USB-7010EN,2,USB-C,C2997435
"U13_2, U13",WIFIM-SMD_61P-L16.6-W13.2-P0.80-ESP32-C6-MINI-1-N4,2,ESP32-C6-MINI-1-N4,C5736265
"U3_2, U3",SENSOR-SMD-6_AHT20,2,AHT20-F,C3012622
"U4_2, U4, U7_2, U7",SW-SMD_L3.9-W3.0-P4.45,4,Tactile-Switch,C720477
"U5_2, U5",VSON-10_L3.0-W3.0-P0.50-BL-EP_TPS62410DRCR,2,3.3V-Regulator,C71369
"U6_2, U6",SENSORS-SMD_ALS-PT19,2,Light sensor,C146233
"U8_2, U8",SW-SMD_MK-12C02-G025,2,Slide-Switch,C778186
