Designator,Mid X,Mid Y,Rotation,Layer
BZ1_5,123.0,-37.5,180.0,top
BZ1_4,97.0,-37.5,180.0,top
BZ1_3,71.0,-37.5,180.0,top
BZ1_2,45.0,-37.5,180.0,top
BZ1,19.0,-37.5,180.0,top
C1_5,14.513691,-24.896977,180.0,top
C1_4,66.513691,-24.896977,180.0,top
C1_3,118.513691,-24.896977,180.0,top
C1_2,40.513691,-24.896977,180.0,top
C1,92.513691,-24.896977,180.0,top
C10_5,66.5,-31.196977,180.0,top
C10_4,118.5,-31.196977,180.0,top
C10_3,40.5,-31.196977,180.0,top
C10_2,92.5,-31.196977,180.0,top
C10,14.5,-31.196977,180.0,top
C2_5,14.5,-22.796977,0.0,top
C2_4,40.5,-22.796977,0.0,top
C2_3,118.5,-22.796977,0.0,top
C2_2,92.5,-22.796977,0.0,top
C2,66.5,-22.796977,0.0,top
C3_5,63.52479,-12.150152,0.0,top
C3_4,11.52479,-12.150152,0.0,top
C3_3,89.52479,-12.150152,0.0,top
C3_2,37.52479,-12.150152,0.0,top
C3,115.52479,-12.150152,0.0,top
C4_5,71.0,-61.0,0.0,bottom
C4_4,97.0,-61.0,0.0,bottom
C4_3,123.0,-61.0,0.0,bottom
C4_2,45.0,-61.0,0.0,bottom
C4,19.0,-61.0,0.0,bottom
C6_5,66.513691,-29.696977,180.0,top
C6_4,92.513691,-29.696977,180.0,top
C6_3,14.513691,-29.696977,180.0,top
C6_2,40.513691,-29.696977,180.0,top
C6,118.513691,-29.696977,180.0,top
C7_5,75.25,-13.3,180.0,top
C7_4,49.25,-13.3,180.0,top
C7_3,127.25,-13.3,180.0,top
C7_2,23.25,-13.3,180.0,top
C7,101.25,-13.3,180.0,top
C8_5,113.524841,-2.35,90.0,top
C8_4,61.524841,-2.35,90.0,top
C8_3,87.524841,-2.35,90.0,top
C8_2,9.524841,-2.35,90.0,top
C8,35.524841,-2.35,90.0,top
C9_5,8.524841,-2.35,90.0,top
C9_4,60.524841,-2.35,90.0,top
C9_3,112.524841,-2.35,90.0,top
C9_2,34.524841,-2.35,90.0,top
C9,86.524841,-2.35,90.0,top
D1_5,80.5,-15.3,180.0,top
D1_4,28.5,-15.3,180.0,top
D1_3,54.5,-15.3,180.0,top
D1_2,132.5,-15.3,180.0,top
D1,106.5,-15.3,180.0,top
D2_5,39.32479,-14.750152,0.0,top
D2_4,13.32479,-14.750152,0.0,top
D2_3,117.32479,-14.750152,0.0,top
D2_2,65.32479,-14.750152,0.0,top
D2,91.32479,-14.750152,0.0,top
D3_5,54.5,-12.96397,180.0,top
D3_4,106.5,-12.96397,180.0,top
D3_3,28.5,-12.96397,180.0,top
D3_2,80.5,-12.96397,180.0,top
D3,132.5,-12.96397,180.0,top
L1_5,18.5,-27.596977,90.0,top
L1_4,70.5,-27.596977,90.0,top
L1_3,122.5,-27.596977,90.0,top
L1_2,96.5,-27.596977,90.0,top
L1,44.5,-27.596977,90.0,top
R1_5,114.29,-25.296977,0.0,top
R1_4,36.29,-25.296977,0.0,top
R1_3,62.29,-25.296977,0.0,top
R1_2,88.29,-25.296977,0.0,top
R1,10.29,-25.296977,0.0,top
R10_5,51.4,-7.8,270.0,top
R10_4,25.4,-7.8,270.0,top
R10_3,103.4,-7.8,270.0,top
R10_2,129.4,-7.8,270.0,top
R10,77.4,-7.8,270.0,top
R11_5,47.7,-23.0,0.0,top
R11_4,125.7,-23.0,0.0,top
R11_3,99.7,-23.0,0.0,top
R11_2,21.7,-23.0,0.0,top
R11,73.7,-23.0,0.0,top
R12_5,125.7,-20.1,0.0,top
R12_4,73.7,-20.1,0.0,top
R12_3,99.7,-20.1,0.0,top
R12_2,47.7,-20.1,0.0,top
R12,21.7,-20.1,0.0,top
R13_5,129.9,-15.3,90.0,top
R13_4,25.9,-15.3,90.0,top
R13_3,51.9,-15.3,90.0,top
R13_2,77.9,-15.3,90.0,top
R13,103.9,-15.3,90.0,top
R14_5,51.9,-13.4,270.0,top
R14_4,25.9,-13.4,270.0,top
R14_3,103.9,-13.4,270.0,top
R14_2,129.9,-13.4,270.0,top
R14,77.9,-13.4,270.0,top
R15_5,114.29,-26.296977,0.0,top
R15_4,88.29,-26.296977,0.0,top
R15_3,10.29,-26.296977,0.0,top
R15_2,62.29,-26.296977,0.0,top
R15,36.29,-26.296977,0.0,top
R16_5,36.79,-27.796977,270.0,top
R16_4,114.79,-27.796977,270.0,top
R16_3,10.79,-27.796977,270.0,top
R16_2,62.79,-27.796977,270.0,top
R16,88.79,-27.796977,270.0,top
R2_5,25.4,-5.9,90.0,top
R2_4,77.4,-5.9,90.0,top
R2_3,51.4,-5.9,90.0,top
R2_2,129.4,-5.9,90.0,top
R2,103.4,-5.9,90.0,top
R3_5,23.25,-14.3,180.0,top
R3_4,49.25,-14.3,180.0,top
R3_3,75.25,-14.3,180.0,top
R3_2,127.25,-14.3,180.0,top
R3,101.25,-14.3,180.0,top
R4_5,37.8,-17.91,90.0,top
R4_4,115.8,-17.91,90.0,top
R4_3,63.8,-17.91,90.0,top
R4_2,11.8,-17.91,90.0,top
R4,89.8,-17.91,90.0,top
R5_5,71.6,-12.35,270.0,top
R5_4,123.6,-12.35,270.0,top
R5_3,45.6,-12.35,270.0,top
R5_2,19.6,-12.35,270.0,top
R5,97.6,-12.35,270.0,top
R6_5,65.0,-16.9,90.0,top
R6_4,117.0,-16.9,90.0,top
R6_3,91.0,-16.9,90.0,top
R6_2,13.0,-16.9,90.0,top
R6,39.0,-16.9,90.0,top
R7_5,21.05,-17.75,180.0,top
R7_4,47.05,-17.75,180.0,top
R7_3,99.05,-17.75,180.0,top
R7_2,125.05,-17.75,180.0,top
R7,73.05,-17.75,180.0,top
R8_5,67.35,-12.65,90.0,top
R8_4,41.35,-12.65,90.0,top
R8_3,93.35,-12.65,90.0,top
R8_2,15.35,-12.65,90.0,top
R8,119.35,-12.65,90.0,top
R9_5,9.024841,-7.15,0.0,top
R9_4,35.024841,-7.15,0.0,top
R9_3,87.024841,-7.15,0.0,top
R9_2,113.024841,-7.15,0.0,top
R9,61.024841,-7.15,0.0,top
U1_5,78.0,-21.6,90.0,top
U1_4,52.0,-21.6,90.0,top
