Designator,Mid X,Mid Y,Rotation,Layer
BZ1_6,138.0,-54.5,180.0,top
BZ1_5,90.0,-54.5,180.0,top
BZ1_4,114.0,-54.5,180.0,top
BZ1_3,66.0,-54.5,180.0,top
BZ1_2,18.0,-54.5,180.0,top
BZ1,42.0,-54.5,180.0,top
C1_6,123.9,-52.8,90.0,top
C1_5,27.9,-52.8,90.0,top
C1_4,147.9,-52.8,90.0,top
C1_3,99.9,-52.8,90.0,top
C1_2,75.9,-52.8,90.0,top
C1,51.9,-52.8,90.0,top
C2_6,56.1,-52.98,90.0,top
C2_5,80.1,-52.98,90.0,top
C2_4,104.1,-52.98,90.0,top
C2_3,128.1,-52.98,90.0,top
C2_2,32.1,-52.98,90.0,top
C2,8.1,-52.98,90.0,top
C3_6,51.3,-54.7,180.0,top
C3_5,123.3,-54.7,180.0,top
C3_4,75.3,-54.7,180.0,top
C3_3,147.3,-54.7,180.0,top
C3_2,27.3,-54.7,180.0,top
C3,99.3,-54.7,180.0,top
C5_6,146.92,-29.1,180.0,top
C5_5,26.92,-29.1,180.0,top
C5_4,122.92,-29.1,180.0,top
C5_3,74.92,-29.1,180.0,top
C5_2,50.92,-29.1,180.0,top
C5,98.92,-29.1,180.0,top
C7_6,24.7,-30.5,90.0,top
C7_5,120.7,-30.5,90.0,top
C7_4,48.7,-30.5,90.0,top
C7_3,72.7,-30.5,90.0,top
C7_2,144.7,-30.5,90.0,top
C7,96.7,-30.5,90.0,top
C8_6,130.0,-27.8,90.0,top
C8_5,106.0,-27.8,90.0,top
C8_4,58.0,-27.8,90.0,top
C8_3,82.0,-27.8,90.0,top
C8_2,34.0,-27.8,90.0,top
C8,10.0,-27.8,90.0,top
C9_6,105.0,-27.8,90.0,top
C9_5,57.0,-27.8,90.0,top
C9_4,81.0,-27.8,90.0,top
C9_3,9.0,-27.8,90.0,top
C9_2,129.0,-27.8,90.0,top
C9,33.0,-27.8,90.0,top
D1_6,98.2,-16.3,180.0,top
D1_5,26.2,-16.3,180.0,top
D1_4,50.2,-16.3,180.0,top
D1_3,74.2,-16.3,180.0,top
D1_2,146.2,-16.3,180.0,top
D1,122.2,-16.3,180.0,top
D2_6,145.5,-56.43495,270.0,top
D2_5,49.5,-56.43495,270.0,top
D2_4,73.5,-56.43495,270.0,top
D2_3,97.5,-56.43495,270.0,top
D2_2,121.5,-56.43495,270.0,top
D2,25.5,-56.43495,270.0,top
D3_6,146.2,-18.099898,180.0,top
D3_5,122.2,-18.099898,180.0,top
D3_4,26.2,-18.099898,180.0,top
D3_3,50.2,-18.099898,180.0,top
D3_2,98.2,-18.099898,180.0,top
D3,74.2,-18.099898,180.0,top
R1_6,26.89,-28.1,180.0,top
R1_5,98.89,-28.1,180.0,top
R1_4,146.89,-28.1,180.0,top
R1_3,122.89,-28.1,180.0,top
R1_2,74.89,-28.1,180.0,top
R1,50.89,-28.1,180.0,top
R10_6,26.5,-23.1,0.0,top
R10_5,74.5,-23.1,0.0,top
R10_4,50.5,-23.1,0.0,top
R10_3,98.5,-23.1,0.0,top
R10_2,146.5,-23.1,0.0,top
R10,122.5,-23.1,0.0,top
R2_6,146.5,-20.9,0.0,top
R2_5,74.5,-20.9,0.0,top
R2_4,122.5,-20.9,0.0,top
R2_3,26.5,-20.9,0.0,top
R2_2,98.5,-20.9,0.0,top
R2,50.5,-20.9,0.0,top
R3_6,50.89,-30.1,180.0,top
R3_5,98.89,-30.1,180.0,top
R3_4,122.89,-30.1,180.0,top
R3_3,146.89,-30.1,180.0,top
R3_2,74.89,-30.1,180.0,top
R3,26.89,-30.1,180.0,top
R4_6,58.51,-29.9,0.0,top
R4_5,130.51,-29.9,0.0,top
R4_4,106.51,-29.9,0.0,top
R4_3,10.51,-29.9,0.0,top
R4_2,82.51,-29.9,0.0,top
R4,34.51,-29.9,0.0,top
R5_6,47.2,-25.1,270.0,top
R5_5,71.2,-25.1,270.0,top
R5_4,95.2,-25.1,270.0,top
R5_3,143.2,-25.1,270.0,top
R5_2,23.2,-25.1,270.0,top
