Designator,Mid X,Mid Y,Rotation,Layer
C1,10.366,-26.536,180.0,top
C2,12.418,-39.624,180.0,top
C3,2.286,-111.506,90.0,top
C5,15.466,-31.242,0.0,top
D2,3.686,-109.155032,0.0,top
D3,13.846,-28.956,180.0,top
D4,17.78,-34.544,270.0,top
J2,17.018,-107.442,0.0,top
Q1,2.606,-30.1475,270.0,top
Q2,13.782,-34.3685,90.0,top
R1,2.046,-15.494,0.0,top
R10,13.46,-31.242,180.0,top
R2,2.03,-12.954,0.0,top
R3,22.608,-19.05,180.0,top
R4,22.604,-16.51,180.0,top
R5,22.584,-22.098,270.0,top
R6,22.858,-9.144,180.0,top
R7,3.81,-111.508,90.0,top
R8,8.89,-108.139032,0.0,top
R9,3.302,-33.276,90.0,top
SW1,7.777,-32.004,90.0,top
U1,12.446,-16.604,270.0,top
U2,12.358,-70.801032,90.0,top
