Designator,Mid X,Mid Y,Rotation,Layer
C1,12.446,-67.818,0.0,top
C2,12.446,-64.77,0.0,top
C3,20.066,-96.52,0.0,top
C5,10.442,-103.378,0.0,top
D2,18.666,-98.552,180.0,top
D3,1.27,-104.27,90.0,top
D4,9.144,-100.2515,90.0,top
J2,17.033,-105.669,90.0,top
Q1,6.096,-105.664,180.0,top
Q2,10.0815,-105.73,180.0,top
R1,22.608,-78.486,180.0,top
R10,3.048,-106.426,270.0,top
R2,22.608,-81.026,180.0,top
R3,2.286,-74.93,0.0,top
R4,2.284,-77.216,0.0,top
R5,2.54,-72.138,90.0,top
R6,2.284,-85.09,0.0,top
R7,20.066,-94.996,0.0,top
R8,12.446,-98.046,90.0,top
R9,3.554,-102.87,0.0,top
SW1,3.81,-98.806,0.0,top
U1,12.446,-77.49000000000001,90.0,top
U2,12.534,-33.846968,270.0,top
