frequency,duty_cycle,measurement,stabilization_time
100,1,4096,0
100,2,4096,0
100,3,4096,0
100,5,4096,0
100,8,4096,0
100,13,4096,0
100,21,4096,0
100,34,4096,0
100,55,4096,0
100,89,4096,0
100,128,4096,0
100,255,4096,0
200,1,4096,0
200,2,4096,0
200,3,4096,0
200,5,4096,0
200,8,4096,0
200,13,4096,0
200,21,4096,0
200,34,4096,0
200,55,4096,0
200,89,4096,0
200,128,4096,0
200,255,4096,0
400,1,4096,0
400,2,4096,0
400,3,4096,0
400,5,4096,0
400,8,4096,0
400,13,4096,0
400,21,4096,0
400,34,4096,0
400,55,4096,0
400,89,4096,0
400,128,4096,0
400,255,4096,0
800,1,4096,0
800,2,4096,0
800,3,4096,0
800,5,4096,0
800,8,4096,0
800,13,4096,0
800,21,4096,0
800,34,4096,0
800,55,4096,0
800,89,4096,0
800,128,4096,0
800,255,4096,0
1600,1,4096,0
1600,2,4096,0
1600,3,4096,0
1600,5,4096,0
1600,8,4096,0
1600,13,4096,0
1600,21,4096,0
1600,34,4096,0
1600,55,4096,0
1600,89,4096,0
1600,128,4096,0
1600,255,4096,0
3200,1,4096,0
3200,2,4096,0
3200,3,4096,0
3200,5,4096,0
3200,8,4096,0
3200,13,4096,0
3200,21,4096,0
3200,34,4096,0
3200,55,4096,0
3200,89,4096,0
3200,128,4096,0
3200,255,4096,0
6400,1,4096,0
6400,2,4096,0
6400,3,4096,0
6400,5,4096,0
6400,8,4096,0
6400,13,4096,0
6400,21,4096,0
6400,34,4096,0
6400,55,4096,0
6400,89,4096,0
6400,128,4096,0
6400,255,4096,0
12800,1,4096,0
12800,2,4096,0
12800,3,4096,0
12800,5,4096,0
12800,8,4096,0
12800,13,4096,0
12800,21,4096,0
12800,34,4096,0
12800,55,4096,0
12800,89,4096,0
12800,128,4096,0
12800,255,4096,0
25600,1,4096,0
25600,2,4096,0
25600,3,4096,0
25600,5,4096,0
25600,8,4096,0
25600,13,4096,0
25600,21,4096,0
25600,34,4096,0
25600,55,4096,0
25600,89,4096,0
25600,128,4096,0
25600,255,4096,0
51200,1,4096,0
51200,2,4096,0
51200,3,4096,0
51200,5,4096,0
51200,8,4096,0
51200,13,4096,0
51200,21,4096,0
51200,34,4096,0
51200,55,4096,0
51200,89,4096,0
51200,128,4096,0
51200,255,4096,0
100000,1,4096,0
100000,2,4096,0
100000,3,4096,0
100000,5,4096,0
100000,8,4096,0
100000,13,4096,0
100000,21,4096,0
100000,34,4096,0
100000,55,4096,0
100000,89,4096,0
100000,128,4096,0
100000,255,4096,0
200000,1,4096,0
200000,2,4096,0
200000,3,4096,0
200000,5,4096,0
200000,8,4096,0
200000,13,4096,0
200000,21,4096,0
200000,34,4096,0
200000,55,4096,0
200000,89,4096,0
200000,128,4096,0
200000,255,4096,0
400000,1,4096,0
400000,2,4096,0
400000,3,4096,0
400000,5,4096,0
400000,8,4096,0
400000,13,4096,0
400000,21,4096,0
400000,34,4096,0
400000,55,4096,0
400000,89,4096,0
400000,128,4096,0
400000,255,4096,0
800000,1,4096,0
800000,2,4096,0
800000,3,4096,0
800000,5,4096,0
800000,8,4096,0
800000,13,4096,0
800000,21,4096,0
800000,34,4096,0
800000,55,4096,0
800000,89,4096,0
800000,128,4096,0
800000,255,4096,0
1600000,1,4096,0
1600000,2,4096,0
1600000,3,4096,0
1600000,5,4096,0
1600000,8,4096,0
1600000,13,4096,0
1600000,21,4096,0
1600000,34,4096,0
1600000,55,4096,0
1600000,89,4096,0
1600000,128,4096,0
1600000,255,4096,0
3200000,1,4096,0
3200000,2,4096,0
3200000,3,4096,0
3200000,5,4096,0
3200000,8,4096,0
3200000,13,4096,0
3200000,21,4096,0
3200000,34,4096,0
3200000,55,4096,0
3200000,89,4096,0
3200000,128,4096,0
3200000,255,4096,0
6400000,1,4096,0
6400000,2,4096,0
6400000,3,4096,0
6400000,5,4096,0
6400000,8,4096,0
6400000,13,4096,0
6400000,21,4096,0
6400000,34,4096,0
6400000,55,4096,0
6400000,89,4096,0
6400000,128,4096,0
6400000,255,4096,0
