frequency,duty_cycle,measurement,stabilization_time
100,1,0,80
100,2,0,80
100,3,0,80
100,5,0,80
100,8,0,80
100,13,0,80
100,21,337,484
100,34,584,404
100,55,906,404
100,89,1290,404
100,128,1589,324
100,255,2114,243
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,0,80
200,13,0,80
200,21,325,565
200,34,574,565
200,55,896,566
200,89,1280,566
200,128,1577,323
200,255,2114,485
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,0,80
400,13,0,80
400,21,291,484
400,34,535,484
400,55,854,403
400,89,1244,404
400,128,1553,404
400,255,2095,323
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,0,80
800,21,240,403
800,34,461,403
800,55,789,403
800,89,1187,403
800,128,1495,403
800,255,2059,323
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,0,80
1600,8,0,80
1600,13,238,323
1600,21,503,403
1600,34,836,403
1600,55,1258,323
1600,89,1697,323
1600,128,1991,323
1600,255,2462,242
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,0,80
3200,13,0,80
3200,21,357,404
3200,34,669,323
3200,55,1090,323
3200,89,1555,322
3200,128,1882,323
3200,255,2400,242
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,0,80
6400,13,0,80
6400,21,199,323
6400,34,459,323
6400,55,839,323
6400,89,1311,323
6400,128,1685,323
6400,255,2296,242
12800,1,0,80
12800,2,0,80
12800,3,0,80
12800,5,0,80
12800,8,226,323
12800,13,514,323
12800,21,920,323
12800,34,1429,323
12800,55,1949,242
12800,89,2414,242
12800,128,2856,161
12800,255,2825,161
25600,1,0,80
25600,2,0,80
25600,3,0,80
25600,5,0,80
25600,8,0,80
25600,13,269,242
25600,21,591,323
25600,34,1041,242
25600,55,1605,242
25600,89,2210,242
25600,128,2855,161
25600,255,2826,323
51200,1,0,80
51200,2,0,80
51200,3,0,80
51200,5,0,80
51200,8,0,80
51200,13,129,242
51200,21,352,242
51200,34,726,242
51200,55,1274,242
51200,89,1997,242
51200,128,2859,485
51200,255,2822,161
100000,1,0,80
100000,2,0,80
100000,3,0,80
100000,5,226,242
100000,8,508,242
100000,13,1010,242
100000,21,1771,242
100000,34,0,80
100000,55,1945,161
100000,89,2855,161
100000,128,2857,161
100000,255,2857,161
200000,1,81,242
200000,2,0,80
200000,3,99,242
200000,5,196,242
200000,8,433,242
200000,13,917,242
200000,21,1707,161
200000,34,81,242
200000,55,1898,161
200000,89,2856,161
200000,128,2857,161
200000,255,2856,161
400000,1,167,242
400000,2,174,242
400000,3,175,242
400000,5,216,242
400000,8,396,242
400000,13,864,242
400000,21,1670,161
400000,34,174,242
400000,55,1877,161
400000,89,2855,161
400000,128,2856,161
400000,255,2857,161
800000,1,301,242
800000,2,258,404
800000,3,272,323
800000,5,270,161
800000,8,380,162
800000,13,835,162
800000,21,1671,162
800000,34,259,404
800000,55,1869,162
800000,89,2855,161
800000,128,2860,323
800000,255,2860,242
1600000,1,341,162
1600000,2,385,324
1600000,3,723,162
1600000,5,1531,162
1600000,8,2855,161
1600000,13,1533,647
1600000,21,2857,161
1600000,34,2857,161
1600000,55,2857,161
1600000,89,2856,161
1600000,128,2857,161
1600000,255,2857,161
3200000,1,451,162
3200000,2,418,324
3200000,3,4096,324
3200000,5,1602,405
3200000,8,2856,161
3200000,13,1603,162
3200000,21,2857,161
3200000,34,2857,161
3200000,55,2857,161
3200000,89,2857,161
3200000,128,2857,161
3200000,255,2857,161
6400000,1,4096,161
6400000,2,4096,161
6400000,3,4096,161
6400000,5,4096,161
6400000,8,2856,161
6400000,13,4096,161
6400000,21,2857,161
6400000,34,2857,161
6400000,55,2857,161
6400000,89,2859,727
6400000,128,2857,161
6400000,255,2859,242
