frequency,duty_cycle,measurement,stabilization_time
100,1,0,81
100,2,0,80
100,3,0,80
100,5,0,80
100,8,0,80
100,13,0,80
100,21,1838,1534
100,34,2214,1292
100,55,2507,1050
100,89,2746,807
100,128,2889,565
100,255,3135,404
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,0,80
200,13,0,80
200,21,1760,1452
200,34,2150,1210
200,55,2471,1049
200,89,2712,726
200,128,2876,645
200,255,3121,403
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,0,80
400,13,0,80
400,21,1615,1452
400,34,2054,1371
400,55,2402,1048
400,89,2666,725
400,128,2837,645
400,255,3105,565
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,0,80
800,21,1360,1291
800,34,1849,1291
800,55,2274,1048
800,89,2591,806
800,128,2770,645
800,255,3050,403
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,0,80
1600,8,0,80
1600,13,1236,1291
1600,21,1767,1129
1600,34,2220,1048
1600,55,2574,725
1600,89,2823,484
1600,128,2982,403
1600,255,3226,323
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,0,80
3200,13,796,1049
3200,21,1310,1130
3200,34,1846,887
3200,55,2332,806
3200,89,2679,564
3200,128,2879,484
3200,255,3165,323
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,0,80
6400,13,0,80
6400,21,818,887
6400,34,1323,806
6400,55,1895,806
6400,89,2387,645
6400,128,2675,484
6400,255,3072,322
12800,1,0,80
12800,2,0,80
12800,3,0,80
12800,5,0,80
12800,8,751,726
12800,13,1261,807
12800,21,1813,645
12800,34,2350,565
12800,55,2771,403
12800,89,3120,323
12800,128,4096,323
12800,255,3398,323
25600,1,0,80
25600,2,0,80
25600,3,0,80
25600,5,0,80
25600,8,405,727
25600,13,738,646
25600,21,1222,645
25600,34,1788,565
25600,55,2359,484
25600,89,2874,323
25600,128,3429,404
25600,255,3387,242
51200,1,0,80
51200,2,0,80
51200,3,0,80
51200,5,0,80
51200,8,0,80
51200,13,444,646
51200,21,780,646
51200,34,1274,565
51200,55,1888,484
51200,89,2580,403
51200,128,3426,242
51200,255,3379,242
100000,1,0,80
100000,2,0,80
100000,3,328,565
100000,5,527,484
100000,8,914,565
100000,13,1487,403
100000,21,2253,323
100000,34,0,80
100000,55,2422,323
100000,89,3430,646
100000,128,4096,646
100000,255,3432,1859
200000,1,358,565
200000,2,346,565
200000,3,343,484
200000,5,446,484
200000,8,760,403
200000,13,1318,404
200000,21,2119,323
200000,34,337,484
200000,55,2298,242
200000,89,4096,242
200000,128,3430,1132
200000,255,4096,1132
400000,1,434,484
400000,2,421,484
400000,3,415,484
400000,5,434,404
400000,8,682,484
400000,13,1231,404
400000,21,2056,323
400000,34,422,484
400000,55,2259,323
400000,89,4096,323
400000,128,4096,323
400000,255,4096,323
800000,1,491,404
800000,2,489,404
800000,3,468,404
800000,5,472,404
800000,8,607,485
800000,13,1166,323
800000,21,2018,323
800000,34,492,485
800000,55,2218,323
800000,89,4096,323
800000,128,4096,323
800000,255,4096,323
1600000,1,554,404
1600000,2,554,323
1600000,3,979,323
1600000,5,1833,323
1600000,8,4096,323
1600000,13,1837,323
1600000,21,4096,323
1600000,34,4096,323
1600000,55,3427,242
1600000,89,4096,242
1600000,128,4096,242
1600000,255,4096,242
3200000,1,580,404
3200000,2,590,647
3200000,3,852,647
3200000,5,1863,1212
3200000,8,4096,1212
3200000,13,1863,1617
3200000,21,4096,1617
3200000,34,4096,1617
3200000,55,3431,323
3200000,89,4096,323
3200000,128,4096,323
3200000,255,4096,323
6400000,1,4096,323
6400000,2,4096,323
6400000,3,4096,323
6400000,5,4096,323
6400000,8,3428,1051
6400000,13,4096,1051
6400000,21,4096,1051
6400000,34,3430,1374
6400000,55,3432,1536
6400000,89,3429,323
6400000,128,4096,323
6400000,255,3430,323
