frequency,duty_cycle,measurement,stabilization_time
100,1,4096,0
100,2,2965,1373
100,3,3157,969
100,5,3282,646
100,8,3384,485
100,13,3462,404
100,21,3513,323
100,34,4096,323
100,55,3629,243
100,89,4096,243
100,128,4096,243
100,255,4096,243
200,1,4096,243
200,2,2798,1692
200,3,3108,1290
200,5,3291,806
200,8,4096,806
200,13,3458,403
200,21,3515,323
200,34,4096,323
200,55,3630,242
200,89,3682,242
200,128,4096,242
200,255,4096,242
400,1,4096,242
400,2,4096,242
400,3,2948,1529
400,5,3236,966
400,8,3364,644
400,13,4096,644
400,21,3510,322
400,34,4096,322
400,55,3628,242
400,89,4096,242
400,128,4096,242
400,255,4096,242
800,1,4096,242
800,2,4096,242
800,3,4096,242
800,5,3087,1126
800,8,3283,805
800,13,3424,483
800,21,4096,483
800,34,4096,483
800,55,3618,242
800,89,4096,242
800,128,4096,242
800,255,4096,242
1600,1,4096,242
1600,2,2541,1931
1600,3,2896,1448
1600,5,3300,805
1600,8,4096,805
1600,13,3502,322
1600,21,4096,322
1600,34,3634,242
1600,55,3694,242
1600,89,4096,242
1600,128,4096,242
1600,255,4096,242
3200,1,1519,1852
3200,2,2319,1770
3200,3,2772,1529
3200,5,3143,966
3200,8,3357,644
3200,13,3465,403
3200,21,3553,322
3200,34,3606,242
3200,55,4096,242
3200,89,4096,242
3200,128,4096,242
3200,255,4096,242
6400,1,1038,1289
6400,2,1871,2012
6400,3,2383,1770
6400,5,2886,1287
6400,8,3198,805
6400,13,3376,483
6400,21,3485,322
6400,34,4096,322
6400,55,3658,242
6400,89,4096,242
6400,128,4096,242
6400,255,4096,242
12800,1,2225,1610
12800,2,2929,1127
12800,3,3196,724
12800,5,3405,483
12800,8,4096,483
12800,13,3594,242
12800,21,3681,242
12800,34,4096,242
12800,55,4096,242
12800,89,4096,242
12800,128,4096,242
12800,255,4096,242
25600,1,1581,1449
25600,2,2384,1207
25600,3,2863,1046
25600,5,3216,644
25600,8,3391,403
25600,13,3509,322
25600,21,3597,242
25600,34,4096,242
25600,55,4096,242
25600,89,4096,242
25600,128,4096,242
25600,255,4096,242
51200,1,947,805
51200,2,1747,1288
51200,3,2257,1126
51200,5,2852,885
51200,8,3176,564
51200,13,3380,403
51200,21,3498,323
51200,34,3599,1293
51200,55,4096,1293
51200,89,4096,1293
51200,128,4096,1293
51200,255,4096,1293
100000,1,1961,1047
100000,2,2776,805
100000,3,3085,483
100000,5,3335,565
100000,8,3463,323
100000,13,3543,161
100000,21,3794,404
100000,34,2768,724
100000,55,3792,242
100000,89,4096,242
100000,128,4096,242
100000,255,4096,242
200000,1,1108,725
200000,2,2041,886
200000,3,2511,644
200000,5,3020,483
200000,8,3263,1858
200000,13,3435,242
200000,21,3529,162
200000,34,2032,725
200000,55,3541,161
200000,89,4096,161
200000,128,4096,161
200000,255,4096,161
400000,1,882,484
400000,2,1156,806
400000,3,1747,725
400000,5,2386,564
400000,8,2930,484
400000,13,3168,1777
400000,21,3415,242
400000,34,1167,645
400000,55,3446,242
400000,89,4096,242
400000,128,4096,242
400000,255,4096,242
800000,1,773,484
800000,2,811,323
800000,3,851,484
800000,5,1595,645
800000,8,2192,483
800000,13,2832,484
800000,21,3084,323
800000,34,852,323
800000,55,3127,323
800000,89,4096,323
800000,128,4096,323
800000,255,4096,323
1600000,1,935,403
1600000,2,1378,565
1600000,3,2022,484
1600000,5,2766,484
1600000,8,4096,484
1600000,13,2775,403
1600000,21,4096,403
1600000,34,4096,403
1600000,55,4096,403
1600000,89,4096,403
1600000,128,4096,403
1600000,255,4096,403
3200000,1,831,1374
3200000,2,4096,1374
3200000,3,4096,1374
3200000,5,4096,1374
3200000,8,4096,1374
3200000,13,2452,727
3200000,21,4096,727
3200000,34,4096,727
3200000,55,4096,727
3200000,89,4096,727
3200000,128,4096,727
3200000,255,4096,727
6400000,1,4096,727
6400000,2,4096,727
6400000,3,4096,727
6400000,5,4096,727
6400000,8,4096,727
6400000,13,4096,727
6400000,21,4096,727
6400000,34,4096,727
6400000,55,4096,727
6400000,89,4096,727
6400000,128,4096,727
6400000,255,4096,727
