frequency,duty_cycle,measurement,stabilization_time
100,1,0,80
100,2,0,80
100,3,0,80
100,5,0,80
100,8,0,80
100,13,0,80
100,21,342,404
100,34,596,404
100,55,920,405
100,89,1304,405
100,128,1603,324
100,255,2125,243
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,0,80
200,13,0,80
200,21,340,485
200,34,591,485
200,55,917,485
200,89,1304,566
200,128,1604,404
200,255,2122,242
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,0,80
400,13,0,80
400,21,315,403
400,34,563,403
400,55,895,404
400,89,1286,404
400,128,1595,404
400,255,2126,323
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,0,80
800,21,287,403
800,34,525,403
800,55,858,403
800,89,1263,403
800,128,1575,403
800,255,2118,323
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,0,80
1600,8,0,80
1600,13,327,403
1600,21,610,403
1600,34,959,403
1600,55,1394,403
1600,89,1817,322
1600,128,2101,323
1600,255,2532,242
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,0,80
3200,13,251,403
3200,21,507,483
3200,34,864,403
3200,55,1307,403
3200,89,1757,322
3200,128,2066,322
3200,255,2517,242
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,0,80
6400,13,0,80
6400,21,394,403
6400,34,719,403
6400,55,1159,403
6400,89,1642,322
6400,128,1984,322
6400,255,2491,242
12800,1,0,80
12800,2,0,80
12800,3,0,80
12800,5,262,403
12800,8,525,403
12800,13,909,403
12800,21,1392,403
12800,34,1898,322
12800,55,2321,241
12800,89,2640,242
12800,128,2860,161
12800,255,2831,161
25600,1,0,80
25600,2,0,80
25600,3,0,80
25600,5,175,322
25600,8,381,403
25600,13,709,403
25600,21,1153,322
25600,34,1679,322
25600,55,2176,241
25600,89,2570,727
25600,128,2860,161
25600,255,2827,161
51200,1,0,80
51200,2,0,80
51200,3,0,80
51200,5,0,80
51200,8,270,322
51200,13,528,322
51200,21,910,322
51200,34,1419,322
51200,55,1958,322
51200,89,2427,242
51200,128,2860,161
51200,255,2827,161
100000,1,85,242
100000,2,209,322
100000,3,351,322
100000,5,657,322
100000,8,1092,322
100000,13,1639,322
100000,21,2189,242
100000,34,211,322
100000,55,2289,242
100000,89,2860,161
100000,128,2860,161
100000,255,2861,161
200000,1,128,242
200000,2,191,242
200000,3,271,242
200000,5,481,322
200000,8,846,322
200000,13,1363,322
200000,21,1968,241
200000,34,193,242
200000,55,2095,241
200000,89,2859,161
200000,128,2860,161
200000,255,2860,161
400000,1,221,242
400000,2,223,242
400000,3,269,242
400000,5,374,242
400000,8,623,322
400000,13,1093,322
400000,21,1742,242
400000,34,224,242
400000,55,1903,161
400000,89,2859,161
400000,128,2860,161
400000,255,2860,161
800000,1,240,161
800000,2,305,161
800000,3,303,161
800000,5,355,242
800000,8,472,242
800000,13,884,242
800000,21,1676,161
800000,34,306,161
800000,55,1872,161
800000,89,2859,161
800000,128,2860,161
800000,255,2860,161
1600000,1,4096,161
1600000,2,431,161
1600000,3,726,161
1600000,5,1533,242
1600000,8,2859,161
1600000,13,1532,161
1600000,21,2859,161
1600000,34,2860,161
1600000,55,2859,161
1600000,89,2859,161
1600000,128,2859,161
1600000,255,2859,161
3200000,1,373,1537
3200000,2,4096,1537
3200000,3,656,1537
3200000,5,4096,1537
3200000,8,2859,161
3200000,13,4096,161
3200000,21,2859,161
3200000,34,2860,161
3200000,55,2859,161
3200000,89,2860,161
3200000,128,2859,161
3200000,255,2859,161
6400000,1,4096,161
6400000,2,4096,161
6400000,3,4096,161
6400000,5,4096,161
6400000,8,2858,161
6400000,13,4096,161
6400000,21,2855,161
6400000,34,2856,161
6400000,55,2856,161
6400000,89,2856,161
6400000,128,2858,161
6400000,255,2858,161
