frequency,duty_cycle,measurement,stabilization_time
100,1,0,80
100,2,0,80
100,3,0,80
100,5,0,80
100,8,0,80
100,13,0,80
100,21,318,485
100,34,549,404
100,55,846,404
100,89,1201,404
100,128,1454,647
100,255,1967,243
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,0,80
200,13,0,80
200,21,317,484
200,34,549,485
200,55,846,485
200,89,1187,404
200,128,1453,323
200,255,1970,242
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,0,80
400,13,0,80
400,21,289,404
400,34,520,484
400,55,818,404
400,89,1168,404
400,128,1440,323
400,255,1968,323
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,0,80
800,21,259,484
800,34,462,403
800,55,770,403
800,89,1126,323
800,128,1406,323
800,255,1946,242
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,0,80
1600,8,0,80
1600,13,273,404
1600,21,525,403
1600,34,834,403
1600,55,1223,323
1600,89,1628,323
1600,128,1908,242
1600,255,2381,242
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,0,80
3200,13,181,323
3200,21,398,403
3200,34,710,403
3200,55,1097,322
3200,89,1519,323
3200,128,1833,242
3200,255,2339,404
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,0,80
6400,13,0,80
6400,21,263,323
6400,34,530,323
6400,55,897,323
6400,89,1338,323
6400,128,1689,323
6400,255,2272,242
12800,1,0,80
12800,2,0,80
12800,3,0,80
12800,5,127,323
12800,8,310,323
12800,13,613,323
12800,21,1018,323
12800,34,1500,323
12800,55,1988,242
12800,89,2403,242
12800,128,2761,161
12800,255,2729,161
25600,1,0,80
25600,2,0,80
25600,3,0,80
25600,5,0,80
25600,8,163,323
25600,13,378,323
25600,21,711,323
25600,34,1157,242
25600,55,1683,242
25600,89,2219,242
25600,128,2762,161
25600,255,2731,161
51200,1,12,485
51200,2,0,80
51200,3,0,80
51200,5,0,80
51200,8,0,80
51200,13,198,242
51200,21,443,323
51200,34,823,242
51200,55,1343,242
51200,89,1987,242
51200,128,2763,161
51200,255,2734,242
100000,1,72,242
100000,2,69,242
100000,3,113,242
100000,5,270,242
100000,8,560,242
100000,13,1043,242
100000,21,1735,161
100000,34,69,242
100000,55,1910,242
100000,89,2764,161
100000,128,2764,161
100000,255,2761,161
200000,1,125,242
200000,2,112,242
200000,3,124,242
200000,5,217,242
200000,8,452,242
200000,13,916,242
200000,21,1659,161
200000,34,109,242
200000,55,1846,161
200000,89,2761,161
200000,128,2760,485
200000,255,2757,161
400000,1,194,242
400000,2,188,242
400000,3,186,242
400000,5,229,242
400000,8,403,242
400000,13,848,242
400000,21,1619,161
400000,34,184,242
400000,55,1826,161
400000,89,2762,161
400000,128,2765,161
400000,255,2763,161
800000,1,295,242
800000,2,257,566
800000,3,266,323
800000,5,271,161
800000,8,379,162
800000,13,819,162
800000,21,1629,162
800000,34,254,242
800000,55,1824,162
800000,89,2765,161
800000,128,2767,161
800000,255,2765,161
1600000,1,332,162
1600000,2,382,162
1600000,3,709,162
1600000,5,1489,162
1600000,8,2768,161
1600000,13,1499,162
1600000,21,2767,161
1600000,34,2764,161
1600000,55,2762,161
1600000,89,2755,485
1600000,128,2753,161
1600000,255,2751,161
3200000,1,434,405
3200000,2,404,324
3200000,3,642,162
3200000,5,1574,1297
3200000,8,2763,161
3200000,13,1574,1297
3200000,21,2763,161
3200000,34,2760,161
3200000,55,2758,161
3200000,89,2757,161
3200000,128,2755,242
3200000,255,2753,161
6400000,1,4096,161
6400000,2,4096,161
6400000,3,4096,161
6400000,5,4096,161
6400000,8,2768,161
6400000,13,4096,161
6400000,21,2767,161
6400000,34,2765,161
6400000,55,2763,161
6400000,89,2762,161
6400000,128,2760,161
6400000,255,2759,161
