frequency,duty_cycle,measurement,stabilization_time
100,1,985,1375
100,2,1362,1049
100,3,1417,726
100,5,1687,646
100,8,1995,565
100,13,2275,485
100,21,2505,404
100,34,2661,1781
100,55,4096,1781
100,89,4096,1781
100,128,4096,1781
100,255,3072,971
200,1,612,727
200,2,806,726
200,3,4096,726
200,5,1735,888
200,8,2014,646
200,13,2243,484
200,21,2435,323
200,34,2610,242
200,55,2754,404
200,89,2884,162
200,128,2965,485
200,255,3090,971
400,1,554,807
400,2,680,807
400,3,905,807
400,5,1587,1453
400,8,1891,726
400,13,2173,484
400,21,2386,322
400,34,2554,970
400,55,2711,970
400,89,2854,161
400,128,4096,161
400,255,4096,161
800,1,528,727
800,2,600,969
800,3,689,726
800,5,1361,1938
800,8,1666,806
800,13,2016,564
800,21,2284,403
800,34,2498,323
800,55,2680,404
800,89,2814,1536
800,128,4096,1536
800,255,4096,1536
1600,1,579,646
1600,2,684,726
1600,3,1085,2020
1600,5,1633,806
1600,8,1884,564
1600,13,2229,322
1600,21,2481,565
1600,34,2675,566
1600,55,2845,161
1600,89,4096,161
1600,128,4096,161
1600,255,3160,485
3200,1,561,646
3200,2,640,726
3200,3,4096,726
3200,5,1419,1130
3200,8,1719,564
3200,13,2029,403
3200,21,2329,322
3200,34,2595,242
3200,55,2797,161
3200,89,4096,161
3200,128,4096,161
3200,255,3153,162
6400,1,498,565
6400,2,547,646
6400,3,652,726
6400,5,1067,1858
6400,8,1479,968
6400,13,1812,564
6400,21,2131,403
6400,34,2430,242
6400,55,2683,646
6400,89,2870,1698
6400,128,4096,1698
6400,255,3139,970
12800,1,701,565
12800,2,1187,1292
12800,3,1512,807
12800,5,1845,484
12800,8,2157,322
12800,13,2470,242
12800,21,2733,566
12800,34,4096,566
12800,55,4096,566
12800,89,3180,647
12800,128,3258,162
12800,255,3247,404
25600,1,623,565
25600,2,889,1373
25600,3,1258,1049
25600,5,1613,564
25600,8,1913,403
25600,13,2232,323
25600,21,2540,242
25600,34,2816,161
25600,55,3019,647
25600,89,3162,728
25600,128,3264,485
25600,255,3243,1618
51200,1,579,646
51200,2,683,727
51200,3,939,1292
51200,5,1389,969
51200,8,1680,484
51200,13,1985,322
51200,21,2295,242
51200,34,2601,566
51200,55,2869,566
51200,89,4096,566
51200,128,3261,404
51200,255,4096,404
100000,1,978,969
100000,2,1460,726
100000,3,1686,403
100000,5,1989,323
100000,8,2288,242
100000,13,2609,161
100000,21,2900,1213
100000,34,1463,645
100000,55,2949,2022
100000,89,3257,243
100000,128,3256,162
100000,255,3255,162
200000,1,718,565
200000,2,1217,1050
200000,3,1472,645
200000,5,1769,403
200000,8,2049,242
200000,13,2364,242
200000,21,2724,161
200000,34,1230,807
200000,55,2800,647
200000,89,4096,647
200000,128,3254,890
200000,255,3250,1456
400000,1,617,565
400000,2,815,565
400000,3,1260,1050
400000,5,1579,565
400000,8,1862,323
400000,13,2183,242
400000,21,2579,161
400000,34,899,726
400000,55,2673,566
400000,89,3260,1051
400000,128,3257,809
400000,255,3257,243
800000,1,552,485
800000,2,650,484
800000,3,819,565
800000,5,1366,726
800000,8,1688,403
800000,13,2054,242
800000,21,2484,161
800000,34,662,484
800000,55,2589,161
800000,89,3274,162
800000,128,3266,809
800000,255,3266,243
1600000,1,853,565
1600000,2,1446,565
1600000,3,1815,323
1600000,5,2285,242
1600000,8,3264,1213
1600000,13,2266,242
1600000,21,3262,485
1600000,34,3261,162
1600000,55,3261,323
1600000,89,3259,243
1600000,128,3255,1456
1600000,255,3254,162
3200000,1,646,485
3200000,2,1138,889
3200000,3,1531,727
3200000,5,2129,242
3200000,8,3268,162
3200000,13,2126,242
3200000,21,3262,485
3200000,34,3254,1699
3200000,55,3253,162
3200000,89,3253,566
3200000,128,3254,243
3200000,255,3253,162
6400000,1,4096,162
6400000,2,4096,162
6400000,3,4096,162
6400000,5,1863,1294
6400000,8,3271,566
6400000,13,1860,1375
6400000,21,3265,971
6400000,34,3265,162
6400000,55,3265,162
6400000,89,3265,243
6400000,128,3264,243
6400000,255,3263,324
