sensor;moisture;r1;r2;c1;frequency;duty_cycle;measurement_wet;stabilization_time_wet;success_wet;measurement_dry;stabilization_time_dry;success_dry;difference;stabilization_time_avg
NPPN;0;10;100000000;2e-12;100;1;331;500;0;514;500;0;183;500,0
NPPN;0;10;100000000;2e-12;100;2;355;500;0;548;500;0;193;500,0
NPPN;0;10;100000000;2e-12;100;3;365;500;0;567;500;0;202;500,0
NPPN;0;10;100000000;2e-12;100;5;400;500;0;604;500;0;204;500,0
NPPN;0;10;100000000;2e-12;100;8;425;500;0;633;500;0;208;500,0
NPPN;0;10;100000000;2e-12;100;13;459;500;0;686;500;0;227;500,0
NPPN;0;10;100000000;2e-12;100;21;503;500;0;736;500;0;233;500,0
NPPN;0;10;100000000;2e-12;100;34;548;500;0;797;500;0;249;500,0
NPPN;0;10;100000000;2e-12;100;55;622;500;0;882;500;0;260;500,0
NPPN;0;10;100000000;2e-12;100;89;746;500;0;993;500;0;247;500,0
NPPN;0;10;100000000;2e-12;100;128;963;500;0;1206;500;0;243;500,0
NPPN;0;10;100000000;2e-12;100;255;1618;500;0;1811;500;0;193;500,0
NPPN;0;10;100000000;2e-12;200;1;381;500;0;539;500;0;158;500,0
NPPN;0;10;100000000;2e-12;200;2;640;500;0;884;500;0;244;500,0
NPPN;0;10;100000000;2e-12;200;3;667;500;0;925;500;0;258;500,0
NPPN;0;10;100000000;2e-12;200;5;727;500;0;1031;500;0;304;500,0
NPPN;0;10;100000000;2e-12;200;8;779;500;0;1079;500;0;300;500,0
NPPN;0;10;100000000;2e-12;200;13;824;500;0;1130;500;0;306;500,0
NPPN;0;10;100000000;2e-12;200;21;876;500;0;1205;500;0;329;500,0
NPPN;0;10;100000000;2e-12;200;34;938;500;0;1278;500;0;340;500,0
NPPN;0;10;100000000;2e-12;200;55;1024;500;0;1357;500;0;333;500,0
NPPN;0;10;100000000;2e-12;200;89;1140;500;0;1469;500;0;329;500,0
NPPN;0;10;100000000;2e-12;200;128;1325;500;0;1640;500;0;315;500,0
NPPN;0;10;100000000;2e-12;200;255;1910;500;0;2158;500;0;248;500,0
NPPN;0;10;100000000;2e-12;400;1;514;500;0;722;500;0;208;500,0
NPPN;0;10;100000000;2e-12;400;2;851;500;0;1112;500;0;261;500,0
NPPN;0;10;100000000;2e-12;400;3;999;500;0;1274;500;0;275;500,0
NPPN;0;10;100000000;2e-12;400;5;1132;500;0;1408;500;0;276;500,0
NPPN;0;10;100000000;2e-12;400;8;1210;500;0;1491;500;0;281;500,0
NPPN;0;10;100000000;2e-12;400;13;1277;500;0;1569;500;0;292;500,0
NPPN;0;10;100000000;2e-12;400;21;1339;500;0;1641;500;0;302;500,0
NPPN;0;10;100000000;2e-12;400;34;1424;500;0;1716;500;0;292;500,0
NPPN;0;10;100000000;2e-12;400;55;1500;500;0;1800;500;0;300;500,0
NPPN;0;10;100000000;2e-12;400;89;1628;500;0;1878;500;0;250;500,0
NPPN;0;10;100000000;2e-12;400;128;1721;500;0;1990;500;0;269;500,0
NPPN;0;10;100000000;2e-12;400;255;2272;500;0;2470;500;0;198;500,0
NPPN;0;10;100000000;2e-12;800;1;614;500;0;825;500;0;211;500,0
NPPN;0;10;100000000;2e-12;800;2;1025;500;0;1276;500;0;251;500,0
NPPN;0;10;100000000;2e-12;800;3;1131;500;0;1373;500;0;242;500,0
NPPN;0;10;100000000;2e-12;800;5;1438;500;0;1662;500;0;224;500,0
NPPN;0;10;100000000;2e-12;800;8;1493;500;0;1689;500;0;196;500,0
NPPN;0;10;100000000;2e-12;800;13;1645;500;0;1858;500;0;213;500,0
NPPN;0;10;100000000;2e-12;800;21;1711;500;0;1921;500;0;210;500,0
NPPN;0;10;100000000;2e-12;800;34;1782;500;0;1987;500;0;205;500,0
NPPN;0;10;100000000;2e-12;800;55;1865;500;0;2073;500;0;208;500,0
NPPN;0;10;100000000;2e-12;800;89;1969;500;0;2154;500;0;185;500,0
NPPN;0;10;100000000;2e-12;800;128;2067;500;0;2239;500;0;172;500,0
NPPN;0;10;100000000;2e-12;800;255;2508;500;0;2657;500;0;149;500,0
