sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;3550;226;1
NPPN;100;2;3619;181;1
NPPN;100;3;3653;136;1
NPPN;100;5;3690;136;1
NPPN;100;8;3723;271;1
NPPN;100;13;3760;136;1
NPPN;100;21;3790;90;1
NPPN;100;34;3833;136;1
NPPN;100;55;3866;90;1
NPPN;100;89;3906;90;1
NPPN;100;128;3946;135;1
NPPN;100;255;4012;135;1
NPPN;200;1;3547;181;1
NPPN;200;2;3618;180;1
NPPN;200;3;3651;135;1
NPPN;200;5;3686;90;1
NPPN;200;8;3725;135;1
NPPN;200;13;3759;90;1
NPPN;200;21;3795;90;1
NPPN;200;34;3830;90;1
NPPN;200;55;3868;90;1
NPPN;200;89;3909;90;1
NPPN;200;128;3939;90;1
NPPN;200;255;4010;180;1
NPPN;400;1;3548;135;1
NPPN;400;2;3608;135;1
NPPN;400;3;3651;135;1
NPPN;400;5;3690;135;1
NPPN;400;8;3721;135;1
NPPN;400;13;3759;135;1
NPPN;400;21;3790;90;1
NPPN;400;34;3826;90;1
NPPN;400;55;3865;90;1
NPPN;400;89;3908;135;1
NPPN;400;128;3938;90;1
NPPN;400;255;4005;135;1
NPPN;800;1;3548;135;1
NPPN;800;2;3609;135;1
NPPN;800;3;3640;135;1
NPPN;800;5;3692;135;1
NPPN;800;8;3718;135;1
NPPN;800;13;3761;135;1
NPPN;800;21;3793;90;1
NPPN;800;34;3829;135;1
NPPN;800;55;3864;90;1
NPPN;800;89;3906;135;1
NPPN;800;128;3937;135;1
NPPN;800;255;4002;135;1
NPPN;1600;1;3618;90;1
NPPN;1600;2;3664;180;1
NPPN;1600;3;3690;135;1
NPPN;1600;5;3736;135;1
NPPN;1600;8;3765;180;1
NPPN;1600;13;3802;90;1
NPPN;1600;21;3837;90;1
NPPN;1600;34;3875;90;1
NPPN;1600;55;3915;90;1
NPPN;1600;89;3956;90;1
NPPN;1600;128;3988;90;1
NPPN;1600;255;4059;180;1
NPPN;3200;1;3636;134;1
NPPN;3200;2;3682;180;1
NPPN;3200;3;3704;90;1
NPPN;3200;5;3735;90;1
NPPN;3200;8;3766;90;1
NPPN;3200;13;3797;90;1
NPPN;3200;21;3831;90;1
NPPN;3200;34;3865;90;1
NPPN;3200;55;3904;135;1
NPPN;3200;89;3942;90;1
NPPN;3200;128;3972;90;1
NPPN;3200;255;4041;90;1
NPPN;6400;1;3654;179;1
NPPN;6400;2;3692;135;1
NPPN;6400;3;3713;135;1
NPPN;6400;5;3736;90;1
NPPN;6400;8;3764;90;1
NPPN;6400;13;3792;135;1
NPPN;6400;21;3822;90;1
NPPN;6400;34;3852;90;1
NPPN;6400;55;3888;90;1
NPPN;6400;89;3923;90;1
NPPN;6400;128;3953;90;1
NPPN;6400;255;4015;90;1
NPPN;12800;1;3726;90;1
NPPN;12800;2;3762;90;1
NPPN;12800;3;3781;90;1
NPPN;12800;5;3813;90;1
NPPN;12800;8;3839;90;1
NPPN;12800;13;3870;90;1
NPPN;12800;21;3901;90;1
NPPN;12800;34;3936;90;1
NPPN;12800;55;3975;90;1
NPPN;12800;89;4020;90;1
NPPN;12800;128;4095;89;1
NPPN;12800;255;4068;225;1
NPPN;25600;1;3730;90;1
NPPN;25600;2;3763;90;1
NPPN;25600;3;3783;90;1
NPPN;25600;5;3793;90;1
NPPN;25600;8;3825;90;1
NPPN;25600;13;3852;90;1
NPPN;25600;21;3879;90;1
NPPN;25600;34;3911;90;1
NPPN;25600;55;3946;90;1
NPPN;25600;89;3985;90;1
NPPN;25600;128;4095;89;1
NPPN;25600;255;4025;90;1
NPPN;51200;1;3713;90;1
NPPN;51200;2;3770;90;1
NPPN;51200;3;3765;90;1
NPPN;51200;5;3788;90;1
NPPN;51200;8;3815;90;1
NPPN;51200;13;3823;90;1
NPPN;51200;21;3859;90;1
NPPN;51200;34;3888;90;1
NPPN;51200;55;3916;90;1
NPPN;51200;89;3952;500;0
NPPN;51200;128;4095;89;1
NPPN;51200;255;3978;90;1
NPPN;100000;1;3739;90;1
NPPN;100000;2;3798;270;1
NPPN;100000;3;3812;90;1
NPPN;100000;5;3834;90;1
NPPN;100000;8;3858;500;0
NPPN;100000;13;3877;500;0
NPPN;100000;21;3917;225;1
NPPN;100000;34;3788;90;1
NPPN;100000;55;3930;500;0
NPPN;100000;89;4095;89;1
