sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;441;500;0
NPPN;100;2;473;500;0
NPPN;100;3;486;500;0
NPPN;100;5;524;500;0
NPPN;100;8;550;500;0
NPPN;100;13;587;500;0
NPPN;100;21;633;500;0
NPPN;100;34;686;500;0
NPPN;100;55;765;500;0
NPPN;100;89;879;500;0
NPPN;100;128;1086;500;0
NPPN;100;255;1705;500;0
NPPN;200;1;491;500;0
NPPN;200;2;782;500;0
NPPN;200;3;811;500;0
NPPN;200;5;903;500;0
NPPN;200;8;2851;500;0
NPPN;200;13;2890;500;0
NPPN;200;21;2936;500;0
NPPN;200;34;2975;500;0
NPPN;200;55;3030;500;0
NPPN;200;89;3097;500;0
NPPN;200;128;3161;500;0
NPPN;200;255;3395;500;0
NPPN;400;1;2470;500;0
NPPN;400;2;2781;500;0
NPPN;400;3;2923;500;0
NPPN;400;5;3016;500;0
NPPN;400;8;3066;500;0
NPPN;400;13;3120;500;0
NPPN;400;21;1669;500;0
NPPN;400;34;1576;500;0
NPPN;400;55;1671;500;0
NPPN;400;89;3313;500;0
NPPN;400;128;1887;500;0
NPPN;400;255;2384;500;0
NPPN;800;1;751;500;0
NPPN;800;2;1161;500;0
NPPN;800;3;1273;500;0
NPPN;800;5;1551;500;0
NPPN;800;8;1606;500;0
NPPN;800;13;1754;500;0
NPPN;800;21;1827;500;0
NPPN;800;34;1896;500;0
NPPN;800;55;1974;500;0
NPPN;800;89;3405;500;0
NPPN;800;128;3448;541;1
NPPN;800;255;3616;500;0
NPPN;1600;1;2896;500;0
NPPN;1600;2;3116;500;0
NPPN;1600;3;3155;500;0
NPPN;1600;5;3262;500;0
NPPN;1600;8;3286;500;0
NPPN;1600;13;3353;500;0
NPPN;1600;21;3386;500;0
NPPN;1600;34;3430;500;0
NPPN;1600;55;3480;500;0
NPPN;1600;89;3557;500;0
NPPN;1600;128;3620;500;0
NPPN;1600;255;3853;500;0
NPPN;3200;1;2960;500;0
NPPN;3200;2;3149;500;0
NPPN;3200;3;3192;406;1
NPPN;3200;5;3263;496;1
NPPN;3200;8;3313;135;1
NPPN;3200;13;3358;135;1
NPPN;3200;21;3398;316;1
NPPN;3200;34;3437;406;1
NPPN;3200;55;3488;500;0
NPPN;3200;89;3551;500;0
NPPN;3200;128;3628;500;0
NPPN;3200;255;3845;500;0
NPPN;6400;1;3121;500;0
NPPN;6400;2;3141;500;0
NPPN;6400;3;3193;500;0
NPPN;6400;5;3263;500;0
NPPN;6400;8;3310;315;1
NPPN;6400;13;3358;90;1
NPPN;6400;21;3399;90;1
NPPN;6400;34;3437;135;1
NPPN;6400;55;3478;500;0
NPPN;6400;89;3548;500;0
NPPN;6400;128;3614;500;0
NPPN;6400;255;3819;500;0
NPPN;12800;1;3319;90;1
NPPN;12800;2;3321;135;1
NPPN;12800;3;3342;90;1
NPPN;12800;5;3391;45;1
NPPN;12800;8;3416;90;1
NPPN;12800;13;3462;451;1
NPPN;12800;21;3535;500;0
NPPN;12800;34;3627;500;0
NPPN;12800;55;3756;500;0
NPPN;12800;89;3952;500;0
NPPN;12800;128;4089;89;1
NPPN;12800;255;4093;90;1
NPPN;25600;1;3325;90;1
NPPN;25600;2;3299;90;1
NPPN;25600;3;3322;90;1
NPPN;25600;5;3372;90;1
NPPN;25600;8;3405;45;1
NPPN;25600;13;3449;500;0
NPPN;25600;21;3508;500;0
NPPN;25600;34;3583;500;0
NPPN;25600;55;3725;500;0
NPPN;25600;89;3920;500;0
NPPN;25600;128;4084;45;1
NPPN;25600;255;4054;45;1
NPPN;51200;1;3314;90;1
NPPN;51200;2;3271;90;1
NPPN;51200;3;3281;45;1
NPPN;51200;5;3345;45;1
NPPN;51200;8;3376;225;1
NPPN;51200;13;3431;500;0
NPPN;51200;21;3489;500;0
NPPN;51200;34;3580;500;0
NPPN;51200;55;3693;500;0
NPPN;51200;89;3882;500;0
NPPN;51200;128;4093;178;1
NPPN;51200;255;4012;45;1
NPPN;100000;1;3396;90;1
NPPN;100000;2;2403;500;0
NPPN;100000;3;2467;500;0
NPPN;100000;5;2561;500;0
NPPN;100000;8;2624;500;0
NPPN;100000;13;3572;500;0
NPPN;100000;21;3711;500;0
NPPN;100000;34;3392;500;0
NPPN;100000;55;3807;500;0
NPPN;100000;89;4082;500;0
NPPN;100000;128;4095;45;1
NPPN;100000;255;4095;45;1
NPPN;200000;1;3398;360;1
NPPN;200000;2;3339;500;0
NPPN;200000;3;3380;500;0
NPPN;200000;5;3400;500;0
NPPN;200000;8;2701;500;0
NPPN;200000;13;2831;500;0
NPPN;200000;21;3753;500;0
NPPN;200000;34;3383;500;0
NPPN;200000;55;3816;500;0
NPPN;200000;89;4072;500;0
NPPN;200000;128;4095;45;1
NPPN;200000;255;4095;45;1
NPPN;400000;1;3424;500;0
NPPN;400000;2;3333;500;0
NPPN;400000;3;3372;500;0
NPPN;400000;5;3442;500;0
NPPN;400000;8;3546;500;0
NPPN;400000;13;3638;500;0
NPPN;400000;21;3813;500;0
NPPN;400000;34;3471;500;0
NPPN;400000;55;3839;500;0
NPPN;400000;89;4092;45;1
NPPN;400000;128;4095;45;1
NPPN;400000;255;4095;45;1
NPPN;800000;1;2940;500;0
NPPN;800000;2;3448;500;0
NPPN;800000;3;3466;500;0
NPPN;800000;5;3534;500;0
NPPN;800000;8;3656;500;0
NPPN;800000;13;3764;500;0
NPPN;800000;21;3912;500;0
NPPN;800000;34;3490;500;0
