sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;3244;500;0
NPPN;100;2;3477;500;0
NPPN;100;3;3534;500;0
NPPN;100;5;3575;495;1
NPPN;100;8;3628;540;1
NPPN;100;13;3661;495;1
NPPN;100;21;3685;405;1
NPPN;100;34;3713;360;1
NPPN;100;55;3758;405;1
NPPN;100;89;3792;405;1
NPPN;100;128;3821;405;1
NPPN;100;255;3878;450;1
NPPN;200;1;3431;500;0
NPPN;200;2;3444;500;0
NPPN;200;3;3524;500;0
NPPN;200;5;3578;494;1
NPPN;200;8;3628;540;1
NPPN;200;13;3664;540;1
NPPN;200;21;3699;540;1
NPPN;200;34;3719;405;1
NPPN;200;55;3755;405;1
NPPN;200;89;3804;540;1
NPPN;200;128;3812;360;1
NPPN;200;255;3882;500;0
NPPN;400;1;3353;500;0
NPPN;400;2;3331;500;0
NPPN;400;3;3510;500;0
NPPN;400;5;3581;500;0
NPPN;400;8;3628;539;1
NPPN;400;13;3655;450;1
NPPN;400;21;3690;405;1
NPPN;400;34;3717;360;1
NPPN;400;55;3757;405;1
NPPN;400;89;3786;360;1
NPPN;400;128;3828;495;1
NPPN;400;255;3882;495;1
NPPN;800;1;3241;500;0
NPPN;800;2;3150;500;0
NPPN;800;3;3416;500;0
NPPN;800;5;3571;500;0
NPPN;800;8;3618;500;0
NPPN;800;13;3660;494;1
NPPN;800;21;3694;450;1
NPPN;800;34;3722;405;1
NPPN;800;55;3762;450;1
NPPN;800;89;3794;405;1
NPPN;800;128;3815;360;1
NPPN;800;255;3873;405;1
NPPN;1600;1;3361;500;0
NPPN;1600;2;3444;500;0
NPPN;1600;3;3555;500;0
NPPN;1600;5;3635;494;1
NPPN;1600;8;3665;449;1
NPPN;1600;13;3712;495;1
NPPN;1600;21;3738;405;1
NPPN;1600;34;3764;360;1
NPPN;1600;55;3823;540;1
NPPN;1600;89;3851;450;1
NPPN;1600;128;3887;540;1
NPPN;1600;255;3927;405;1
NPPN;3200;1;2652;500;0
NPPN;3200;2;3428;500;0
NPPN;3200;3;3564;500;0
NPPN;3200;5;3638;539;1
NPPN;3200;8;3668;449;1
NPPN;3200;13;3707;450;1
NPPN;3200;21;3736;405;1
NPPN;3200;34;3775;405;1
NPPN;3200;55;3819;495;1
NPPN;3200;89;3844;405;1
NPPN;3200;128;3888;540;1
NPPN;3200;255;3939;495;1
NPPN;6400;1;2161;500;0
NPPN;6400;2;3205;500;0
NPPN;6400;3;3511;500;0
NPPN;6400;5;3631;500;0
NPPN;6400;8;3665;449;1
NPPN;6400;13;3709;449;1
NPPN;6400;21;3738;405;1
NPPN;6400;34;3759;315;1
