sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;2343;500;0
NPPN;100;2;3156;500;0
NPPN;100;3;3369;451;1
NPPN;100;5;3527;271;1
NPPN;100;8;3630;361;1
NPPN;100;13;3698;181;1
NPPN;100;21;3756;181;1
NPPN;100;34;3809;136;1
NPPN;100;55;3859;136;1
NPPN;100;89;3907;136;1
NPPN;100;128;3941;136;1
NPPN;100;255;4012;135;1
NPPN;200;1;2344;500;0
NPPN;200;2;2786;500;0
NPPN;200;3;3196;494;1
NPPN;200;5;3500;270;1
NPPN;200;8;3591;270;1
NPPN;200;13;3678;180;1
NPPN;200;21;3748;180;1
NPPN;200;34;3801;135;1
NPPN;200;55;3854;135;1
NPPN;200;89;3902;135;1
NPPN;200;128;3937;135;1
NPPN;200;255;4008;180;1
NPPN;400;1;2240;500;0
NPPN;400;2;2026;500;0
NPPN;400;3;2793;500;0
NPPN;400;5;3276;404;1
NPPN;400;8;3527;224;1
NPPN;400;13;3643;180;1
NPPN;400;21;3727;180;1
NPPN;400;34;3787;135;1
NPPN;400;55;3843;135;1
NPPN;400;89;3893;135;1
NPPN;400;128;3929;135;1
NPPN;400;255;4000;135;1
NPPN;800;1;2005;500;0
NPPN;800;2;1298;500;0
NPPN;800;3;1863;500;0
NPPN;800;5;2814;448;1
NPPN;800;8;3221;359;1
NPPN;800;13;3553;179;1
NPPN;800;21;3678;180;1
NPPN;800;34;3757;135;1
NPPN;800;55;3824;135;1
NPPN;800;89;3881;135;1
NPPN;800;128;3918;135;1
NPPN;800;255;3988;135;1
NPPN;1600;1;2009;500;0
NPPN;1600;2;1451;493;1
NPPN;1600;3;2034;448;1
NPPN;1600;5;2961;359;1
NPPN;1600;8;3339;269;1
NPPN;1600;13;3621;180;1
NPPN;1600;21;3743;135;1
NPPN;1600;34;3816;135;1
NPPN;1600;55;3879;135;1
NPPN;1600;89;3934;135;1
NPPN;1600;128;3970;135;1
NPPN;1600;255;4045;135;1
NPPN;3200;1;1544;500;0
NPPN;3200;2;1085;449;1
NPPN;3200;3;1440;404;1
NPPN;3200;5;2180;359;1
NPPN;3200;8;2824;314;1
NPPN;3200;13;3331;224;1
NPPN;3200;21;3598;135;1
NPPN;3200;34;3745;135;1
NPPN;3200;55;3834;135;1
NPPN;3200;89;3897;90;1
NPPN;3200;128;3942;135;1
NPPN;3200;255;4018;90;1
NPPN;6400;1;1166;448;1
NPPN;6400;2;1196;493;1
NPPN;6400;3;1196;493;1
NPPN;6400;5;1316;314;1
NPPN;6400;8;1934;269;1
NPPN;6400;13;2641;224;1
NPPN;6400;21;3198;180;1
NPPN;6400;34;3536;90;1
NPPN;6400;55;3730;135;1
NPPN;6400;89;3835;90;1
NPPN;6400;128;3894;90;1
NPPN;6400;255;3970;90;1
NPPN;12800;1;1548;500;0
NPPN;12800;2;1301;359;1
NPPN;12800;3;1582;224;1
NPPN;12800;5;2335;224;1
NPPN;12800;8;2980;225;1
NPPN;12800;13;3518;90;1
NPPN;12800;21;3669;90;1
NPPN;12800;34;3813;90;1
NPPN;12800;55;3903;90;1
NPPN;12800;89;3959;90;1
NPPN;12800;128;4083;90;1
NPPN;12800;255;4095;89;1
NPPN;25600;1;1346;269;1
NPPN;25600;2;1385;314;1
NPPN;25600;3;1381;314;1
NPPN;25600;5;1425;180;1
NPPN;25600;8;2066;180;1
NPPN;25600;13;2755;135;1
NPPN;25600;21;3294;135;1
NPPN;25600;34;3598;90;1
NPPN;25600;55;3791;90;1
NPPN;25600;89;3888;135;1
NPPN;25600;128;4043;90;1
NPPN;25600;255;4084;135;1
NPPN;51200;1;1401;224;1
NPPN;51200;2;1445;269;1
NPPN;51200;3;1444;269;1
NPPN;51200;5;1442;269;1
NPPN;51200;8;1439;224;1
NPPN;51200;13;1806;135;1
NPPN;51200;21;2521;135;1
NPPN;51200;34;3135;90;1
NPPN;51200;55;3527;180;1
NPPN;51200;89;3757;315;1
NPPN;51200;128;3997;135;1
NPPN;51200;255;4035;135;1
NPPN;100000;1;874;224;1
NPPN;100000;2;1486;180;1
NPPN;100000;3;1485;180;1
NPPN;100000;5;1537;135;1
NPPN;100000;8;2233;135;1
NPPN;100000;13;2882;180;1
NPPN;100000;21;3515;406;1
NPPN;100000;34;1438;180;1
NPPN;100000;55;3554;270;1
NPPN;100000;89;3954;500;0
NPPN;100000;128;4095;89;1
NPPN;100000;255;4095;89;1
NPPN;200000;1;640;180;1
NPPN;200000;2;1522;225;1
NPPN;200000;3;1523;270;1
NPPN;200000;5;1522;180;1
NPPN;200000;8;1525;180;1
NPPN;200000;13;2237;135;1
NPPN;200000;21;3123;500;0
NPPN;200000;34;1496;315;1
NPPN;200000;55;3221;500;0
NPPN;200000;89;3951;500;0
NPPN;200000;128;4095;89;1
NPPN;200000;255;4095;89;1
NPPN;400000;1;665;135;1
NPPN;400000;2;1558;225;1
NPPN;400000;3;1555;270;1
NPPN;400000;5;1562;315;1
NPPN;400000;8;1564;405;1
NPPN;400000;13;1779;180;1
NPPN;400000;21;2698;500;0
NPPN;400000;34;1509;500;0
NPPN;400000;55;2877;500;0
NPPN;400000;89;3943;500;0
NPPN;400000;128;4095;89;1
NPPN;400000;255;4095;89;1
NPPN;800000;1;692;135;1
NPPN;800000;2;1590;315;1
NPPN;800000;3;1589;500;0
NPPN;800000;5;1580;500;0
NPPN;800000;8;1593;500;0
NPPN;800000;13;1612;500;0
NPPN;800000;21;2558;500;0
NPPN;800000;34;1529;500;0
NPPN;800000;55;2759;500;0
NPPN;800000;89;3886;500;0
NPPN;800000;128;4095;89;1
NPPN;800000;255;4095;89;1
NPPN;1600000;1;724;135;1
NPPN;1600000;2;1598;500;0
NPPN;1600000;3;1603;500;0
NPPN;1600000;5;2324;500;0
NPPN;1600000;8;4079;500;0
NPPN;1600000;13;2345;225;1
NPPN;1600000;21;4095;45;1
NPPN;1600000;34;4095;89;1
NPPN;1600000;55;4095;89;1
NPPN;1600000;89;4095;89;1
NPPN;1600000;128;4095;89;1
NPPN;1600000;255;4095;89;1
