sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;252;500;0
NPPN;100;2;0;45;1
NPPN;100;3;0;45;1
NPPN;100;5;0;45;1
NPPN;100;8;933;500;0
NPPN;100;13;1551;500;0
NPPN;100;21;2083;500;0
NPPN;100;34;2658;500;0
NPPN;100;55;3145;500;0
NPPN;100;89;3481;500;0
NPPN;100;128;3635;500;0
NPPN;100;255;3782;500;0
NPPN;200;1;881;494;1
NPPN;200;2;0;45;1
NPPN;200;3;0;45;1
NPPN;200;5;0;45;1
NPPN;200;8;890;500;0
NPPN;200;13;1488;500;0
NPPN;200;21;2064;500;0
NPPN;200;34;2640;500;0
NPPN;200;55;3137;500;0
NPPN;200;89;3477;500;0
NPPN;200;128;3633;500;0
NPPN;200;255;3784;500;0
NPPN;400;1;719;539;1
NPPN;400;2;0;45;1
NPPN;400;3;0;45;1
NPPN;400;5;0;45;1
NPPN;400;8;758;500;0
NPPN;400;13;1418;500;0
NPPN;400;21;1985;500;0
NPPN;400;34;2573;500;0
NPPN;400;55;3106;500;0
NPPN;400;89;3466;500;0
NPPN;400;128;3631;500;0
NPPN;400;255;3783;500;0
NPPN;800;1;572;449;1
NPPN;800;2;0;45;1
NPPN;800;3;0;45;1
NPPN;800;5;0;45;1
NPPN;800;8;0;45;1
NPPN;800;13;1181;500;0
NPPN;800;21;1907;500;0
NPPN;800;34;2491;500;0
NPPN;800;55;3057;500;0
NPPN;800;89;3448;500;0
NPPN;800;128;3621;500;0
NPPN;800;255;3782;500;0
NPPN;1600;1;621;494;1
NPPN;1600;2;0;45;1
NPPN;1600;3;0;45;1
NPPN;1600;5;717;500;0
NPPN;1600;8;1194;500;0
NPPN;1600;13;1965;500;0
NPPN;1600;21;2645;500;0
NPPN;1600;34;3178;500;0
NPPN;1600;55;3532;500;0
NPPN;1600;89;3705;500;0
NPPN;1600;128;3775;500;0
NPPN;1600;255;3858;449;1
NPPN;3200;1;621;539;1
NPPN;3200;2;0;45;1
NPPN;3200;3;0;45;1
NPPN;3200;5;569;500;0
NPPN;3200;8;1011;500;0
NPPN;3200;13;1659;500;0
NPPN;3200;21;2357;500;0
NPPN;3200;34;3025;500;0
NPPN;3200;55;3482;500;0
NPPN;3200;89;3679;500;0
NPPN;3200;128;3763;500;0
NPPN;3200;255;3860;539;1
NPPN;6400;1;636;500;0
NPPN;6400;2;0;45;1
NPPN;6400;3;0;45;1
NPPN;6400;5;0;45;1
NPPN;6400;8;725;500;0
NPPN;6400;13;1258;500;0
NPPN;6400;21;1949;500;0
NPPN;6400;34;2688;500;0
NPPN;6400;55;3292;500;0
NPPN;6400;89;3624;500;0
NPPN;6400;128;3732;500;0
NPPN;6400;255;3847;494;1
NPPN;12800;1;674;500;0
NPPN;12800;2;546;500;0
NPPN;12800;3;807;500;0
NPPN;12800;5;1364;500;0
NPPN;12800;8;2075;500;0
NPPN;12800;13;2820;500;0
NPPN;12800;21;3386;500;0
NPPN;12800;34;3670;500;0
NPPN;12800;55;3794;538;1
NPPN;12800;89;3860;449;1
NPPN;12800;128;3944;494;1
NPPN;12800;255;3937;494;1
NPPN;25600;1;635;500;0
NPPN;25600;2;471;500;0
NPPN;25600;3;580;500;0
NPPN;25600;5;910;500;0
NPPN;25600;8;1433;500;0
NPPN;25600;13;2178;500;0
NPPN;25600;21;2905;500;0
NPPN;25600;34;3494;500;0
NPPN;25600;55;3696;493;1
NPPN;25600;89;3822;494;1
NPPN;25600;128;3932;449;1
NPPN;25600;255;3929;494;1
NPPN;51200;1;774;500;0
NPPN;51200;2;679;500;0
NPPN;51200;3;662;500;0
NPPN;51200;5;714;500;0
NPPN;51200;8;920;500;0
NPPN;51200;13;1429;500;0
NPPN;51200;21;2149;500;0
NPPN;51200;34;2871;500;0
NPPN;51200;55;3458;500;0
NPPN;51200;89;3695;449;1
NPPN;51200;128;3927;500;0
NPPN;51200;255;3910;404;1
NPPN;100000;1;519;500;0
NPPN;100000;2;900;500;0
NPPN;100000;3;953;500;0
NPPN;100000;5;1313;500;0
NPPN;100000;8;1980;500;0
NPPN;100000;13;2742;500;0
NPPN;100000;21;3450;500;0
NPPN;100000;34;929;500;0
NPPN;100000;55;3542;500;0
NPPN;100000;89;3908;500;0
NPPN;100000;128;3948;449;1
NPPN;100000;255;3948;449;1
NPPN;200000;1;514;500;0
NPPN;200000;2;1104;500;0
NPPN;200000;3;1102;500;0
NPPN;200000;5;1130;500;0
NPPN;200000;8;1333;500;0
NPPN;200000;13;2069;500;0
NPPN;200000;21;2924;500;0
NPPN;200000;34;1107;500;0
NPPN;200000;55;3125;500;0
NPPN;200000;89;3907;500;0
NPPN;200000;128;3952;494;1
NPPN;200000;255;3956;494;1
NPPN;400000;1;535;495;1
NPPN;400000;2;1236;500;0
NPPN;400000;3;1249;500;0
NPPN;400000;5;1238;500;0
NPPN;400000;8;1273;500;0
NPPN;400000;13;1635;500;0
NPPN;400000;21;2621;540;1
NPPN;400000;34;1244;500;0
NPPN;400000;55;2845;500;0
NPPN;400000;89;3909;500;0
NPPN;400000;128;3950;449;1
NPPN;400000;255;3950;449;1
NPPN;800000;1;518;315;1
NPPN;800000;2;1388;500;0
NPPN;800000;3;1330;500;0
NPPN;800000;5;1323;500;0
NPPN;800000;8;1331;500;0
NPPN;800000;13;1435;500;0
