sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;134;315;1
NPPN;100;2;0;45;1
NPPN;100;3;0;45;1
NPPN;100;5;0;45;1
NPPN;100;8;0;45;1
NPPN;100;13;652;500;0
NPPN;100;21;1064;500;0
NPPN;100;34;1630;500;0
NPPN;100;55;2262;500;0
NPPN;100;89;2829;500;0
NPPN;100;128;3172;500;0
NPPN;100;255;3579;495;1
NPPN;200;1;519;180;1
NPPN;200;2;0;45;1
NPPN;200;3;0;45;1
NPPN;200;5;0;45;1
NPPN;200;8;0;45;1
NPPN;200;13;420;500;0
NPPN;200;21;716;500;0
NPPN;200;34;1169;500;0
NPPN;200;55;1781;500;0
NPPN;200;89;2439;500;0
NPPN;200;128;2868;500;0
NPPN;200;255;3470;404;1
NPPN;400;1;526;494;1
NPPN;400;2;436;500;0
NPPN;400;3;419;500;0
NPPN;400;5;0;45;1
NPPN;400;8;0;45;1
NPPN;400;13;435;500;0
NPPN;400;21;487;500;0
NPPN;400;34;683;493;1
NPPN;400;55;1128;500;0
NPPN;400;89;1745;538;1
NPPN;400;128;2264;500;0
NPPN;400;255;3110;493;1
NPPN;800;1;658;500;0
NPPN;800;2;653;500;0
NPPN;800;3;649;500;0
NPPN;800;5;650;500;0
NPPN;800;8;650;500;0
NPPN;800;13;651;500;0
NPPN;800;21;658;500;0
NPPN;800;34;671;500;0
NPPN;800;55;727;500;0
NPPN;800;89;1001;359;1
NPPN;800;128;1417;403;1
NPPN;800;255;2411;403;1
NPPN;1600;1;856;500;0
NPPN;1600;2;876;500;0
NPPN;1600;3;876;500;0
NPPN;1600;5;877;500;0
NPPN;1600;8;875;500;0
NPPN;1600;13;878;500;0
NPPN;1600;21;917;500;0
NPPN;1600;34;892;500;0
NPPN;1600;55;929;500;0
NPPN;1600;89;1166;314;1
NPPN;1600;128;1615;269;1
NPPN;1600;255;2704;269;1
NPPN;3200;1;1067;500;0
NPPN;3200;2;1080;500;0
NPPN;3200;3;1081;500;0
NPPN;3200;5;1082;500;0
NPPN;3200;8;1081;500;0
NPPN;3200;13;1083;500;0
NPPN;3200;21;1085;500;0
NPPN;3200;34;1090;500;0
NPPN;3200;55;1095;500;0
NPPN;3200;89;1117;500;0
NPPN;3200;128;1197;314;1
NPPN;3200;255;2223;269;1
NPPN;6400;1;1229;493;1
NPPN;6400;2;1232;448;1
NPPN;6400;3;1243;538;1
NPPN;6400;5;1232;448;1
NPPN;6400;8;1232;448;1
NPPN;6400;13;1232;448;1
NPPN;6400;21;1246;500;0
NPPN;6400;34;1250;538;1
NPPN;6400;55;1255;538;1
NPPN;6400;89;1263;538;1
NPPN;6400;128;1264;449;1
NPPN;6400;255;1946;269;1
NPPN;12800;1;1310;404;1
NPPN;12800;2;1347;404;1
NPPN;12800;3;1349;404;1
NPPN;12800;5;1353;449;1
NPPN;12800;8;1351;404;1
NPPN;12800;13;1352;404;1
NPPN;12800;21;1357;404;1
NPPN;12800;34;1367;404;1
NPPN;12800;55;1558;314;1
NPPN;12800;89;2597;224;1
NPPN;12800;128;3865;179;1
NPPN;12800;255;3928;224;1
NPPN;25600;1;1384;269;1
NPPN;25600;2;1426;314;1
NPPN;25600;3;1423;269;1
NPPN;25600;5;1427;314;1
NPPN;25600;8;1431;314;1
NPPN;25600;13;1432;314;1
NPPN;25600;21;1436;314;1
NPPN;25600;34;1445;359;1
NPPN;25600;55;1525;225;1
NPPN;25600;89;2557;224;1
NPPN;25600;128;3790;180;1
NPPN;25600;255;3914;179;1
NPPN;51200;1;1431;224;1
NPPN;51200;2;1487;224;1
NPPN;51200;3;1486;224;1
NPPN;51200;5;1487;224;1
NPPN;51200;8;1486;225;1
NPPN;51200;13;1487;224;1
NPPN;51200;21;1490;225;1
NPPN;51200;34;1496;269;1
NPPN;51200;55;1532;179;1
NPPN;51200;89;2546;224;1
NPPN;51200;128;3692;315;1
NPPN;51200;255;3899;224;1
NPPN;100000;1;1054;270;1
NPPN;100000;2;1529;180;1
NPPN;100000;3;1532;180;1
NPPN;100000;5;1533;359;1
NPPN;100000;8;1538;539;1
NPPN;100000;13;1552;315;1
NPPN;100000;21;2390;224;1
NPPN;100000;34;1516;225;1
NPPN;100000;55;2637;224;1
NPPN;100000;89;3577;90;1
NPPN;100000;128;4033;224;1
NPPN;100000;255;4038;314;1
NPPN;200000;1;658;180;1
NPPN;200000;2;1575;315;1
NPPN;200000;3;1577;225;1
NPPN;200000;5;1577;495;1
NPPN;200000;8;1579;225;1
NPPN;200000;13;1583;225;1
NPPN;200000;21;2385;225;1
NPPN;200000;34;1554;270;1
NPPN;200000;55;2628;225;1
NPPN;200000;89;3522;180;1
NPPN;200000;128;4031;269;1
NPPN;200000;255;4033;269;1
NPPN;400000;1;685;135;1
NPPN;400000;2;1602;180;1
NPPN;400000;3;1603;500;0
NPPN;400000;5;1601;135;1
NPPN;400000;8;997;270;1
NPPN;400000;13;1610;180;1
NPPN;400000;21;2384;225;1
NPPN;400000;34;1582;225;1
NPPN;400000;55;2571;224;1
NPPN;400000;89;3156;500;0
NPPN;400000;128;4033;269;1
NPPN;400000;255;4033;224;1
NPPN;800000;1;713;135;1
NPPN;800000;2;1630;500;0
NPPN;800000;3;1630;500;0
NPPN;800000;5;1643;500;0
NPPN;800000;8;1631;500;0
NPPN;800000;13;1636;500;0
NPPN;800000;21;2412;500;0
NPPN;800000;34;1551;500;0
NPPN;800000;55;2627;500;0
NPPN;800000;89;2964;500;0
NPPN;800000;128;4035;314;1
NPPN;800000;255;4032;224;1
NPPN;1600000;1;743;135;1
NPPN;1600000;2;1650;500;0
NPPN;1600000;3;1668;500;0
NPPN;1600000;5;2257;500;0
NPPN;1600000;8;2743;500;0
NPPN;1600000;13;2253;180;1
NPPN;1600000;21;3018;500;0
NPPN;1600000;34;4032;224;1
NPPN;1600000;55;4037;269;1
NPPN;1600000;89;4035;224;1
NPPN;1600000;128;4037;269;1
NPPN;1600000;255;4035;224;1
NPPN;3200000;1;730;500;0
NPPN;3200000;2;1452;500;0
NPPN;3200000;3;1712;500;0
NPPN;3200000;5;2290;500;0
NPPN;3200000;8;3022;500;0
NPPN;3200000;13;2338;500;0
NPPN;3200000;21;2895;500;0
NPPN;3200000;34;4039;269;1
NPPN;3200000;55;4034;224;1
NPPN;3200000;89;4038;269;1
NPPN;3200000;128;4037;269;1
NPPN;3200000;255;4038;269;1
NPPN;6400000;1;754;500;0
