sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;24;500;0
NPPN;100;2;24;500;0
NPPN;100;3;26;500;0
NPPN;100;5;39;500;0
NPPN;100;8;70;500;0
NPPN;100;13;129;500;0
NPPN;100;21;251;500;0
NPPN;100;34;408;500;0
NPPN;100;55;593;500;0
NPPN;100;89;780;500;0
NPPN;100;128;950;500;0
NPPN;100;255;1537;500;0
NPPN;200;1;69;500;0
NPPN;200;2;37;500;0
NPPN;200;3;37;500;0
NPPN;200;5;42;500;0
NPPN;200;8;49;500;0
NPPN;200;13;81;500;0
NPPN;200;21;190;500;0
NPPN;200;34;374;500;0
NPPN;200;55;619;500;0
NPPN;200;89;949;500;0
NPPN;200;128;1204;500;0
NPPN;200;255;1773;500;0
NPPN;400;1;70;500;0
NPPN;400;2;41;500;0
NPPN;400;3;40;500;0
NPPN;400;5;44;500;0
NPPN;400;8;51;500;0
NPPN;400;13;60;500;0
NPPN;400;21;102;500;0
NPPN;400;34;230;500;0
NPPN;400;55;474;500;0
NPPN;400;89;834;500;0
NPPN;400;128;1176;500;0
NPPN;400;255;1902;500;0
NPPN;800;1;81;500;0
NPPN;800;2;55;500;0
NPPN;800;3;53;500;0
NPPN;800;5;61;500;0
NPPN;800;8;64;500;0
NPPN;800;13;62;500;0
NPPN;800;21;64;500;0
NPPN;800;34;104;500;0
NPPN;800;55;254;500;0
NPPN;800;89;536;500;0
NPPN;800;128;833;500;0
NPPN;800;255;1670;500;0
NPPN;1600;1;180;500;0
NPPN;1600;2;87;500;0
NPPN;1600;3;88;500;0
NPPN;1600;5;84;500;0
NPPN;1600;8;87;500;0
NPPN;1600;13;102;500;0
NPPN;1600;21;113;500;0
NPPN;1600;34;205;500;0
NPPN;1600;55;430;500;0
NPPN;1600;89;838;500;0
NPPN;1600;128;1264;500;0
NPPN;1600;255;2410;500;0
NPPN;3200;1;239;500;0
NPPN;3200;2;113;500;0
NPPN;3200;3;117;500;0
NPPN;3200;5;115;500;0
NPPN;3200;8;118;500;0
NPPN;3200;13;131;500;0
NPPN;3200;21;142;500;0
NPPN;3200;34;172;500;0
