sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;0;45;1
NPPN;100;2;0;45;1
NPPN;100;3;0;44;1
NPPN;100;5;0;45;1
NPPN;100;8;0;45;1
NPPN;100;13;0;44;1
NPPN;100;21;0;45;1
NPPN;100;34;0;45;1
NPPN;100;55;0;45;1
NPPN;100;89;0;45;1
NPPN;100;128;0;45;1
NPPN;100;255;0;45;1
NPPN;200;1;0;45;1
NPPN;200;2;0;45;1
NPPN;200;3;0;45;1
NPPN;200;5;0;45;1
NPPN;200;8;0;45;1
NPPN;200;13;0;45;1
NPPN;200;21;0;45;1
NPPN;200;34;0;45;1
NPPN;200;55;0;45;1
NPPN;200;89;0;44;1
NPPN;200;128;0;45;1
NPPN;200;255;0;45;1
NPPN;400;1;0;45;1
NPPN;400;2;0;45;1
NPPN;400;3;0;45;1
NPPN;400;5;0;45;1
NPPN;400;8;0;45;1
NPPN;400;13;0;45;1
NPPN;400;21;0;45;1
NPPN;400;34;0;44;1
NPPN;400;55;0;45;1
NPPN;400;89;0;45;1
NPPN;400;128;0;45;1
NPPN;400;255;0;45;1
NPPN;800;1;0;45;1
NPPN;800;2;0;45;1
NPPN;800;3;0;45;1
NPPN;800;5;0;45;1
NPPN;800;8;0;44;1
NPPN;800;13;0;44;1
NPPN;800;21;0;44;1
NPPN;800;34;10;46;1
NPPN;800;55;0;45;1
NPPN;800;89;110;500;0
NPPN;800;128;0;45;1
NPPN;800;255;0;45;1
NPPN;1600;1;0;45;1
NPPN;1600;2;0;45;1
NPPN;1600;3;24;45;1
NPPN;1600;5;0;45;1
NPPN;1600;8;0;45;1
NPPN;1600;13;0;45;1
NPPN;1600;21;0;45;1
NPPN;1600;34;16;91;1
NPPN;1600;55;0;45;1
NPPN;1600;89;0;45;1
NPPN;1600;128;0;45;1
NPPN;1600;255;0;45;1
NPPN;3200;1;0;45;1
NPPN;3200;2;0;45;1
NPPN;3200;3;0;45;1
NPPN;3200;5;0;45;1
NPPN;3200;8;0;45;1
NPPN;3200;13;0;45;1
NPPN;3200;21;0;45;1
NPPN;3200;34;0;45;1
NPPN;3200;55;0;45;1
NPPN;3200;89;0;45;1
NPPN;3200;128;0;45;1
NPPN;3200;255;0;45;1
NPPN;6400;1;0;45;1
NPPN;6400;2;0;45;1
NPPN;6400;3;0;45;1
NPPN;6400;5;0;45;1
NPPN;6400;8;0;45;1
NPPN;6400;13;0;45;1
NPPN;6400;21;0;45;1
NPPN;6400;34;0;45;1
NPPN;6400;55;0;45;1
NPPN;6400;89;0;45;1
NPPN;6400;128;0;45;1
NPPN;6400;255;0;45;1
NPPN;12800;1;0;45;1
NPPN;12800;2;0;45;1
NPPN;12800;3;0;45;1
NPPN;12800;5;0;45;1
NPPN;12800;8;0;45;1
NPPN;12800;13;0;45;1
NPPN;12800;21;0;45;1
NPPN;12800;34;0;45;1
NPPN;12800;55;0;45;1
NPPN;12800;89;935;500;0
NPPN;12800;128;1402;500;0
NPPN;12800;255;1454;500;0
NPPN;25600;1;590;500;0
NPPN;25600;2;462;500;0
NPPN;25600;3;435;500;0
NPPN;25600;5;428;500;0
NPPN;25600;8;428;500;0
NPPN;25600;13;429;500;0
NPPN;25600;21;446;500;0
NPPN;25600;34;534;500;0
NPPN;25600;55;710;500;0
NPPN;25600;89;1050;500;0
NPPN;25600;128;1444;500;0
NPPN;25600;255;1474;500;0
NPPN;51200;1;769;500;0
NPPN;51200;2;706;500;0
NPPN;51200;3;702;500;0
NPPN;51200;5;687;500;0
NPPN;51200;8;687;500;0
NPPN;51200;13;684;500;0
NPPN;51200;21;690;500;0
NPPN;51200;34;732;500;0
NPPN;51200;55;875;500;0
NPPN;51200;89;1176;500;0
NPPN;51200;128;1485;500;0
NPPN;51200;255;1479;500;0
NPPN;100000;1;592;500;0
NPPN;100000;2;929;500;0
NPPN;100000;3;936;500;0
NPPN;100000;5;931;500;0
NPPN;100000;8;932;500;0
NPPN;100000;13;1049;500;0
NPPN;100000;21;1279;500;0
