sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;515;500;0
NPPN;100;2;534;500;0
NPPN;100;3;538;500;0
NPPN;100;5;598;500;0
NPPN;100;8;642;500;0
NPPN;100;13;677;500;0
NPPN;100;21;729;500;0
NPPN;100;34;793;500;0
NPPN;100;55;866;500;0
NPPN;100;89;984;500;0
NPPN;100;128;1190;500;0
NPPN;100;255;1814;500;0
NPPN;200;1;535;500;0
NPPN;200;2;879;500;0
NPPN;200;3;913;500;0
NPPN;200;5;1000;500;0
NPPN;200;8;1071;500;0
NPPN;200;13;1122;500;0
NPPN;200;21;1185;500;0
NPPN;200;34;1265;500;0
NPPN;200;55;1343;500;0
NPPN;200;89;1455;500;0
NPPN;200;128;1616;500;0
NPPN;200;255;2149;500;0
NPPN;400;1;647;500;0
NPPN;400;2;1087;500;0
NPPN;400;3;1260;500;0
NPPN;400;5;1397;500;0
NPPN;400;8;1467;500;0
NPPN;400;13;1566;500;0
NPPN;400;21;1632;500;0
NPPN;400;34;1702;500;0
NPPN;400;55;1780;500;0
NPPN;400;89;1877;500;0
NPPN;400;128;2003;500;0
NPPN;400;255;2466;500;0
NPPN;800;1;641;500;0
NPPN;800;2;1176;500;0
NPPN;800;3;1319;500;0
NPPN;800;5;1653;500;0
NPPN;800;8;1692;500;0
NPPN;800;13;1852;500;0
NPPN;800;21;1916;500;0
NPPN;800;34;1985;500;0
NPPN;800;55;2074;500;0
NPPN;800;89;2169;500;0
NPPN;800;128;2248;500;0
NPPN;800;255;2670;500;0
NPPN;1600;1;1094;500;0
NPPN;1600;2;1558;500;0
NPPN;1600;3;1649;500;0
NPPN;1600;5;1945;500;0
NPPN;1600;8;1960;500;0
NPPN;1600;13;2112;500;0
NPPN;1600;21;2165;500;0
NPPN;1600;34;2241;500;0
NPPN;1600;55;2349;500;0
NPPN;1600;89;2557;500;0
NPPN;1600;128;2723;500;0
NPPN;1600;255;3403;500;0
NPPN;3200;1;978;500;0
NPPN;3200;2;1598;500;0
NPPN;3200;3;1707;500;0
NPPN;3200;5;1936;500;0
NPPN;3200;8;2054;500;0
NPPN;3200;13;2160;500;0
NPPN;3200;21;2238;500;0
NPPN;3200;34;2311;500;0
NPPN;3200;55;2419;500;0
NPPN;3200;89;2535;500;0
NPPN;3200;128;2761;500;0
NPPN;3200;255;3339;500;0
NPPN;6400;1;649;500;0
NPPN;6400;2;1368;500;0
NPPN;6400;3;1619;500;0
NPPN;6400;5;1934;500;0
NPPN;6400;8;2075;500;0
NPPN;6400;13;2194;500;0
NPPN;6400;21;2273;500;0
NPPN;6400;34;2348;500;0
NPPN;6400;55;2402;500;0
NPPN;6400;89;2590;500;0
NPPN;6400;128;2793;500;0
NPPN;6400;255;3301;500;0
NPPN;12800;1;1693;500;0
NPPN;12800;2;2081;500;0
NPPN;12800;3;2145;500;0
NPPN;12800;5;2277;500;0
NPPN;12800;8;2332;500;0
NPPN;12800;13;2401;500;0
NPPN;12800;21;2742;500;0
NPPN;12800;34;2847;500;0
NPPN;12800;55;3226;500;0
NPPN;12800;89;3737;500;0
NPPN;12800;128;4077;89;1
NPPN;12800;255;4095;44;1
NPPN;25600;1;1152;500;0
NPPN;25600;2;1778;500;0
NPPN;25600;3;2032;500;0
NPPN;25600;5;2252;500;0
NPPN;25600;8;2322;500;0
NPPN;25600;13;2408;315;1
NPPN;25600;21;2604;500;0
NPPN;25600;34;2983;500;0
NPPN;25600;55;3284;500;0
NPPN;25600;89;3698;500;0
NPPN;25600;128;4064;358;1
NPPN;25600;255;4095;44;1
NPPN;51200;1;649;500;0
NPPN;51200;2;1237;500;0
NPPN;51200;3;1633;500;0
NPPN;51200;5;2074;500;0
NPPN;51200;8;2269;500;0
NPPN;51200;13;2408;500;0
NPPN;51200;21;2595;500;0
NPPN;51200;34;2788;500;0
NPPN;51200;55;3114;500;0
NPPN;51200;89;3757;500;0
NPPN;51200;128;4091;534;1
NPPN;51200;255;4095;44;1
NPPN;100000;1;1407;500;0
NPPN;100000;2;2040;500;0
NPPN;100000;3;2276;500;0
NPPN;100000;5;2428;500;0
NPPN;100000;8;2644;500;0
NPPN;100000;13;2715;500;0
NPPN;100000;21;3321;500;0
NPPN;100000;34;1896;500;0
NPPN;100000;55;3457;500;0
NPPN;100000;89;4021;500;0
NPPN;100000;128;4095;45;1
NPPN;100000;255;4095;45;1
NPPN;200000;1;742;500;0
NPPN;200000;2;1484;500;0
NPPN;200000;3;1802;500;0
NPPN;200000;5;2307;500;0
NPPN;200000;8;2584;500;0
NPPN;200000;13;2987;500;0
NPPN;200000;21;3402;500;0
NPPN;200000;34;1390;500;0
NPPN;200000;55;3727;500;0
NPPN;200000;89;4009;500;0
NPPN;200000;128;4095;45;1
NPPN;200000;255;4095;45;1
NPPN;400000;1;366;500;0
NPPN;400000;2;826;500;0
NPPN;400000;3;1330;500;0
NPPN;400000;5;1806;500;0
NPPN;400000;8;2401;500;0
NPPN;400000;13;2993;500;0
NPPN;400000;21;3801;500;0
NPPN;400000;34;862;500;0
NPPN;400000;55;3538;500;0
NPPN;400000;89;4080;500;0
NPPN;400000;128;4095;45;1
NPPN;400000;255;4095;45;1
NPPN;800000;1;210;500;0
NPPN;800000;2;464;500;0
NPPN;800000;3;756;500;0
NPPN;800000;5;1363;500;0
NPPN;800000;8;1870;500;0
NPPN;800000;13;2647;500;0
NPPN;800000;21;3486;500;0
NPPN;800000;34;600;500;0
NPPN;800000;55;3444;500;0
NPPN;800000;89;4095;45;1
NPPN;800000;128;4095;45;1
NPPN;800000;255;4095;45;1
NPPN;1600000;1;673;500;0
NPPN;1600000;2;1414;500;0
NPPN;1600000;3;2136;500;0
NPPN;1600000;5;3018;500;0
NPPN;1600000;8;4076;500;0
NPPN;1600000;13;2889;500;0
NPPN;1600000;21;4092;312;1
NPPN;1600000;34;4095;45;1
NPPN;1600000;55;4095;45;1
NPPN;1600000;89;4095;45;1
NPPN;1600000;128;4095;45;1
NPPN;1600000;255;4095;45;1
NPPN;3200000;1;517;500;0
NPPN;3200000;2;1042;500;0
NPPN;3200000;3;1740;500;0
NPPN;3200000;5;2942;500;0
NPPN;3200000;8;4095;45;1
NPPN;3200000;13;2740;500;0
NPPN;3200000;21;4095;45;1
NPPN;3200000;34;4095;45;1
NPPN;3200000;55;4095;45;1
NPPN;3200000;89;4095;45;1
NPPN;3200000;128;4095;45;1
NPPN;3200000;255;4095;45;1
NPPN;6400000;1;530;500;0
NPPN;6400000;2;1239;500;0
NPPN;6400000;3;1537;500;0
NPPN;6400000;5;2627;500;0
NPPN;6400000;8;4095;45;1
NPPN;6400000;13;2473;500;0
NPPN;6400000;21;4095;45;1
NPPN;6400000;34;4095;45;1
NPPN;6400000;55;4095;45;1
NPPN;6400000;89;4095;45;1
NPPN;6400000;128;4095;45;1
NPPN;6400000;255;4095;45;1
PNNP;100;1;399;500;0
PNNP;100;2;448;500;0
PNNP;100;3;486;500;0
PNNP;100;5;517;500;0
PNNP;100;8;548;500;0
PNNP;100;13;579;500;0
PNNP;100;21;612;500;0
PNNP;100;34;656;500;0
PNNP;100;55;726;500;0
PNNP;100;89;846;500;0
PNNP;100;128;1053;500;0
PNNP;100;255;1684;500;0
PNNP;200;1;618;500;0
PNNP;200;2;752;500;0
PNNP;200;3;842;500;0
PNNP;200;5;902;500;0
PNNP;200;8;949;500;0
PNNP;200;13;994;500;0
PNNP;200;21;1053;500;0
PNNP;200;34;1108;500;0
PNNP;200;55;1188;500;0
PNNP;200;89;1289;500;0
PNNP;200;128;1491;500;0
PNNP;200;255;2060;500;0
PNNP;400;1;657;500;0
PNNP;400;2;996;500;0
PNNP;400;3;1143;500;0
PNNP;400;5;1269;500;0
PNNP;400;8;1342;500;0
PNNP;400;13;1379;500;0
PNNP;400;21;1457;500;0
PNNP;400;34;1494;500;0
PNNP;400;55;1573;500;0
PNNP;400;89;1660;500;0
PNNP;400;128;1872;500;0
PNNP;400;255;2363;500;0
PNNP;800;1;628;500;0
PNNP;800;2;1111;500;0
PNNP;800;3;1299;500;0
PNNP;800;5;1529;500;0
PNNP;800;8;1618;500;0
PNNP;800;13;1716;500;0
PNNP;800;21;1789;500;0
PNNP;800;34;1862;500;0
PNNP;800;55;1959;500;0
PNNP;800;89;2038;500;0
PNNP;800;128;2144;500;0
PNNP;800;255;2551;500;0
PNNP;1600;1;943;500;0
PNNP;1600;2;1494;500;0
PNNP;1600;3;1656;500;0
PNNP;1600;5;1835;500;0
PNNP;1600;8;1911;500;0
PNNP;1600;13;2001;500;0
PNNP;1600;21;2058;500;0
PNNP;1600;34;2129;500;0
PNNP;1600;55;2223;500;0
PNNP;1600;89;2505;500;0
PNNP;1600;128;2712;500;0
PNNP;1600;255;3418;500;0
PNNP;3200;1;1016;500;0
PNNP;3200;2;1500;500;0
PNNP;3200;3;1715;500;0
PNNP;3200;5;1882;500;0
PNNP;3200;8;1986;500;0
PNNP;3200;13;2066;500;0
PNNP;3200;21;2129;500;0
PNNP;3200;34;2203;500;0
PNNP;3200;55;2319;500;0
PNNP;3200;89;2513;500;0
PNNP;3200;128;2757;500;0
PNNP;3200;255;3174;500;0
PNNP;6400;1;704;500;0
PNNP;6400;2;1241;500;0
PNNP;6400;3;1570;500;0
PNNP;6400;5;1848;500;0
PNNP;6400;8;1995;500;0
PNNP;6400;13;2090;500;0
PNNP;6400;21;2165;500;0
PNNP;6400;34;2232;500;0
PNNP;6400;55;2202;500;0
PNNP;6400;89;2527;500;0
PNNP;6400;128;2540;500;0
PNNP;6400;255;3417;500;0
PNNP;12800;1;1525;500;0
