sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;3502;181;1
NPPN;100;2;3583;181;1
NPPN;100;3;3619;452;1
NPPN;100;5;3653;91;1
NPPN;100;8;3689;91;1
NPPN;100;13;3723;91;1
NPPN;100;21;3760;91;1
NPPN;100;34;3799;91;1
NPPN;100;55;3837;91;1
NPPN;100;89;3877;91;1
NPPN;100;128;3908;90;1
NPPN;100;255;3983;135;1
NPPN;200;1;3509;136;1
NPPN;200;2;3581;135;1
NPPN;200;3;3622;90;1
NPPN;200;5;3660;90;1
NPPN;200;8;3695;90;1
NPPN;200;13;3728;90;1
NPPN;200;21;3763;90;1
NPPN;200;34;3800;180;1
NPPN;200;55;3837;90;1
NPPN;200;89;3876;90;1
NPPN;200;128;3910;90;1
NPPN;200;255;3976;90;1
NPPN;400;1;3504;136;1
NPPN;400;2;3571;135;1
NPPN;400;3;3624;135;1
NPPN;400;5;3661;180;1
NPPN;400;8;3692;90;1
NPPN;400;13;3732;90;1
NPPN;400;21;3766;90;1
NPPN;400;34;3799;90;1
NPPN;400;55;3838;90;1
NPPN;400;89;3877;90;1
NPPN;400;128;3908;90;1
NPPN;400;255;3974;90;1
NPPN;800;1;3496;135;1
NPPN;800;2;3570;135;1
NPPN;800;3;3609;135;1
NPPN;800;5;3659;90;1
NPPN;800;8;3688;90;1
NPPN;800;13;3730;90;1
NPPN;800;21;3766;90;1
NPPN;800;34;3796;90;1
NPPN;800;55;3837;90;1
NPPN;800;89;3876;90;1
NPPN;800;128;3907;135;1
NPPN;800;255;3972;90;1
NPPN;1600;1;3571;90;1
NPPN;1600;2;3635;135;1
NPPN;1600;3;3663;90;1
NPPN;1600;5;3716;180;1
NPPN;1600;8;3741;135;1
NPPN;1600;13;3782;90;1
NPPN;1600;21;3816;90;1
NPPN;1600;34;3849;90;1
NPPN;1600;55;3891;90;1
NPPN;1600;89;3932;90;1
NPPN;1600;128;3967;90;1
NPPN;1600;255;4041;90;1
NPPN;3200;1;3598;179;1
NPPN;3200;2;3661;135;1
NPPN;3200;3;3689;135;1
NPPN;3200;5;3722;90;1
NPPN;3200;8;3754;90;1
NPPN;3200;13;3782;90;1
NPPN;3200;21;3814;90;1
NPPN;3200;34;3850;90;1
NPPN;3200;55;3887;90;1
NPPN;3200;89;3924;90;1
NPPN;3200;128;3954;90;1
NPPN;3200;255;4022;90;1
NPPN;6400;1;3612;135;1
NPPN;6400;2;3680;135;1
NPPN;6400;3;3700;135;1
NPPN;6400;5;3728;90;1
NPPN;6400;8;3761;135;1
NPPN;6400;13;3787;90;1
NPPN;6400;21;3816;90;1
NPPN;6400;34;3846;90;1
NPPN;6400;55;3876;90;1
NPPN;6400;89;3913;90;1
NPPN;6400;128;3940;90;1
NPPN;6400;255;4000;90;1
NPPN;12800;1;3708;90;1
NPPN;12800;2;3739;90;1
NPPN;12800;3;3783;90;1
NPPN;12800;5;3809;90;1
NPPN;12800;8;3836;90;1
NPPN;12800;13;3868;90;1
NPPN;12800;21;3897;90;1
NPPN;12800;34;3927;90;1
NPPN;12800;55;3963;90;1
NPPN;12800;89;4011;90;1
NPPN;12800;128;4095;89;1
NPPN;12800;255;4095;89;1
