sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;1802;500;0
NPPN;100;2;1990;500;0
NPPN;100;3;2024;500;0
NPPN;100;5;2072;500;0
NPPN;100;8;2115;500;0
NPPN;100;13;2157;500;0
NPPN;100;21;2218;500;0
NPPN;100;34;2274;500;0
NPPN;100;55;2348;500;0
NPPN;100;89;2464;500;0
NPPN;100;128;2579;500;0
NPPN;100;255;2954;500;0
NPPN;200;1;2011;500;0
NPPN;200;2;2399;500;0
NPPN;200;3;2488;500;0
NPPN;200;5;2569;500;0
NPPN;200;8;2612;500;0
NPPN;200;13;2656;500;0
NPPN;200;21;2698;500;0
NPPN;200;34;2744;500;0
NPPN;200;55;2800;500;0
NPPN;200;89;2885;500;0
NPPN;200;128;2964;500;0
NPPN;200;255;3250;500;0
NPPN;400;1;2179;500;0
NPPN;400;2;2560;500;0
NPPN;400;3;2742;500;0
NPPN;400;5;2861;500;0
NPPN;400;8;2920;500;0
NPPN;400;13;2981;500;0
NPPN;400;21;3011;500;0
NPPN;400;34;3050;500;0
NPPN;400;55;3103;500;0
NPPN;400;89;3173;500;0
NPPN;400;128;3228;500;0
NPPN;400;255;3443;500;0
NPPN;800;1;2276;500;0
NPPN;800;2;2655;500;0
NPPN;800;3;2800;500;0
NPPN;800;5;3003;500;0
NPPN;800;8;3054;500;0
NPPN;800;13;3139;500;0
NPPN;800;21;3181;500;0
NPPN;800;34;3222;496;1
NPPN;800;55;3266;500;0
NPPN;800;89;3318;500;0
NPPN;800;128;3361;500;0
NPPN;800;255;3546;500;0
NPPN;1600;1;2722;500;0
NPPN;1600;2;2958;500;0
NPPN;1600;3;3040;500;0
NPPN;1600;5;3182;500;0
NPPN;1600;8;3214;500;0
NPPN;1600;13;3288;500;0
NPPN;1600;21;3326;500;0
NPPN;1600;34;3366;500;0
NPPN;1600;55;3419;500;0
NPPN;1600;89;3502;500;0
NPPN;1600;128;3566;500;0
NPPN;1600;255;3826;500;0
NPPN;3200;1;2819;500;0
NPPN;3200;2;3036;135;1
NPPN;3200;3;3110;225;1
