sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;3216;500;0
NPPN;100;2;3461;500;0
NPPN;100;3;3509;495;1
NPPN;100;5;3546;405;1
NPPN;100;8;3604;495;1
NPPN;100;13;3634;405;1
NPPN;100;21;3668;405;1
NPPN;100;34;3698;315;1
NPPN;100;55;3737;405;1
NPPN;100;89;3768;360;1
NPPN;100;128;3795;360;1
NPPN;100;255;3870;450;1
NPPN;200;1;3404;225;1
NPPN;200;2;3431;500;0
NPPN;200;3;3510;500;0
NPPN;200;5;3568;540;1
NPPN;200;8;3610;540;1
NPPN;200;13;3640;450;1
NPPN;200;21;3660;315;1
NPPN;200;34;3700;360;1
NPPN;200;55;3806;405;1
NPPN;200;89;3767;315;1
NPPN;200;128;3792;315;1
NPPN;200;255;3852;405;1
NPPN;400;1;3352;500;0
NPPN;400;2;3303;500;0
NPPN;400;3;3493;500;0
NPPN;400;5;3563;539;1
NPPN;400;8;3608;494;1
NPPN;400;13;3640;450;1
NPPN;400;21;3672;405;1
NPPN;400;34;3695;315;1
NPPN;400;55;3734;360;1
NPPN;400;89;3826;315;1
NPPN;400;128;3792;315;1
NPPN;400;255;3875;315;1
NPPN;800;1;3192;500;0
NPPN;800;2;3106;500;0
NPPN;800;3;3395;500;0
NPPN;800;5;3558;500;0
NPPN;800;8;3600;500;0
NPPN;800;13;3635;404;1
NPPN;800;21;3672;405;1
NPPN;800;34;3709;405;1
NPPN;800;55;3786;405;1
NPPN;800;89;3785;495;1
NPPN;800;128;3799;360;1
NPPN;800;255;3860;450;1
NPPN;1600;1;3328;500;0
NPPN;1600;2;3424;500;0
NPPN;1600;3;3538;500;0
NPPN;1600;5;3608;404;1
NPPN;1600;8;3658;539;1
NPPN;1600;13;3689;405;1
NPPN;1600;21;3664;270;1
NPPN;1600;34;3748;360;1
NPPN;1600;55;3794;495;1
NPPN;1600;89;3837;500;0
NPPN;1600;128;3874;500;0
NPPN;1600;255;3975;500;0
NPPN;3200;1;3187;500;0
NPPN;3200;2;3398;500;0
NPPN;3200;3;3542;500;0
NPPN;3200;5;3621;500;0
NPPN;3200;8;3659;494;1
NPPN;3200;13;3690;405;1
NPPN;3200;21;3714;360;1
NPPN;3200;34;3754;405;1
NPPN;3200;55;3783;360;1
NPPN;3200;89;3846;360;1
NPPN;3200;128;3921;541;1
NPPN;3200;255;3930;500;0
NPPN;6400;1;2086;500;0
NPPN;6400;2;3150;500;0
NPPN;6400;3;3484;500;0
NPPN;6400;5;3612;500;0
NPPN;6400;8;3657;539;1
NPPN;6400;13;3690;449;1
NPPN;6400;21;3721;405;1
NPPN;6400;34;3751;360;1
NPPN;6400;55;3789;315;1
NPPN;6400;89;3762;315;1
NPPN;6400;128;3840;315;1
NPPN;6400;255;3952;500;0
NPPN;12800;1;3589;500;0
NPPN;12800;2;3661;538;1
NPPN;12800;3;3685;494;1
NPPN;12800;5;3725;450;1
NPPN;12800;8;3754;405;1
NPPN;12800;13;3757;360;1
NPPN;12800;21;3794;450;1
NPPN;12800;34;3866;405;1
NPPN;12800;55;3891;405;1
NPPN;12800;89;4003;500;0
NPPN;12800;128;4049;450;1
NPPN;12800;255;3980;405;1
NPPN;25600;1;3319;500;0
NPPN;25600;2;3659;500;0
NPPN;25600;3;3691;449;1
NPPN;25600;5;3723;450;1
NPPN;25600;8;3741;315;1
NPPN;25600;13;3793;540;1
NPPN;25600;21;3810;360;1
