sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;1399;500;0
NPPN;100;2;1931;500;0
NPPN;100;3;2031;500;0
NPPN;100;5;2108;500;0
NPPN;100;8;2153;500;0
NPPN;100;13;2197;500;0
NPPN;100;21;2250;500;0
NPPN;100;34;2315;500;0
NPPN;100;55;2397;500;0
NPPN;100;89;2503;500;0
NPPN;100;128;2620;500;0
NPPN;100;255;2982;500;0
NPPN;200;1;999;500;0
NPPN;200;2;1961;500;0
NPPN;200;3;2318;500;0
NPPN;200;5;2546;500;0
NPPN;200;8;2630;500;0
NPPN;200;13;2685;500;0
NPPN;200;21;2737;500;0
NPPN;200;34;2787;500;0
NPPN;200;55;2842;500;0
NPPN;200;89;2921;500;0
NPPN;200;128;3000;500;0
NPPN;200;255;3274;500;0
NPPN;400;1;634;500;0
NPPN;400;2;1422;500;0
NPPN;400;3;2117;500;0
NPPN;400;5;2614;500;0
NPPN;400;8;2848;500;0
NPPN;400;13;2968;500;0
NPPN;400;21;3028;500;0
NPPN;400;34;3075;500;0
NPPN;400;55;3130;500;0
NPPN;400;89;3185;500;0
NPPN;400;128;3240;500;0
NPPN;400;255;3459;500;0
NPPN;800;1;289;500;0
NPPN;800;2;883;500;0
NPPN;800;3;1356;500;0
NPPN;800;5;2268;500;0
NPPN;800;8;2137;500;0
NPPN;800;13;3027;500;0
NPPN;800;21;2119;500;0
NPPN;800;34;3209;500;0
NPPN;800;55;3269;406;1
NPPN;800;89;3321;500;0
NPPN;800;128;3365;500;0
NPPN;800;255;3547;500;0
NPPN;1600;1;402;500;0
NPPN;1600;2;1080;500;0
NPPN;1600;3;1597;500;0
NPPN;1600;5;2501;500;0
NPPN;1600;8;2878;500;0
NPPN;1600;13;3188;500;0
NPPN;1600;21;3290;500;0
NPPN;1600;34;3345;500;0
NPPN;1600;55;3411;500;0
NPPN;1600;89;3488;500;0
NPPN;1600;128;3560;500;0
NPPN;1600;255;3819;500;0
NPPN;3200;1;197;500;0
NPPN;3200;2;676;500;0
NPPN;3200;3;1120;500;0
NPPN;3200;5;1800;500;0
NPPN;3200;8;2435;500;0
NPPN;3200;13;2871;500;0
NPPN;3200;21;3195;361;1
NPPN;3200;34;3350;361;1
NPPN;3200;55;3427;500;0
NPPN;3200;89;3506;500;0
NPPN;3200;128;3562;500;0
NPPN;3200;255;3822;500;0
NPPN;6400;1;201;500;0
NPPN;6400;2;231;500;0
NPPN;6400;3;479;500;0
NPPN;6400;5;1017;500;0
NPPN;6400;8;1633;451;1
NPPN;6400;13;2307;180;1
NPPN;6400;21;2865;90;1
NPPN;6400;34;3219;90;1
NPPN;6400;55;3391;180;1
NPPN;6400;89;3504;500;0
NPPN;6400;128;3566;500;0
NPPN;6400;255;3795;500;0
NPPN;12800;1;320;500;0
NPPN;12800;2;836;450;1
NPPN;12800;3;1330;135;1
NPPN;12800;5;2043;135;1
NPPN;12800;8;2667;90;1
NPPN;12800;13;3143;500;0
NPPN;12800;21;3423;500;0
NPPN;12800;34;3578;500;0
NPPN;12800;55;3729;500;0
NPPN;12800;89;3952;500;0
NPPN;12800;128;4086;90;1
NPPN;12800;255;4094;44;1
NPPN;25600;1;305;500;0
NPPN;25600;2;304;135;1
NPPN;25600;3;616;500;0
NPPN;25600;5;1171;90;1
NPPN;25600;8;1813;315;1
NPPN;25600;13;2492;135;1
NPPN;25600;21;3049;500;0
NPPN;25600;34;3421;500;0
NPPN;25600;55;3674;500;0
NPPN;25600;89;3926;500;0
NPPN;25600;128;4082;45;1
NPPN;25600;255;4094;44;1
NPPN;51200;1;338;180;1
NPPN;51200;2;233;500;0
NPPN;51200;3;248;500;0
NPPN;51200;5;517;500;0
NPPN;51200;8;957;500;0
NPPN;51200;13;1604;500;0
NPPN;51200;21;2294;500;0
NPPN;51200;34;2945;45;1
NPPN;51200;55;3435;500;0
NPPN;51200;89;3798;500;0
NPPN;51200;128;4094;401;1
NPPN;51200;255;4094;45;1
NPPN;100000;1;255;500;0
NPPN;100000;2;422;500;0
NPPN;100000;3;760;180;1
NPPN;100000;5;1368;90;1
NPPN;100000;8;2055;90;1
NPPN;100000;13;2794;180;1
NPPN;100000;21;3550;500;0
NPPN;100000;34;393;500;0
NPPN;100000;55;3594;500;0
NPPN;100000;89;4042;449;1
NPPN;100000;128;4095;45;1
NPPN;100000;255;4095;44;1
NPPN;200000;1;120;500;0
NPPN;200000;2;320;500;0
NPPN;200000;3;377;500;0
NPPN;200000;5;779;180;1
NPPN;200000;8;1363;500;0
NPPN;200000;13;2141;541;1
NPPN;200000;21;3007;500;0
NPPN;200000;34;347;500;0
NPPN;200000;55;3136;361;1
NPPN;200000;89;4085;500;0
NPPN;200000;128;4095;45;1
NPPN;200000;255;4095;45;1
NPPN;400000;1;124;500;0
NPPN;400000;2;589;270;1
NPPN;400000;3;318;500;0
NPPN;400000;5;534;500;0
NPPN;400000;8;1004;500;0
NPPN;400000;13;1735;500;0
NPPN;400000;21;2724;541;1
NPPN;400000;34;397;500;0
NPPN;400000;55;2913;135;1
NPPN;400000;89;4067;500;0
NPPN;400000;128;4095;45;1
NPPN;400000;255;4095;45;1
NPPN;800000;1;197;500;0
NPPN;800000;2;182;500;0
NPPN;800000;3;958;135;1
NPPN;800000;5;501;500;0
NPPN;800000;8;858;500;0
NPPN;800000;13;1547;500;0
NPPN;800000;21;2570;500;0
NPPN;800000;34;386;500;0
NPPN;800000;55;2790;500;0
NPPN;800000;89;4095;45;1
NPPN;800000;128;4095;45;1
NPPN;800000;255;4095;45;1
NPPN;1600000;1;304;500;0
NPPN;1600000;2;777;500;0
NPPN;1600000;3;1358;500;0
NPPN;1600000;5;2360;500;0
NPPN;1600000;8;4088;312;1
NPPN;1600000;13;2330;45;1
NPPN;1600000;21;4078;500;0
NPPN;1600000;34;4095;45;1
NPPN;1600000;55;4095;45;1
NPPN;1600000;89;4095;45;1
NPPN;1600000;128;4095;45;1
NPPN;1600000;255;4095;45;1
NPPN;3200000;1;311;500;0
NPPN;3200000;2;772;500;0
NPPN;3200000;3;1262;500;0
NPPN;3200000;5;3079;500;0
NPPN;3200000;8;4094;45;1
NPPN;3200000;13;2384;500;0
NPPN;3200000;21;4085;500;0
NPPN;3200000;34;4095;45;1
NPPN;3200000;55;4095;45;1
NPPN;3200000;89;4095;45;1
NPPN;3200000;128;4095;45;1
NPPN;3200000;255;4095;45;1
NPPN;6400000;1;384;500;0
NPPN;6400000;2;1532;500;0
NPPN;6400000;3;1254;500;0
NPPN;6400000;5;2232;500;0
NPPN;6400000;8;4095;44;1
NPPN;6400000;13;2225;500;0
NPPN;6400000;21;4090;500;0
NPPN;6400000;34;4095;45;1
NPPN;6400000;55;4095;45;1
NPPN;6400000;89;4095;45;1
NPPN;6400000;128;4095;45;1
NPPN;6400000;255;4095;45;1
PNNP;100;1;222;500;0
PNNP;100;2;655;500;0
PNNP;100;3;983;500;0
PNNP;100;5;1375;500;0
PNNP;100;8;1666;500;0
PNNP;100;13;1852;500;0
PNNP;100;21;1976;500;0
PNNP;100;34;2065;500;0
PNNP;100;55;2160;500;0
PNNP;100;89;2276;500;0
PNNP;100;128;2398;500;0
PNNP;100;255;2789;500;0
PNNP;200;1;97;500;0
PNNP;200;2;356;500;0
PNNP;200;3;652;500;0
PNNP;200;5;1151;500;0
PNNP;200;8;1639;500;0
PNNP;200;13;2054;500;0
PNNP;200;21;2345;500;0
PNNP;200;34;2514;500;0
PNNP;200;55;2625;500;0
PNNP;200;89;2728;500;0
PNNP;200;128;2826;500;0
PNNP;200;255;3074;500;0
PNNP;400;1;134;500;0
PNNP;400;2;151;500;0
PNNP;400;3;326;180;1
PNNP;400;5;684;500;0
PNNP;400;8;1131;500;0
PNNP;400;13;1720;500;0
PNNP;400;21;2215;500;0
PNNP;400;34;2385;500;0
PNNP;400;55;2656;500;0
PNNP;400;89;2985;500;0
PNNP;400;128;2964;500;0
PNNP;400;255;3304;500;0
PNNP;800;1;195;500;0
PNNP;800;2;202;451;1
PNNP;800;3;201;315;1
PNNP;800;5;318;90;1
PNNP;800;8;556;90;1
PNNP;800;13;1076;135;1
PNNP;800;21;1614;361;1
PNNP;800;34;2176;500;0
PNNP;800;55;2646;500;0
PNNP;800;89;2971;500;0
PNNP;800;128;3088;500;0
PNNP;800;255;3287;500;0
PNNP;1600;1;270;500;0
PNNP;1600;2;285;541;1
PNNP;1600;3;282;500;0
PNNP;1600;5;384;90;1
PNNP;1600;8;626;90;1
PNNP;1600;13;1186;500;0
PNNP;1600;21;1758;500;0
PNNP;1600;34;2297;500;0
PNNP;1600;55;2773;500;0
PNNP;1600;89;3109;500;0
PNNP;1600;128;3295;500;0
PNNP;1600;255;3596;500;0
PNNP;3200;1;351;500;0
PNNP;3200;2;380;315;1
PNNP;3200;3;380;135;1
PNNP;3200;5;382;180;1
PNNP;3200;8;393;225;1
PNNP;3200;13;587;90;1
PNNP;3200;21;978;90;1
PNNP;3200;34;1572;500;0
PNNP;3200;55;2133;90;1
PNNP;3200;89;2701;90;1
PNNP;3200;128;3111;45;1
PNNP;3200;255;3684;90;1
PNNP;6400;1;452;315;1
PNNP;6400;2;478;180;1
PNNP;6400;3;476;135;1
PNNP;6400;5;475;180;1
PNNP;6400;8;480;90;1
PNNP;6400;13;456;90;1
PNNP;6400;21;534;180;1
PNNP;6400;34;840;451;1
PNNP;6400;55;1349;500;0
PNNP;6400;89;1963;500;0
PNNP;6400;128;2269;180;1
PNNP;6400;255;3126;135;1
PNNP;12800;1;540;90;1
PNNP;12800;2;565;90;1
PNNP;12800;3;568;90;1
PNNP;12800;5;574;90;1
PNNP;12800;8;586;90;1
