sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;62;225;1
NPPN;100;2;0;45;1
NPPN;100;3;0;45;1
NPPN;100;5;0;45;1
NPPN;100;8;0;45;1
NPPN;100;13;538;500;0
NPPN;100;21;920;500;0
NPPN;100;34;1463;500;0
NPPN;100;55;2081;500;0
NPPN;100;89;2646;500;0
NPPN;100;128;3007;500;0
NPPN;100;255;3455;405;1
NPPN;200;1;318;500;0
NPPN;200;2;0;45;1
NPPN;200;3;0;45;1
NPPN;200;5;0;45;1
NPPN;200;8;0;45;1
NPPN;200;13;0;45;1
NPPN;200;21;591;500;0
NPPN;200;34;1040;500;0
NPPN;200;55;1631;500;0
NPPN;200;89;2273;500;0
NPPN;200;128;2709;500;0
NPPN;200;255;3327;539;1
NPPN;400;1;333;135;1
NPPN;400;2;0;45;1
NPPN;400;3;0;45;1
NPPN;400;5;0;45;1
NPPN;400;8;0;45;1
NPPN;400;13;0;45;1
NPPN;400;21;264;404;1
NPPN;400;34;544;448;1
NPPN;400;55;1007;493;1
NPPN;400;89;1626;538;1
NPPN;400;128;2142;538;1
NPPN;400;255;2989;493;1
NPPN;800;1;301;225;1
NPPN;800;2;0;45;1
NPPN;800;3;0;45;1
NPPN;800;5;0;45;1
NPPN;800;8;0;45;1
NPPN;800;13;0;45;1
NPPN;800;21;0;45;1
NPPN;800;34;260;404;1
NPPN;800;55;475;359;1
NPPN;800;89;895;359;1
NPPN;800;128;1328;358;1
NPPN;800;255;2316;358;1
NPPN;1600;1;334;314;1
NPPN;1600;2;316;493;1
NPPN;1600;3;321;538;1
NPPN;1600;5;323;539;1
NPPN;1600;8;320;493;1
NPPN;1600;13;332;538;1
NPPN;1600;21;335;493;1
NPPN;1600;34;366;404;1
NPPN;1600;55;592;269;1
NPPN;1600;89;1073;269;1
NPPN;1600;128;1562;313;1
NPPN;1600;255;2655;314;1
NPPN;3200;1;431;359;1
NPPN;3200;2;415;448;1
NPPN;3200;3;421;493;1
NPPN;3200;5;418;448;1
NPPN;3200;8;431;539;1
NPPN;3200;13;430;493;1
NPPN;3200;21;430;449;1
NPPN;3200;34;448;494;1
