sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;0;44;1
NPPN;100;2;0;45;1
NPPN;100;3;0;45;1
NPPN;100;5;0;45;1
NPPN;100;8;0;45;1
NPPN;100;13;0;45;1
NPPN;100;21;0;45;1
NPPN;100;34;0;44;1
NPPN;100;55;0;44;1
NPPN;100;89;0;45;1
NPPN;100;128;0;45;1
NPPN;100;255;0;45;1
NPPN;200;1;0;45;1
NPPN;200;2;0;45;1
NPPN;200;3;0;45;1
NPPN;200;5;0;45;1
NPPN;200;8;0;45;1
NPPN;200;13;0;44;1
NPPN;200;21;0;44;1
NPPN;200;34;0;45;1
NPPN;200;55;0;45;1
NPPN;200;89;0;45;1
NPPN;200;128;0;45;1
NPPN;200;255;0;45;1
NPPN;400;1;0;45;1
NPPN;400;2;0;45;1
NPPN;400;3;0;45;1
NPPN;400;5;1;45;1
NPPN;400;8;0;45;1
NPPN;400;13;0;45;1
NPPN;400;21;0;44;1
NPPN;400;34;0;44;1
NPPN;400;55;0;45;1
NPPN;400;89;0;45;1
NPPN;400;128;0;45;1
NPPN;400;255;0;45;1
NPPN;800;1;0;45;1
NPPN;800;2;0;44;1
NPPN;800;3;0;45;1
NPPN;800;5;0;45;1
NPPN;800;8;5;45;1
NPPN;800;13;0;45;1
NPPN;800;21;0;44;1
NPPN;800;34;0;44;1
NPPN;800;55;0;45;1
NPPN;800;89;0;45;1
NPPN;800;128;0;45;1
NPPN;800;255;0;45;1
NPPN;1600;1;0;45;1
NPPN;1600;2;0;45;1
NPPN;1600;3;0;45;1
NPPN;1600;5;0;45;1
NPPN;1600;8;0;45;1
NPPN;1600;13;0;45;1
NPPN;1600;21;0;45;1
NPPN;1600;34;0;45;1
NPPN;1600;55;0;44;1
NPPN;1600;89;0;45;1
NPPN;1600;128;0;45;1
NPPN;1600;255;0;45;1
NPPN;3200;1;0;45;1
NPPN;3200;2;0;45;1
NPPN;3200;3;0;45;1
NPPN;3200;5;0;45;1
NPPN;3200;8;0;44;1
NPPN;3200;13;0;45;1
NPPN;3200;21;0;45;1
NPPN;3200;34;16;45;1
NPPN;3200;55;0;45;1
NPPN;3200;89;0;45;1
NPPN;3200;128;0;45;1
NPPN;3200;255;0;45;1
NPPN;6400;1;0;45;1
NPPN;6400;2;0;45;1
NPPN;6400;3;15;90;1
NPPN;6400;5;0;45;1
NPPN;6400;8;0;45;1
NPPN;6400;13;0;45;1
NPPN;6400;21;0;45;1
NPPN;6400;34;0;45;1
NPPN;6400;55;0;45;1
NPPN;6400;89;0;45;1
NPPN;6400;128;0;45;1
NPPN;6400;255;0;45;1
NPPN;12800;1;0;45;1
NPPN;12800;2;0;45;1
NPPN;12800;3;0;45;1
NPPN;12800;5;0;45;1
NPPN;12800;8;0;45;1
NPPN;12800;13;0;45;1
NPPN;12800;21;0;45;1
NPPN;12800;34;0;45;1
NPPN;12800;55;0;45;1
NPPN;12800;89;806;500;0
NPPN;12800;128;1326;500;0
NPPN;12800;255;1395;500;0
NPPN;25600;1;376;500;0
NPPN;25600;2;0;45;1
NPPN;25600;3;0;45;1
NPPN;25600;5;0;45;1
NPPN;25600;8;0;45;1
NPPN;25600;13;240;90;1
NPPN;25600;21;0;45;1
NPPN;25600;34;0;45;1
NPPN;25600;55;0;45;1
NPPN;25600;89;854;500;0
NPPN;25600;128;1353;500;0
NPPN;25600;255;1401;500;0
NPPN;51200;1;406;500;0
NPPN;51200;2;0;45;1
NPPN;51200;3;0;45;1
NPPN;51200;5;0;45;1
NPPN;51200;8;0;45;1
NPPN;51200;13;0;45;1
NPPN;51200;21;0;45;1
NPPN;51200;34;0;45;1
NPPN;51200;55;570;500;0
NPPN;51200;89;899;500;0
NPPN;51200;128;1336;500;0
NPPN;51200;255;1403;500;0
NPPN;100000;1;304;539;1
NPPN;100000;2;421;500;0
NPPN;100000;3;414;500;0
NPPN;100000;5;417;500;0
NPPN;100000;8;466;500;0
NPPN;100000;13;622;500;0
NPPN;100000;21;904;500;0
NPPN;100000;34;444;500;0
NPPN;100000;55;964;500;0
NPPN;100000;89;1384;500;0
NPPN;100000;128;1421;500;0
NPPN;100000;255;1434;500;0
NPPN;200000;1;288;500;0
NPPN;200000;2;591;500;0
NPPN;200000;3;569;500;0
NPPN;200000;5;561;500;0
