sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;4;500;0
NPPN;100;2;3;500;0
NPPN;100;3;4;500;0
NPPN;100;5;7;500;0
NPPN;100;8;32;500;0
NPPN;100;13;81;500;0
NPPN;100;21;170;500;0
NPPN;100;34;298;500;0
NPPN;100;55;448;500;0
NPPN;100;89;625;500;0
NPPN;100;128;796;500;0
NPPN;100;255;1395;500;0
NPPN;200;1;50;500;0
NPPN;200;2;8;500;0
NPPN;200;3;6;500;0
NPPN;200;5;6;500;0
NPPN;200;8;12;500;0
NPPN;200;13;51;500;0
NPPN;200;21;138;500;0
NPPN;200;34;289;500;0
NPPN;200;55;518;500;0
NPPN;200;89;796;500;0
NPPN;200;128;1034;500;0
NPPN;200;255;1614;500;0
NPPN;400;1;61;500;0
NPPN;400;2;11;500;0
NPPN;400;3;8;500;0
NPPN;400;5;11;500;0
NPPN;400;8;6;500;0
NPPN;400;13;20;500;0
NPPN;400;21;67;500;0
NPPN;400;34;187;500;0
NPPN;400;55;406;500;0
NPPN;400;89;738;500;0
NPPN;400;128;1052;500;0
NPPN;400;255;1768;500;0
NPPN;800;1;55;500;0
NPPN;800;2;18;500;0
NPPN;800;3;17;500;0
NPPN;800;5;19;500;0
NPPN;800;8;20;500;0
NPPN;800;13;27;500;0
NPPN;800;21;31;500;0
NPPN;800;34;88;500;0
NPPN;800;55;228;500;0
NPPN;800;89;493;500;0
NPPN;800;128;795;500;0
NPPN;800;255;1583;500;0
NPPN;1600;1;139;500;0
NPPN;1600;2;33;500;0
NPPN;1600;3;36;500;0
NPPN;1600;5;41;500;0
NPPN;1600;8;46;500;0
NPPN;1600;13;63;500;0
NPPN;1600;21;92;500;0
NPPN;1600;34;180;500;0
NPPN;1600;55;410;500;0
NPPN;1600;89;811;500;0
NPPN;1600;128;1207;500;0
NPPN;1600;255;2346;500;0
NPPN;3200;1;194;500;0
NPPN;3200;2;58;500;0
NPPN;3200;3;60;500;0
NPPN;3200;5;65;500;0
NPPN;3200;8;73;500;0
NPPN;3200;13;86;500;0
NPPN;3200;21;100;500;0
NPPN;3200;34;145;500;0
NPPN;3200;55;291;500;0
NPPN;3200;89;605;500;0
NPPN;3200;128;981;500;0
NPPN;3200;255;2098;500;0
NPPN;6400;1;236;500;0
NPPN;6400;2;89;500;0
NPPN;6400;3;89;500;0
NPPN;6400;5;94;500;0
NPPN;6400;8;94;500;0
NPPN;6400;13;102;500;0
NPPN;6400;21;111;500;0
NPPN;6400;34;138;500;0
NPPN;6400;55;247;500;0
NPPN;6400;89;515;500;0
NPPN;6400;128;857;500;0
NPPN;6400;255;1930;500;0
NPPN;12800;1;276;500;0
NPPN;12800;2;131;500;0
NPPN;12800;3;132;500;0
NPPN;12800;5;136;500;0
NPPN;12800;8;153;500;0
NPPN;12800;13;225;500;0
NPPN;12800;21;446;500;0
NPPN;12800;34;873;500;0
NPPN;12800;55;1607;500;0
NPPN;12800;89;2728;500;0
NPPN;12800;128;4036;500;0
NPPN;12800;255;3967;500;0
NPPN;25600;1;312;500;0
NPPN;25600;2;156;500;0
NPPN;25600;3;159;500;0
NPPN;25600;5;168;500;0
NPPN;25600;8;178;500;0
NPPN;25600;13;229;500;0
NPPN;25600;21;434;500;0
NPPN;25600;34;839;500;0
NPPN;25600;55;1545;500;0
NPPN;25600;89;2697;500;0
NPPN;25600;128;4036;500;0
NPPN;25600;255;3966;495;1
NPPN;51200;1;340;500;0
NPPN;51200;2;184;500;0
NPPN;51200;3;186;500;0
NPPN;51200;5;192;500;0
NPPN;51200;8;202;500;0
NPPN;51200;13;222;500;0
NPPN;51200;21;429;500;0
NPPN;51200;34;843;500;0
NPPN;51200;55;1569;500;0
NPPN;51200;89;2720;500;0
NPPN;51200;128;4085;500;0
NPPN;51200;255;3968;360;1
NPPN;100000;1;243;500;0
NPPN;100000;2;228;500;0
NPPN;100000;3;251;500;0
NPPN;100000;5;402;500;0
NPPN;100000;8;742;500;0
NPPN;100000;13;1385;500;0
NPPN;100000;21;2495;500;0
NPPN;100000;34;184;500;0
NPPN;100000;55;2644;500;0
NPPN;100000;89;3930;500;0
NPPN;100000;128;4017;225;1
NPPN;100000;255;4016;135;1
NPPN;200000;1;58;500;0
NPPN;200000;2;250;500;0
NPPN;200000;3;263;500;0
NPPN;200000;5;402;500;0
NPPN;200000;8;776;500;0
NPPN;200000;13;1399;500;0
NPPN;200000;21;2491;500;0
NPPN;200000;34;282;500;0
NPPN;200000;55;2657;500;0
NPPN;200000;89;3879;500;0
NPPN;200000;128;4022;90;1
NPPN;200000;255;4022;90;1
NPPN;400000;1;68;500;0
NPPN;400000;2;297;500;0
NPPN;400000;3;289;500;0
NPPN;400000;5;421;500;0
NPPN;400000;8;797;500;0
NPPN;400000;13;1461;500;0
NPPN;400000;21;2509;500;0
NPPN;400000;34;284;500;0
NPPN;400000;55;2665;495;1
NPPN;400000;89;3913;500;0
NPPN;400000;128;4019;180;1
NPPN;400000;255;4019;270;1
NPPN;800000;1;73;500;0
NPPN;800000;2;336;495;1
NPPN;800000;3;215;500;0
NPPN;800000;5;447;500;0
NPPN;800000;8;797;500;0
NPPN;800000;13;1475;500;0
NPPN;800000;21;2576;500;0
NPPN;800000;34;601;500;0
NPPN;800000;55;2675;500;0
NPPN;800000;89;3814;500;0
NPPN;800000;128;4016;90;1
NPPN;800000;255;4017;135;1
NPPN;1600000;1;296;500;0
NPPN;1600000;2;789;500;0
NPPN;1600000;3;1417;500;0
NPPN;1600000;5;2378;500;0
NPPN;1600000;8;3768;500;0
NPPN;1600000;13;2277;500;0
NPPN;1600000;21;2796;500;0
NPPN;1600000;34;4022;180;1
NPPN;1600000;55;4022;500;0
NPPN;1600000;89;4023;135;1
NPPN;1600000;128;4022;180;1
NPPN;1600000;255;4023;500;0
NPPN;3200000;1;300;500;0
NPPN;3200000;2;836;500;0
NPPN;3200000;3;1353;500;0
NPPN;3200000;5;2478;500;0
NPPN;3200000;8;3921;500;0
NPPN;3200000;13;2362;500;0
NPPN;3200000;21;3611;500;0
NPPN;3200000;34;4021;500;0
NPPN;3200000;55;4019;135;1
NPPN;3200000;89;4018;360;1
NPPN;3200000;128;4019;90;1
NPPN;3200000;255;4021;180;1
NPPN;6400000;1;322;500;0
NPPN;6400000;2;1073;500;0
NPPN;6400000;3;1461;500;0
NPPN;6400000;5;2344;500;0
NPPN;6400000;8;3681;500;0
NPPN;6400000;13;2217;500;0
NPPN;6400000;21;3748;500;0
NPPN;6400000;34;4020;500;0
NPPN;6400000;55;4019;135;1
NPPN;6400000;89;4019;500;0
NPPN;6400000;128;4019;90;1
NPPN;6400000;255;4019;90;1
PNNP;100;1;0;45;1
PNNP;100;2;4;45;1
PNNP;100;3;3;90;1
PNNP;100;5;2;45;1
PNNP;100;8;8;494;1
PNNP;100;13;11;135;1
PNNP;100;21;22;314;1
PNNP;100;34;38;500;0
PNNP;100;55;79;500;0
PNNP;100;89;180;500;0
PNNP;100;128;295;500;0
PNNP;100;255;666;500;0
PNNP;200;1;64;500;0
PNNP;200;2;24;500;0
PNNP;200;3;23;500;0
PNNP;200;5;27;500;0
PNNP;200;8;25;316;1
PNNP;200;13;34;500;0
PNNP;200;21;40;500;0
PNNP;200;34;54;500;0
PNNP;200;55;94;500;0
PNNP;200;89;179;500;0
PNNP;200;128;302;500;0
PNNP;200;255;698;500;0
PNNP;400;1;84;500;0
PNNP;400;2;48;500;0
PNNP;400;3;50;500;0
PNNP;400;5;51;500;0
PNNP;400;8;53;500;0
PNNP;400;13;58;500;0
PNNP;400;21;65;500;0
PNNP;400;34;77;500;0
PNNP;400;55;118;500;0
PNNP;400;89;162;500;0
PNNP;400;128;316;500;0
PNNP;400;255;728;500;0
PNNP;800;1;103;500;0
PNNP;800;2;83;500;0
PNNP;800;3;85;500;0
PNNP;800;5;84;500;0
PNNP;800;8;84;500;0
