sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;3346;271;1
NPPN;100;2;3515;181;1
NPPN;100;3;3574;181;1
NPPN;100;5;3633;181;1
NPPN;100;8;3673;91;1
NPPN;100;13;3716;91;1
NPPN;100;21;3754;91;1
NPPN;100;34;3793;91;1
NPPN;100;55;3833;91;1
NPPN;100;89;3874;91;1
NPPN;100;128;3913;136;1
NPPN;100;255;3983;135;1
NPPN;200;1;3251;272;1
NPPN;200;2;3492;180;1
NPPN;200;3;3562;135;1
NPPN;200;5;3632;135;1
NPPN;200;8;3674;90;1
NPPN;200;13;3717;90;1
NPPN;200;21;3755;90;1
NPPN;200;34;3795;90;1
NPPN;200;55;3836;90;1
NPPN;200;89;3876;90;1
NPPN;200;128;3907;90;1
NPPN;200;255;3975;90;1
NPPN;400;1;3039;407;1
NPPN;400;2;3400;269;1
NPPN;400;3;3541;180;1
NPPN;400;5;3622;135;1
NPPN;400;8;3669;135;1
NPPN;400;13;3716;90;1
NPPN;400;21;3755;90;1
NPPN;400;34;3794;90;1
NPPN;400;55;3834;90;1
NPPN;400;89;3875;90;1
NPPN;400;128;3907;90;1
NPPN;400;255;3974;90;1
NPPN;800;1;2648;500;0
NPPN;800;2;3236;358;1
NPPN;800;3;3430;224;1
NPPN;800;5;3599;180;1
NPPN;800;8;3652;135;1
NPPN;800;13;3710;90;1
NPPN;800;21;3754;90;1
NPPN;800;34;3788;90;1
NPPN;800;55;3828;90;1
NPPN;800;89;3869;90;1
NPPN;800;128;3900;90;1
NPPN;800;255;3969;90;1
NPPN;1600;1;2900;452;1
NPPN;1600;2;3389;224;1
NPPN;1600;3;3534;179;1
NPPN;1600;5;3664;135;1
NPPN;1600;8;3709;135;1
NPPN;1600;13;3759;90;1
NPPN;1600;21;3800;90;1
NPPN;1600;34;3839;90;1
NPPN;1600;55;3883;90;1
NPPN;1600;89;3929;90;1
NPPN;1600;128;3966;90;1
NPPN;1600;255;4043;90;1
NPPN;3200;1;2557;453;1
NPPN;3200;2;3243;269;1
NPPN;3200;3;3470;224;1
NPPN;3200;5;3622;135;1
NPPN;3200;8;3692;90;1
NPPN;3200;13;3747;90;1
NPPN;3200;21;3791;90;1
NPPN;3200;34;3833;90;1
NPPN;3200;55;3877;90;1
NPPN;3200;89;3921;90;1
NPPN;3200;128;3957;90;1
NPPN;3200;255;4031;90;1
NPPN;6400;1;1877;500;0
NPPN;6400;2;2722;358;1
NPPN;6400;3;3166;269;1
NPPN;6400;5;3483;179;1
NPPN;6400;8;3635;135;1
NPPN;6400;13;3712;90;1
