sensor_name;frequency;duty_cycle;measurement;stabilization_time;success
NPPN;100;1;838;500;0
NPPN;100;2;1538;500;0
NPPN;100;3;2166;500;0
NPPN;100;5;2771;500;0
NPPN;100;8;3228;500;0
NPPN;100;13;3479;500;0
NPPN;100;21;3610;500;0
NPPN;100;34;3683;500;0
NPPN;100;55;3735;500;0
NPPN;100;89;3781;540;1
NPPN;100;128;3808;495;1
NPPN;100;255;3863;450;1
NPPN;200;1;2257;500;0
NPPN;200;2;1331;500;0
NPPN;200;3;1916;500;0
NPPN;200;5;2645;500;0
NPPN;200;8;3172;500;0
NPPN;200;13;3460;500;0
NPPN;200;21;3602;500;0
NPPN;200;34;3678;500;0
NPPN;200;55;3731;539;1
NPPN;200;89;3774;494;1
NPPN;200;128;3808;494;1
NPPN;200;255;3866;494;1
NPPN;400;1;1582;500;0
NPPN;400;2;977;500;0
NPPN;400;3;1636;500;0
NPPN;400;5;2426;500;0
NPPN;400;8;3025;500;0
NPPN;400;13;3438;500;0
NPPN;400;21;3593;500;0
NPPN;400;34;3676;500;0
NPPN;400;55;3726;493;1
NPPN;400;89;3773;494;1
NPPN;400;128;3810;500;0
NPPN;400;255;3865;494;1
NPPN;800;1;1049;500;0
NPPN;800;2;756;500;0
NPPN;800;3;1134;500;0
NPPN;800;5;2108;500;0
NPPN;800;8;2733;500;0
NPPN;800;13;3358;500;0
NPPN;800;21;3576;500;0
NPPN;800;34;3667;500;0
NPPN;800;55;3726;538;1
NPPN;800;89;3770;494;1
NPPN;800;128;3807;539;1
NPPN;800;255;3850;404;1
NPPN;1600;1;1182;500;0
NPPN;1600;2;1219;500;0
NPPN;1600;3;1784;500;0
NPPN;1600;5;2834;500;0
NPPN;1600;8;3304;500;0
NPPN;1600;13;3603;500;0
NPPN;1600;21;3694;500;0
NPPN;1600;34;3740;493;1
NPPN;1600;55;3789;494;1
NPPN;1600;89;3820;404;1
NPPN;1600;128;3851;404;1
NPPN;1600;255;3914;404;1
NPPN;3200;1;887;500;0
NPPN;3200;2;1137;500;0
NPPN;3200;3;1712;500;0
NPPN;3200;5;2496;500;0
NPPN;3200;8;3164;500;0
NPPN;3200;13;3536;500;0
NPPN;3200;21;3669;500;0
NPPN;3200;34;3730;493;1
NPPN;3200;55;3775;449;1
NPPN;3200;89;3822;449;1
NPPN;3200;128;3854;449;1
NPPN;3200;255;3920;494;1
NPPN;6400;1;492;500;0
NPPN;6400;2;806;500;0
NPPN;6400;3;1307;500;0
NPPN;6400;5;2089;500;0
NPPN;6400;8;2825;500;0
NPPN;6400;13;3389;500;0
NPPN;6400;21;3635;500;0
NPPN;6400;34;3721;500;0
NPPN;6400;55;3765;449;1
NPPN;6400;89;3816;449;1
NPPN;6400;128;3841;404;1
NPPN;6400;255;3904;404;1
NPPN;12800;1;1338;500;0
NPPN;12800;2;2339;500;0
NPPN;12800;3;2976;500;0
NPPN;12800;5;3494;500;0
NPPN;12800;8;3676;500;0
NPPN;12800;13;3749;493;1
NPPN;12800;21;3792;404;1
NPPN;12800;34;3844;449;1
NPPN;12800;55;3889;449;1
NPPN;12800;89;3943;494;1
NPPN;12800;128;3984;449;1
NPPN;12800;255;3981;449;1
NPPN;25600;1;965;500;0
NPPN;25600;2;1767;500;0
NPPN;25600;3;2455;500;0
NPPN;25600;5;3190;500;0
NPPN;25600;8;3568;500;0
NPPN;25600;13;3715;538;1
NPPN;25600;21;3782;539;1
NPPN;25600;34;3825;404;1
NPPN;25600;55;3880;449;1
NPPN;25600;89;3922;404;1
NPPN;25600;128;3990;495;1
NPPN;25600;255;3984;449;1
NPPN;51200;1;625;500;0
NPPN;51200;2;1208;500;0
NPPN;51200;3;1810;500;0
NPPN;51200;5;2652;500;0
NPPN;51200;8;3266;500;0
NPPN;51200;13;3617;500;0
NPPN;51200;21;3732;494;1
NPPN;51200;34;3798;404;1
NPPN;51200;55;3848;359;1
NPPN;51200;89;3901;360;1
NPPN;51200;128;3989;495;1
NPPN;51200;255;3978;450;1
NPPN;100000;1;1639;500;0
