frequency,duty_cycle,measurement,stabilization_time
100,1,4096,0
100,2,2977,1425
100,3,3172,1006
100,5,3322,755
100,8,3384,503
100,13,3465,419
100,21,3521,335
100,34,4096,335
100,55,3630,252
100,89,4096,252
100,128,3732,252
100,255,4096,252
200,1,4096,252
200,2,2804,1756
200,3,3058,1171
200,5,3266,753
200,8,3388,586
200,13,3452,419
200,21,3511,335
200,34,4096,335
200,55,3627,251
200,89,4096,251
200,128,3737,251
200,255,4096,251
400,1,4096,251
400,2,4096,251
400,3,2921,1503
400,5,3205,919
400,8,4096,919
400,13,3437,418
400,21,3500,335
400,34,4096,335
400,55,3730,670
400,89,4096,670
400,128,4096,670
400,255,4096,670
800,1,4096,670
800,2,4096,670
800,3,2511,1919
800,5,3095,1252
800,8,3271,835
800,13,3411,501
800,21,4096,501
800,34,4096,501
800,55,3607,251
800,89,4096,251
800,128,4096,251
800,255,4096,251
1600,1,4096,251
1600,2,2446,1836
1600,3,2875,1586
1600,5,3271,835
1600,8,4096,835
1600,13,4096,835
1600,21,4096,835
1600,34,3624,251
1600,55,4096,251
1600,89,4096,251
1600,128,4096,251
1600,255,4096,251
3200,1,4096,251
3200,2,2256,1919
3200,3,2718,1669
3200,5,3116,1085
3200,8,3316,668
3200,13,3438,418
3200,21,3532,334
3200,34,3594,251
3200,55,4096,251
3200,89,4096,251
3200,128,4096,251
3200,255,4096,251
6400,1,880,1002
6400,2,1709,1920
6400,3,2257,1836
6400,5,2784,1335
6400,8,3149,918
6400,13,3330,501
6400,21,4096,501
6400,34,3549,251
6400,55,4096,251
6400,89,4096,251
6400,128,4096,251
6400,255,4096,251
12800,1,2029,1586
12800,2,2787,1168
12800,3,3091,751
12800,5,3335,501
12800,8,3469,334
12800,13,3604,335
12800,21,3767,251
12800,34,4096,251
12800,55,4096,251
12800,89,4096,251
12800,128,4096,251
12800,255,4096,251
25600,1,1294,1085
25600,2,2215,1419
25600,3,2677,1085
25600,5,3093,668
25600,8,3307,418
25600,13,3468,335
25600,21,4096,335
25600,34,4096,335
25600,55,4096,335
25600,89,4096,335
25600,128,4096,335
25600,255,4096,335
51200,1,789,668
51200,2,1455,1169
51200,3,1977,1085
51200,5,2606,834
51200,8,3024,584
51200,13,3272,418
51200,21,3446,502
51200,34,3561,251
51200,55,3752,167
51200,89,4096,167
51200,128,4096,167
51200,255,4096,167
100000,1,1616,835
100000,2,2502,835
100000,3,2919,584
100000,5,3198,1507
100000,8,3388,586
100000,13,3507,167
100000,21,3742,167
100000,34,2501,751
100000,55,4096,751
100000,89,4096,751
100000,128,4096,751
100000,255,4096,751
200000,1,857,501
200000,2,1681,751
200000,3,2220,752
200000,5,2813,501
200000,8,4096,501
200000,13,3330,754
200000,21,3483,167
200000,34,1709,751
200000,55,3500,167
200000,89,4096,167
200000,128,4096,167
200000,255,4096,167
400000,1,863,501
400000,2,829,501
400000,3,1381,668
400000,5,2038,585
400000,8,2654,501
400000,13,3011,1256
400000,21,3256,1005
400000,34,886,501
400000,55,3314,419
400000,89,4096,419
400000,128,4096,419
400000,255,4096,419
800000,1,783,418
800000,2,787,335
800000,3,748,335
800000,5,1229,502
800000,8,1839,502
800000,13,2509,418
800000,21,2953,335
800000,34,826,335
800000,55,2997,251
800000,89,4096,251
800000,128,4096,251
800000,255,4096,251
1600000,1,918,502
1600000,2,1117,418
1600000,3,1739,335
1600000,5,2547,419
1600000,8,4096,419
1600000,13,2581,419
1600000,21,4096,419
1600000,34,4096,419
1600000,55,4096,419
1600000,89,4096,419
1600000,128,4096,419
1600000,255,4096,419
3200000,1,4096,419
3200000,2,4096,419
3200000,3,1312,1174
3200000,5,4096,1174
3200000,8,4096,1174
3200000,13,4096,1174
3200000,21,4096,1174
3200000,34,4096,1174
3200000,55,4096,1174
3200000,89,4096,1174
3200000,128,4096,1174
3200000,255,4096,1174
6400000,1,4096,1174
6400000,2,4096,1174
6400000,3,4096,1174
6400000,5,4096,1174
6400000,8,4096,1174
6400000,13,4096,1174
6400000,21,4096,1174
6400000,34,4096,1174
6400000,55,4096,1174
6400000,89,4096,1174
6400000,128,4096,1174
6400000,255,4096,1174
