frequency,duty_cycle,measurement,stabilization_time
100,1,0,80
100,2,0,80
100,3,0,80
100,5,0,80
100,8,0,80
100,13,0,80
100,21,340,404
100,34,594,404
100,55,916,405
100,89,1299,405
100,128,1598,324
100,255,2120,243
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,0,80
200,13,0,80
200,21,339,485
200,34,589,485
200,55,915,485
200,89,1300,485
200,128,1595,323
200,255,2119,242
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,0,80
400,13,0,80
400,21,314,403
400,34,562,403
400,55,893,403
400,89,1284,404
400,128,1593,404
400,255,2122,323
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,0,80
800,21,286,403
800,34,525,403
800,55,862,484
800,89,1260,403
800,128,1571,403
800,255,2113,323
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,0,80
1600,8,0,80
1600,13,331,484
1600,21,608,403
1600,34,957,403
1600,55,1391,403
1600,89,1812,322
1600,128,2097,322
1600,255,2525,242
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,0,80
3200,13,249,403
3200,21,499,403
3200,34,862,403
3200,55,1303,403
3200,89,1753,322
3200,128,2064,322
3200,255,2512,242
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,0,80
6400,13,0,80
6400,21,392,403
6400,34,718,403
6400,55,1156,403
6400,89,1639,322
6400,128,1981,322
6400,255,2486,242
12800,1,0,80
12800,2,0,80
12800,3,0,80
12800,5,258,403
12800,8,520,403
12800,13,903,403
12800,21,1380,322
12800,34,1889,322
12800,55,2315,242
12800,89,2636,242
12800,128,2853,161
12800,255,2826,161
25600,1,0,80
25600,2,0,80
25600,3,0,80
25600,5,172,322
25600,8,368,322
25600,13,702,403
25600,21,1154,403
25600,34,1676,322
25600,55,2169,242
25600,89,2556,242
25600,128,2855,161
25600,255,2821,161
51200,1,0,80
51200,2,0,80
51200,3,0,80
51200,5,0,80
51200,8,264,322
51200,13,527,403
51200,21,907,403
51200,34,1406,322
51200,55,1944,322
51200,89,2415,242
51200,128,2853,161
51200,255,2819,161
100000,1,0,80
100000,2,204,323
100000,3,340,322
100000,5,650,403
100000,8,1074,322
100000,13,1618,322
100000,21,2172,242
100000,34,205,323
100000,55,2272,242
100000,89,2851,161
100000,128,2851,161
100000,255,2852,161
200000,1,122,242
200000,2,180,242
200000,3,267,323
200000,5,464,322
200000,8,820,322
200000,13,1334,322
200000,21,1940,242
200000,34,184,242
200000,55,2072,242
200000,89,2851,161
200000,128,2851,161
200000,255,2853,161
400000,1,4096,161
400000,2,214,242
400000,3,257,242
400000,5,361,242
400000,8,590,242
400000,13,1063,323
400000,21,1726,242
400000,34,218,242
400000,55,1902,242
400000,89,2852,161
400000,128,2854,161
400000,255,2854,161
800000,1,246,161
800000,2,4096,161
800000,3,4096,161
800000,5,337,161
800000,8,461,242
800000,13,875,242
800000,21,1671,161
800000,34,4096,161
800000,55,1869,161
800000,89,2853,161
800000,128,2854,161
800000,255,2854,161
1600000,1,398,162
1600000,2,427,162
1600000,3,723,161
1600000,5,1527,161
1600000,8,2852,161
1600000,13,1528,323
1600000,21,2852,161
1600000,34,2854,161
1600000,55,2856,242
1600000,89,2854,161
1600000,128,2854,161
1600000,255,2853,161
3200000,1,383,404
3200000,2,4096,404
3200000,3,657,809
3200000,5,4096,809
3200000,8,2853,161
3200000,13,4096,161
3200000,21,2853,161
3200000,34,2853,161
3200000,55,2854,161
3200000,89,2853,161
3200000,128,2854,161
3200000,255,2854,161
6400000,1,4096,161
6400000,2,466,162
6400000,3,4096,162
6400000,5,4096,162
6400000,8,2851,161
6400000,13,4096,161
6400000,21,2852,161
6400000,34,2853,161
6400000,55,2854,161
6400000,89,2854,161
6400000,128,2854,161
6400000,255,2854,161
