frequency,duty_cycle,measurement,stabilization_time
100,1,19,406
100,2,0,80
100,3,416,485
100,5,738,485
100,8,1121,405
100,13,1540,405
100,21,1931,324
100,34,2272,243
100,55,4096,243
100,89,2767,163
100,128,4096,163
100,255,4096,163
200,1,0,81
200,2,0,81
200,3,341,485
200,5,666,486
200,8,1063,486
200,13,1493,486
200,21,1908,405
200,34,2263,405
200,55,2542,243
200,89,4096,243
200,128,2920,1620
200,255,3146,486
400,1,0,81
400,2,0,81
400,3,258,403
400,5,561,485
400,8,916,485
400,13,1405,404
400,21,1840,323
400,34,2226,323
400,55,2527,243
400,89,2766,243
400,128,4096,243
400,255,3147,243
800,1,0,80
800,2,0,81
800,3,0,80
800,5,428,403
800,8,716,484
800,13,1243,403
800,21,1742,404
800,34,2155,323
800,55,2494,242
800,89,2755,1618
800,128,2904,162
800,255,4096,162
1600,1,0,80
1600,2,0,80
1600,3,313,403
1600,5,767,403
1600,8,1153,403
1600,13,1767,403
1600,21,2228,323
1600,34,2555,242
1600,55,2822,404
1600,89,4096,404
1600,128,4096,404
1600,255,3308,1132
3200,1,0,80
3200,2,0,80
3200,3,298,403
3200,5,591,403
3200,8,994,403
3200,13,1514,403
3200,21,2030,322
3200,34,2457,242
3200,55,2770,323
3200,89,4096,323
3200,128,4096,323
3200,255,3303,485
6400,1,0,80
6400,2,0,80
6400,3,208,322
6400,5,431,403
6400,8,761,403
6400,13,1238,403
6400,21,1775,322
6400,34,2279,322
6400,55,2669,323
6400,89,2942,161
6400,128,3103,1941
6400,255,3295,2022
12800,1,242,322
12800,2,559,403
12800,3,883,403
12800,5,1411,322
12800,8,1953,322
12800,13,2438,242
12800,21,4096,242
12800,34,4096,242
12800,55,3241,161
12800,89,3354,1132
12800,128,3429,243
12800,255,3421,243
25600,1,220,242
25600,2,400,322
25600,3,634,322
25600,5,1105,322
25600,8,1637,322
25600,13,2176,242
25600,21,2626,242
25600,34,2957,161
25600,55,4096,161
25600,89,3338,1375
25600,128,3429,162
25600,255,3415,243
51200,1,260,242
51200,2,336,242
51200,3,450,242
51200,5,802,322
51200,8,1277,322
51200,13,1853,322
51200,21,2366,242
51200,34,2783,1294
51200,55,4096,1294
51200,89,4096,1294
51200,128,3428,323
51200,255,3404,162
100000,1,462,242
100000,2,918,322
100000,3,1361,322
100000,5,1965,241
100000,8,2473,242
100000,13,2881,161
100000,21,3187,1374
100000,34,923,322
100000,55,3229,161
100000,89,3429,889
100000,128,3428,162
100000,255,3428,323
200000,1,425,161
200000,2,591,242
200000,3,915,322
200000,5,1505,322
200000,8,2091,242
200000,13,2605,242
200000,21,3007,161
200000,34,592,242
200000,55,4096,242
200000,89,3429,405
200000,128,3429,323
200000,255,3429,162
400000,1,4096,162
400000,2,4096,162
400000,3,585,161
400000,5,999,242
400000,8,1580,242
400000,13,2183,242
400000,21,2713,161
400000,34,4096,161
400000,55,2811,161
400000,89,3427,162
400000,128,3427,162
400000,255,3427,728
800000,1,4096,728
800000,2,4096,728
800000,3,4096,728
800000,5,625,161
800000,8,1047,242
800000,13,1684,242
800000,21,2360,161
800000,34,4096,161
800000,55,2490,161
800000,89,3427,162
800000,128,3427,162
800000,255,3427,162
1600000,1,4096,162
1600000,2,664,162
1600000,3,1178,161
1600000,5,1967,242
1600000,8,3427,404
1600000,13,1968,162
1600000,21,3426,162
1600000,34,3427,243
1600000,55,3427,243
1600000,89,3427,323
1600000,128,3427,242
1600000,255,3427,404
3200000,1,4096,404
3200000,2,4096,404
3200000,3,909,1051
3200000,5,1890,324
3200000,8,3426,243
3200000,13,1894,1456
3200000,21,3426,162
3200000,34,3427,162
3200000,55,3426,162
3200000,89,3425,970
3200000,128,3426,242
3200000,255,3425,162
6400000,1,4096,162
6400000,2,4096,162
6400000,3,4096,162
6400000,5,4096,162
6400000,8,3424,162
6400000,13,4096,162
6400000,21,3427,242
6400000,34,3426,404
6400000,55,3427,242
6400000,89,3426,404
6400000,128,3428,404
6400000,255,3426,404
