frequency,duty_cycle,measurement,stabilization_time
100,1,0,80
100,2,0,80
100,3,0,80
100,5,0,80
100,8,0,80
100,13,0,80
100,21,0,80
100,34,0,80
100,55,0,80
100,89,0,80
100,128,0,80
100,255,4096,80
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,0,80
200,13,0,80
200,21,0,80
200,34,0,80
200,55,0,80
200,89,0,80
200,128,0,80
200,255,4096,80
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,0,80
400,13,0,80
400,21,0,80
400,34,0,80
400,55,0,80
400,89,0,80
400,128,0,80
400,255,2991,2013
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,0,80
800,21,0,80
800,34,0,80
800,55,0,80
800,89,0,80
800,128,4096,80
800,255,4096,80
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,0,80
1600,8,0,80
1600,13,0,80
1600,21,0,80
1600,34,0,80
1600,55,0,80
1600,89,4096,80
1600,128,2990,2012
1600,255,3219,1369
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,0,80
3200,13,0,80
3200,21,0,80
3200,34,0,80
3200,55,0,80
3200,89,4096,80
3200,128,4096,80
3200,255,3214,1368
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,0,80
6400,13,0,80
6400,21,0,80
6400,34,0,80
6400,55,0,80
6400,89,4096,80
6400,128,4096,80
6400,255,3236,1692
12800,1,0,80
12800,2,0,80
12800,3,0,80
12800,5,0,80
12800,8,0,80
12800,13,0,80
12800,21,4096,80
12800,34,4096,80
12800,55,3149,1771
12800,89,3303,1369
12800,128,3370,886
12800,255,3376,1047
25600,1,0,80
25600,2,0,80
25600,3,0,80
25600,5,0,80
25600,8,0,80
25600,13,0,80
25600,21,0,80
25600,34,4096,80
25600,55,4096,80
25600,89,3269,1369
25600,128,3373,886
25600,255,3364,967
51200,1,0,80
51200,2,0,80
51200,3,0,80
51200,5,0,80
51200,8,0,80
51200,13,0,80
51200,21,0,80
51200,34,4096,80
51200,55,4096,80
51200,89,3219,1611
51200,128,3384,967
51200,255,3350,967
100000,1,0,80
100000,2,0,80
100000,3,0,80
100000,5,0,80
100000,8,4096,80
100000,13,4096,80
100000,21,3089,2013
100000,34,0,80
100000,55,3147,1853
100000,89,3388,967
100000,128,3387,967
100000,255,3376,886
200000,1,0,80
200000,2,0,80
200000,3,0,80
200000,5,0,80
200000,8,4096,80
200000,13,4096,80
200000,21,4096,80
200000,34,0,80
200000,55,2960,2014
200000,89,3379,886
200000,128,3378,886
200000,255,3391,966
400000,1,0,80
400000,2,0,80
400000,3,0,80
400000,5,0,80
400000,8,4096,80
400000,13,4096,80
400000,21,4096,80
400000,34,0,80
400000,55,4096,80
400000,89,3389,966
400000,128,3378,886
400000,255,3389,967
800000,1,0,80
800000,2,0,80
800000,3,0,80
800000,5,0,80
800000,8,784,1775
800000,13,4096,1775
800000,21,2225,1855
800000,34,0,80
800000,55,2353,1531
800000,89,3377,886
800000,128,3379,886
800000,255,3379,886
1600000,1,555,968
1600000,2,572,888
1600000,3,1035,1534
1600000,5,1848,1210
1600000,8,3395,1047
1600000,13,1881,1453
1600000,21,3389,966
1600000,34,3392,966
1600000,55,3392,966
1600000,89,3392,966
1600000,128,3392,966
1600000,255,3394,967
3200000,1,4096,967
3200000,2,621,1051
3200000,3,872,1859
3200000,5,4096,1859
3200000,8,3389,966
3200000,13,4096,966
3200000,21,3390,966
3200000,34,3381,886
3200000,55,3404,1128
3200000,89,3392,967
3200000,128,3392,967
3200000,255,3392,966
6400000,1,4096,966
6400000,2,4096,966
6400000,3,4096,966
6400000,5,4096,966
6400000,8,3388,966
6400000,13,4096,966
6400000,21,3377,886
6400000,34,3391,967
6400000,55,3380,886
6400000,89,3391,967
6400000,128,3405,1128
6400000,255,3400,1047
