frequency,duty_cycle,measurement,stabilization_time
100,1,142,81
100,2,0,80
100,3,0,80
100,5,0,80
100,8,1668,1616
100,13,2069,1374
100,21,2384,1051
100,34,2649,889
100,55,2849,647
100,89,3016,485
100,128,3127,404
100,255,3287,889
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,1583,1532
200,13,2019,1371
200,21,2369,1130
200,34,2630,807
200,55,2850,727
200,89,3015,484
200,128,3126,403
200,255,3282,323
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,1405,1611
400,13,1936,1450
400,21,2315,1128
400,34,2609,886
400,55,2833,645
400,89,3009,483
400,128,3123,403
400,255,3273,242
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,1742,1369
800,21,2223,1208
800,34,2544,886
800,55,2813,725
800,89,2999,483
800,128,3116,403
800,255,3279,323
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,1197,1692
1600,8,1645,1530
1600,13,2228,1127
1600,21,2608,885
1600,34,2856,644
1600,55,3051,483
1600,89,3188,322
1600,128,3276,808
1600,255,4096,808
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,1453,1530
3200,13,1983,1208
3200,21,2445,966
3200,34,2784,724
3200,55,3015,483
3200,89,3181,403
3200,128,3266,322
3200,255,4096,322
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,1135,1288
6400,13,1712,1368
6400,21,2224,1046
6400,34,2641,805
6400,55,2943,563
6400,89,3150,403
6400,128,3250,322
6400,255,4096,322
12800,1,0,80
12800,2,879,1369
12800,3,1294,1288
12800,5,1901,1288
12800,8,2384,966
12800,13,2767,644
12800,21,3054,483
12800,34,3233,322
12800,55,3346,242
12800,89,4096,242
12800,128,3473,161
12800,255,3468,161
25600,1,0,80
25600,2,0,80
25600,3,1007,1369
25600,5,1583,1288
25600,8,2127,1208
25600,13,2590,885
25600,21,2929,563
25600,34,3180,403
25600,55,4096,403
25600,89,4096,403
25600,128,4096,403
25600,255,3468,161
51200,1,0,80
51200,2,0,80
51200,3,722,1208
51200,5,1263,1450
51200,8,1776,1127
51200,13,2318,885
51200,21,2751,724
51200,34,3070,483
51200,55,3278,322
51200,89,4096,322
51200,128,3473,161
51200,255,3460,161
100000,1,690,967
100000,2,1423,1288
100000,3,1903,1127
100000,5,2446,805
100000,8,2859,644
100000,13,3161,403
100000,21,3343,242
100000,34,1421,1208
100000,55,3368,242
100000,89,3473,161
100000,128,4096,161
100000,255,4096,161
200000,1,497,645
200000,2,1007,1128
200000,3,1455,1127
200000,5,2081,966
200000,8,2589,805
200000,13,2977,483
200000,21,3261,322
200000,34,1010,1128
200000,55,3301,322
200000,89,3471,161
200000,128,3470,161
200000,255,3471,161
400000,1,485,403
400000,2,610,645
400000,3,1034,1129
400000,5,1601,967
400000,8,2192,886
400000,13,2694,644
400000,21,3088,403
400000,34,617,645
400000,55,3142,322
400000,89,4096,322
400000,128,3471,161
400000,255,4096,161
800000,1,447,322
800000,2,545,323
800000,3,611,484
800000,5,1103,806
800000,8,1647,725
800000,13,2286,725
800000,21,2798,484
800000,34,557,403
800000,55,2887,484
800000,89,4096,484
800000,128,3472,161
800000,255,3473,161
1600000,1,607,323
1600000,2,1065,726
1600000,3,1661,726
1600000,5,2345,646
1600000,8,3472,161
1600000,13,2336,484
1600000,21,3472,161
1600000,34,3472,161
1600000,55,4096,161
1600000,89,3473,161
1600000,128,4096,161
1600000,255,4096,161
3200000,1,554,1859
3200000,2,4096,1859
3200000,3,1161,1536
3200000,5,4096,1536
3200000,8,3470,161
3200000,13,2080,566
3200000,21,3470,161
3200000,34,3471,161
3200000,55,3471,161
3200000,89,3472,161
3200000,128,3472,161
3200000,255,3472,161
6400000,1,4096,161
6400000,2,4096,161
6400000,3,4096,161
6400000,5,4096,161
6400000,8,3467,161
6400000,13,4096,161
6400000,21,3468,161
6400000,34,3469,161
6400000,55,3470,161
6400000,89,3470,161
6400000,128,3470,161
6400000,255,3470,161
