frequency,duty_cycle,measurement,stabilization_time
100,1,1291,1760
100,2,2191,1507
100,3,2585,1256
100,5,2869,838
100,8,3084,671
100,13,3241,503
100,21,4096,503
100,34,4096,503
100,55,4096,503
100,89,4096,503
100,128,4096,503
100,255,4096,503
200,1,749,1005
200,2,1572,1507
200,3,2091,1339
200,5,2579,920
200,8,2898,669
200,13,3115,502
200,21,3268,419
200,34,4096,419
200,55,4096,419
200,89,4096,419
200,128,4096,419
200,255,4096,419
400,1,514,754
400,2,781,1172
400,3,1427,1423
400,5,2064,1171
400,8,2508,836
400,13,2894,585
400,21,3118,418
400,34,3270,335
400,55,4096,335
400,89,3511,251
400,128,3585,251
400,255,4096,251
800,1,442,502
800,2,403,1005
800,3,637,1088
800,5,1326,1004
800,8,1813,920
800,13,2447,753
800,21,2836,502
800,34,3112,418
800,55,4096,418
800,89,3410,251
800,128,3500,251
800,255,4096,251
1600,1,459,502
1600,2,480,921
1600,3,751,1088
1600,5,1429,837
1600,8,1909,753
1600,13,2516,586
1600,21,2911,418
1600,34,4096,418
1600,55,4096,418
1600,89,3484,251
1600,128,4096,251
1600,255,4096,251
3200,1,525,670
3200,2,365,670
3200,3,460,670
3200,5,808,753
3200,8,1281,753
3200,13,1834,669
3200,21,2337,418
3200,34,2802,418
3200,55,4096,418
3200,89,4096,418
3200,128,3463,251
3200,255,4096,251
6400,1,553,670
6400,2,421,753
6400,3,396,670
6400,5,445,586
6400,8,695,670
6400,13,1139,753
6400,21,1634,502
6400,34,2190,502
6400,55,2674,419
6400,89,4096,419
6400,128,4096,419
6400,255,4096,419
12800,1,579,586
12800,2,486,586
12800,3,578,586
12800,5,933,586
12800,8,1391,502
12800,13,1932,418
12800,21,2452,335
12800,34,2935,335
12800,55,3308,251
12800,89,4096,251
12800,128,4096,251
12800,255,4096,251
25600,1,625,502
25600,2,527,502
25600,3,529,586
25600,5,540,419
25600,8,813,586
25600,13,1230,419
25600,21,1761,419
25600,34,2308,335
25600,55,2832,251
25600,89,4096,251
25600,128,4096,251
25600,255,4096,251
51200,1,680,586
51200,2,586,586
51200,3,564,502
51200,5,562,502
51200,8,543,335
51200,13,747,419
51200,21,1158,419
51200,34,1682,335
51200,55,2293,335
51200,89,2969,251
51200,128,4096,251
51200,255,4096,251
100000,1,706,502
100000,2,618,503
100000,3,585,335
100000,5,788,419
100000,8,1211,335
100000,13,1814,335
100000,21,2551,251
100000,34,630,419
100000,55,2721,251
100000,89,4096,251
100000,128,4096,251
100000,255,4096,251
200000,1,751,502
200000,2,643,419
200000,3,620,335
200000,5,656,419
200000,8,994,335
200000,13,1572,335
200000,21,2359,251
200000,34,648,335
200000,55,2543,251
200000,89,4096,251
200000,128,4096,251
200000,255,4096,251
400000,1,793,503
400000,2,678,419
400000,3,652,335
400000,5,650,335
400000,8,888,335
400000,13,1447,335
400000,21,2262,251
400000,34,681,335
400000,55,2469,251
400000,89,4096,251
400000,128,4096,251
400000,255,4096,251
800000,1,824,503
800000,2,700,335
800000,3,685,335
800000,5,679,335
800000,8,816,335
800000,13,1396,335
800000,21,2231,251
800000,34,714,335
800000,55,2426,251
800000,89,4096,251
800000,128,4096,251
800000,255,4096,251
1600000,1,847,419
1600000,2,747,335
1600000,3,1242,419
1600000,5,2063,251
1600000,8,4096,251
1600000,13,2096,251
1600000,21,3917,251
1600000,34,4096,251
1600000,55,4096,251
1600000,89,4096,251
1600000,128,4096,251
1600000,255,4096,251
3200000,1,4096,251
3200000,2,772,1677
3200000,3,1121,1844
3200000,5,2120,671
3200000,8,4096,671
3200000,13,4096,671
3200000,21,4096,671
3200000,34,4096,671
3200000,55,4096,671
3200000,89,4096,671
3200000,128,4096,671
3200000,255,4096,671
6400000,1,4096,671
6400000,2,4096,671
6400000,3,4096,671
6400000,5,4096,671
6400000,8,4096,671
6400000,13,4096,671
6400000,21,4096,671
6400000,34,4096,671
6400000,55,4096,671
6400000,89,4096,671
6400000,128,4096,671
6400000,255,4096,671
