frequency,duty_cycle,measurement,stabilization_time
100,1,0,243
100,2,0,80
100,3,331,404
100,5,627,404
100,8,1001,404
100,13,1426,404
100,21,1830,323
100,34,2202,324
100,55,2491,243
100,89,2721,162
100,128,4096,162
100,255,4096,162
200,1,0,80
200,2,0,80
200,3,244,403
200,5,545,484
200,8,915,566
200,13,1345,485
200,21,1771,323
200,34,2155,323
200,55,2465,404
200,89,2714,485
200,128,2868,1375
200,255,3110,970
400,1,0,80
400,2,0,80
400,3,0,80
400,5,378,403
400,8,694,403
400,13,1163,403
400,21,1615,323
400,34,2038,323
400,55,2389,242
400,89,2660,566
400,128,2823,161
400,255,3088,970
800,1,0,80
800,2,0,80
800,3,0,80
800,5,204,323
800,8,426,403
800,13,878,403
800,21,1360,323
800,34,1829,323
800,55,2249,242
800,89,2571,889
800,128,2750,161
800,255,3038,889
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,366,323
1600,8,653,323
1600,13,1206,323
1600,21,1734,323
1600,34,2177,242
1600,55,2540,242
1600,89,2806,404
1600,128,4096,404
1600,255,3210,404
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,164,323
3200,8,399,323
3200,13,775,323
3200,21,1259,242
3200,34,1802,242
3200,55,2283,242
3200,89,2641,161
3200,128,2843,161
3200,255,3144,162
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,172,242
6400,13,408,242
6400,21,781,242
6400,34,1275,242
6400,55,1828,242
6400,89,2323,161
6400,128,2626,161
6400,255,3039,1374
12800,1,0,80
12800,2,84,242
12800,3,169,242
12800,5,376,242
12800,8,709,242
12800,13,1189,242
12800,21,1735,161
12800,34,2276,161
12800,55,2715,404
12800,89,4096,404
12800,128,3428,242
12800,255,3395,404
25600,1,112,242
25600,2,110,242
25600,3,128,242
25600,5,207,242
25600,8,372,242
25600,13,690,242
25600,21,1149,161
25600,34,1710,161
25600,55,2290,161
25600,89,2833,727
25600,128,3429,566
25600,255,3386,243
51200,1,205,242
51200,2,199,242
51200,3,197,242
51200,5,206,242
51200,8,257,323
51200,13,408,161
51200,21,727,161
51200,34,1216,161
51200,55,1835,161
51200,89,2539,161
51200,128,3428,323
51200,255,3379,404
100000,1,4096,404
100000,2,4096,404
100000,3,318,161
100000,5,496,161
100000,8,872,161
100000,13,1453,161
100000,21,2229,161
100000,34,4096,161
100000,55,2402,162
100000,89,3427,404
100000,128,3429,162
100000,255,3427,162
200000,1,365,161
200000,2,360,161
200000,3,361,161
200000,5,433,161
200000,8,738,161
200000,13,1289,161
200000,21,2101,242
200000,34,361,161
200000,55,2291,162
200000,89,3428,323
200000,128,3428,323
200000,255,3428,970
400000,1,4096,970
400000,2,4096,970
400000,3,4096,970
400000,5,4096,970
400000,8,660,161
400000,13,1208,162
400000,21,2036,162
400000,34,4096,162
400000,55,2248,162
400000,89,3425,162
400000,128,3427,808
400000,255,3428,162
800000,1,495,161
800000,2,488,242
800000,3,4096,242
800000,5,4096,242
800000,8,596,162
800000,13,1162,162
800000,21,2011,162
800000,34,486,1132
800000,55,2213,162
800000,89,3425,404
800000,128,3427,404
800000,255,3428,243
1600000,1,536,1051
1600000,2,552,323
1600000,3,978,242
1600000,5,1830,162
1600000,8,3427,889
1600000,13,1831,242
1600000,21,3427,808
1600000,34,3427,162
1600000,55,3425,162
1600000,89,3426,162
1600000,128,3426,323
1600000,255,3426,162
3200000,1,581,566
3200000,2,4096,566
3200000,3,848,162
3200000,5,1863,566
3200000,8,3426,162
3200000,13,1860,162
3200000,21,3425,162
3200000,34,3425,162
3200000,55,3426,243
3200000,89,3427,162
3200000,128,3425,243
3200000,255,3427,323
6400000,1,4096,323
6400000,2,4096,323
6400000,3,4096,323
6400000,5,4096,323
6400000,8,3426,162
6400000,13,4096,162
6400000,21,3425,162
6400000,34,3427,162
6400000,55,3425,162
6400000,89,3425,323
6400000,128,3426,323
6400000,255,3426,242
