frequency,duty_cycle,measurement,stabilization_time
100,1,0,80
100,2,0,80
100,3,0,80
100,5,0,80
100,8,0,80
100,13,0,80
100,21,0,80
100,34,0,80
100,55,0,80
100,89,0,80
100,128,0,80
100,255,4096,80
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,0,80
200,13,0,80
200,21,0,80
200,34,0,80
200,55,0,80
200,89,0,80
200,128,0,80
200,255,4096,80
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,0,80
400,13,0,80
400,21,0,80
400,34,0,80
400,55,0,80
400,89,0,80
400,128,4096,80
400,255,4096,80
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,0,80
800,21,0,80
800,34,0,80
800,55,0,80
800,89,0,80
800,128,0,80
800,255,4096,80
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,0,80
1600,8,0,80
1600,13,0,80
1600,21,0,80
1600,34,0,80
1600,55,0,80
1600,89,4096,80
1600,128,4096,80
1600,255,3153,1614
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,0,80
3200,13,0,80
3200,21,0,80
3200,34,0,80
3200,55,0,80
3200,89,4096,80
3200,128,4096,80
3200,255,3053,1532
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,0,80
6400,13,0,80
6400,21,0,80
6400,34,0,80
6400,55,0,80
6400,89,4096,80
6400,128,4096,80
6400,255,2937,1613
12800,1,0,80
12800,2,0,80
12800,3,0,80
12800,5,0,80
12800,8,0,80
12800,13,0,80
12800,21,0,80
12800,34,4096,80
12800,55,2636,1856
12800,89,3013,1452
12800,128,3390,968
12800,255,3372,1211
25600,1,0,80
25600,2,0,80
25600,3,0,80
25600,5,0,80
25600,8,0,80
25600,13,0,80
25600,21,0,80
25600,34,4096,80
25600,55,2230,1775
25600,89,2761,1290
25600,128,3401,1130
25600,255,3346,968
51200,1,0,80
51200,2,0,80
51200,3,0,80
51200,5,0,80
51200,8,0,80
51200,13,0,80
51200,21,0,80
51200,34,1146,1938
51200,55,1787,1775
51200,89,2487,1291
51200,128,3396,1049
51200,255,3340,968
100000,1,0,80
100000,2,0,80
100000,3,0,80
100000,5,0,80
100000,8,0,80
100000,13,1388,1534
100000,21,2193,1372
100000,34,0,80
100000,55,2360,1210
100000,89,3387,968
100000,128,3390,968
100000,255,3389,968
200000,1,0,80
200000,2,0,80
200000,3,0,80
200000,5,0,80
200000,8,0,80
200000,13,1215,1292
200000,21,2063,1211
200000,34,0,80
200000,55,2253,1130
200000,89,3408,1291
200000,128,3390,968
200000,255,3391,968
400000,1,0,80
400000,2,0,80
400000,3,0,80
400000,5,0,80
400000,8,560,1131
400000,13,1155,1454
400000,21,1995,1130
400000,34,0,80
400000,55,2207,1049
400000,89,3395,1048
400000,128,3388,968
400000,255,3407,1210
800000,1,0,80
800000,2,0,80
800000,3,0,80
800000,5,0,80
800000,8,531,1131
800000,13,1081,1131
800000,21,1941,888
800000,34,0,80
800000,55,2171,1050
800000,89,3387,968
800000,128,3379,887
800000,255,3390,968
1600000,1,472,970
1600000,2,477,728
1600000,3,913,1132
1600000,5,1793,1132
1600000,8,3384,968
1600000,13,1772,889
1600000,21,3385,968
1600000,34,3388,968
1600000,55,3403,1129
1600000,89,3378,887
1600000,128,3387,968
1600000,255,3396,1048
3200000,1,4096,1048
3200000,2,568,2025
3200000,3,782,809
3200000,5,1832,1053
3200000,8,3384,968
3200000,13,1856,1702
3200000,21,3392,1049
3200000,34,3387,968
3200000,55,3395,1049
3200000,89,3396,1049
3200000,128,3396,1049
3200000,255,3380,887
6400000,1,4096,887
6400000,2,4096,887
6400000,3,4096,887
6400000,5,4096,887
6400000,8,3373,887
6400000,13,4096,887
6400000,21,3386,968
6400000,34,3387,968
6400000,55,3389,968
6400000,89,3401,1129
6400000,128,3378,887
6400000,255,3402,1129
