frequency,duty_cycle,measurement,stabilization_time
100,1,63,81
100,2,0,80
100,3,0,80
100,5,0,80
100,8,1164,806
100,13,1330,726
100,21,1599,646
100,34,1918,565
100,55,2216,404
100,89,2473,323
100,128,2592,1295
100,255,2830,1052
200,1,43,242
200,2,0,80
200,3,0,80
200,5,0,80
200,8,925,1373
200,13,1335,969
200,21,1652,726
200,34,1928,565
200,55,2185,404
200,89,2420,323
200,128,2584,404
200,255,2846,242
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,746,1130
400,13,1241,968
400,21,1582,726
400,34,1866,565
400,55,2143,403
400,89,2387,323
400,128,2534,565
400,255,2767,1375
800,1,40,242
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,1047,1292
800,21,1419,726
800,34,1728,564
800,55,2027,403
800,89,2298,322
800,128,2455,646
800,255,2740,727
1600,1,35,242
1600,2,0,80
1600,3,0,80
1600,5,0,80
1600,8,873,1292
1600,13,1363,726
1600,21,1714,484
1600,34,2025,403
1600,55,2318,323
1600,89,2558,242
1600,128,2683,889
1600,255,2949,161
3200,1,34,323
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,615,969
3200,13,1077,969
3200,21,1468,726
3200,34,1833,403
3200,55,2177,322
3200,89,2459,242
3200,128,2637,242
3200,255,2915,161
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,0,80
6400,13,688,807
6400,21,1161,807
6400,34,1559,484
6400,55,1950,403
6400,89,2307,323
6400,128,2526,242
6400,255,2863,161
12800,1,82,404
12800,2,0,80
12800,3,345,646
12800,5,711,807
12800,8,1157,726
12800,13,1587,484
12800,21,2000,322
12800,34,2386,242
12800,55,2667,970
12800,89,2922,808
12800,128,3185,485
12800,255,3141,1456
25600,1,118,323
25600,2,0,80
25600,3,0,80
25600,5,435,727
25600,8,748,646
25600,13,1176,565
25600,21,1589,403
25600,34,2016,323
25600,55,2433,242
25600,89,2799,161
25600,128,3176,1456
25600,255,3140,323
51200,1,143,323
51200,2,0,80
51200,3,0,80
51200,5,0,80
51200,8,457,646
51200,13,787,646
51200,21,1197,484
51200,34,1644,323
51200,55,2124,242
51200,89,2609,485
51200,128,3194,1051
51200,255,3148,162
100000,1,234,404
100000,2,332,565
100000,3,490,565
100000,5,825,565
100000,8,1237,403
100000,13,1733,323
100000,21,2322,242
100000,34,336,404
100000,55,2447,161
100000,89,3206,808
100000,128,4096,808
100000,255,3175,242
200000,1,287,404
200000,2,301,404
200000,3,374,404
200000,5,620,484
200000,8,997,403
200000,13,1479,323
200000,21,2129,242
200000,34,317,404
200000,55,2285,161
200000,89,3179,1294
200000,128,3175,485
200000,255,4096,485
400000,1,350,323
400000,2,351,404
400000,3,375,404
400000,5,503,404
400000,8,855,404
400000,13,1341,242
400000,21,2019,161
400000,34,352,323
400000,55,2200,162
400000,89,3157,1860
400000,128,3143,1132
400000,255,3138,1132
800000,1,456,323
800000,2,405,323
800000,3,414,323
800000,5,465,323
800000,8,735,485
800000,13,1257,323
800000,21,1951,161
800000,34,410,323
800000,55,2127,162
800000,89,4096,162
800000,128,3137,162
800000,255,3138,162
1600000,1,478,323
1600000,2,588,404
1600000,3,1056,323
1600000,5,1753,162
1600000,8,3145,728
1600000,13,1746,162
1600000,21,3137,728
1600000,34,3128,970
1600000,55,3127,566
1600000,89,3123,970
1600000,128,3122,485
1600000,255,3120,162
3200000,1,563,324
3200000,2,4096,324
3200000,3,879,648
3200000,5,1774,162
3200000,8,3145,647
3200000,13,1774,486
3200000,21,3153,728
3200000,34,3144,728
3200000,55,3135,890
3200000,89,3121,1860
3200000,128,3120,404
3200000,255,3116,566
6400000,1,4096,566
6400000,2,4096,566
6400000,3,4096,566
6400000,5,4096,566
6400000,8,3135,1051
6400000,13,4096,1051
6400000,21,4096,1051
6400000,34,3133,404
6400000,55,3131,162
6400000,89,3130,161
6400000,128,3126,889
6400000,255,3123,1132
