frequency,duty_cycle,measurement,stabilization_time
100,1,4096,0
100,2,3059,1425
100,3,3235,1006
100,5,3350,671
100,8,3447,503
100,13,3519,419
100,21,3574,336
100,34,4096,336
100,55,3683,252
100,89,4096,252
100,128,3785,252
100,255,4096,252
200,1,4096,252
200,2,2832,1588
200,3,3138,1170
200,5,3329,753
200,8,3420,502
200,13,4096,502
200,21,3575,335
200,34,4096,335
200,55,3680,251
200,89,4096,251
200,128,3788,251
200,255,4096,251
400,1,4096,251
400,2,4096,251
400,3,3007,1503
400,5,3277,919
400,8,3392,585
400,13,3492,418
400,21,3553,334
400,34,4096,334
400,55,3674,251
400,89,4096,251
400,128,4096,251
400,255,4096,251
800,1,1294,1921
800,2,4096,1921
800,3,2639,2003
800,5,3159,1169
800,8,3315,751
800,13,4096,751
800,21,3539,334
800,34,4096,334
800,55,3663,251
800,89,3722,251
800,128,4096,251
800,255,4096,251
1600,1,4096,251
1600,2,2543,1751
1600,3,2941,1418
1600,5,3327,751
1600,8,3437,501
1600,13,3539,334
1600,21,4096,334
1600,34,4096,334
1600,55,4096,334
1600,89,4096,334
1600,128,4096,334
1600,255,4096,334
3200,1,1581,2004
3200,2,2432,2003
3200,3,2818,1502
3200,5,3201,1002
3200,8,3377,584
3200,13,3506,418
3200,21,4096,418
3200,34,3657,251
3200,55,3842,335
3200,89,4096,335
3200,128,4096,335
3200,255,4096,335
6400,1,1136,1838
6400,2,1904,2003
6400,3,2446,1835
6400,5,2927,1251
6400,8,3249,835
6400,13,3420,501
6400,21,3527,334
6400,34,4096,334
6400,55,3841,335
6400,89,4096,335
6400,128,4096,335
6400,255,4096,335
12800,1,2254,1585
12800,2,2960,1085
12800,3,3239,751
12800,5,4096,751
12800,8,3544,334
12800,13,4096,334
12800,21,4096,334
12800,34,4096,334
12800,55,3854,167
12800,89,4096,167
12800,128,4096,167
12800,255,4096,167
25600,1,1624,1587
25600,2,2476,1419
25600,3,2894,1001
25600,5,3234,584
25600,8,3415,418
25600,13,3537,335
25600,21,3644,251
25600,34,4096,251
25600,55,4096,251
25600,89,3930,587
25600,128,4096,587
25600,255,3970,251
51200,1,963,919
51200,2,1781,1335
51200,3,2302,1168
51200,5,2896,918
51200,8,3186,501
51200,13,3400,502
51200,21,3518,335
51200,34,3623,251
51200,55,4096,251
51200,89,4096,251
51200,128,4096,251
51200,255,3855,167
100000,1,1969,1002
100000,2,2796,751
100000,3,3108,501
100000,5,3350,1340
100000,8,3479,502
100000,13,3577,251
100000,21,3806,167
100000,34,2828,835
100000,55,3808,167
100000,89,4096,167
100000,128,4096,167
100000,255,4096,167
200000,1,1136,835
200000,2,2063,835
200000,3,2573,751
200000,5,3040,501
200000,8,4096,501
200000,13,3451,502
200000,21,3551,168
200000,34,2099,919
200000,55,3568,168
200000,89,4096,168
200000,128,4096,168
200000,255,4096,168
400000,1,876,418
400000,2,1150,668
400000,3,1775,752
400000,5,2437,668
400000,8,2953,502
400000,13,4096,502
400000,21,3430,670
400000,34,1185,668
400000,55,3456,335
400000,89,4096,335
400000,128,4096,335
400000,255,4096,335
800000,1,772,502
800000,2,816,335
800000,3,872,502
800000,5,1600,585
800000,8,2219,501
800000,13,2861,585
800000,21,3100,586
800000,34,864,334
800000,55,3145,335
800000,89,4096,335
800000,128,4096,335
800000,255,4096,335
1600000,1,942,502
1600000,2,1406,669
1600000,3,2053,502
1600000,5,2796,502
1600000,8,4096,502
1600000,13,2804,418
1600000,21,4096,418
1600000,34,4096,418
1600000,55,4096,418
1600000,89,4096,418
1600000,128,4096,418
1600000,255,4096,418
3200000,1,4096,418
3200000,2,4096,418
3200000,3,1454,754
3200000,5,4096,754
3200000,8,4096,754
3200000,13,4096,754
3200000,21,4096,754
3200000,34,4096,754
3200000,55,4096,754
3200000,89,4096,754
3200000,128,4096,754
3200000,255,4096,754
6400000,1,4096,754
6400000,2,4096,754
6400000,3,4096,754
6400000,5,4096,754
6400000,8,4096,754
6400000,13,4096,754
6400000,21,4096,754
6400000,34,4096,754
6400000,55,4096,754
6400000,89,4096,754
6400000,128,4096,754
6400000,255,4096,754
