frequency,duty_cycle,measurement,stabilization_time
100,1,4096,0
100,2,2636,1674
100,3,2963,1172
100,5,3206,754
100,8,3370,586
100,13,4096,586
100,21,3521,335
100,34,4096,335
100,55,4096,335
100,89,3698,252
100,128,4096,252
100,255,4096,252
200,1,1100,1507
200,2,2095,1841
200,3,2573,1422
200,5,3011,920
200,8,3289,669
200,13,3402,418
200,21,4096,418
200,34,4096,418
200,55,3635,251
200,89,4096,251
200,128,3741,251
200,255,4096,251
400,1,652,921
400,2,1254,1590
400,3,1976,1590
400,5,2543,1003
400,8,3004,836
400,13,3305,502
400,21,3468,418
400,34,4096,418
400,55,4096,418
400,89,4096,418
400,128,4096,418
400,255,4096,418
800,1,480,586
800,2,681,1172
800,3,1093,1423
800,5,1925,1255
800,8,2387,920
800,13,2972,669
800,21,4096,669
800,34,3486,335
800,55,4096,335
800,89,4096,335
800,128,4096,335
800,255,4096,335
1600,1,532,670
1600,2,815,1088
1600,3,1228,1172
1600,5,2058,1004
1600,8,2508,752
1600,13,3076,502
1600,21,4096,502
1600,34,4096,502
1600,55,3659,251
1600,89,4096,251
1600,128,4096,251
1600,255,4096,251
3200,1,500,586
3200,2,570,921
3200,3,826,921
3200,5,1336,920
3200,8,1880,753
3200,13,2446,585
3200,21,2962,502
3200,34,3349,335
3200,55,3549,251
3200,89,4096,251
3200,128,4096,251
3200,255,4096,251
6400,1,545,670
6400,2,429,669
6400,3,469,586
6400,5,771,837
6400,8,1166,669
6400,13,1715,669
6400,21,2287,585
6400,34,2802,418
6400,55,3269,335
6400,89,3536,251
6400,128,4096,251
6400,255,3834,251
12800,1,562,502
12800,2,680,586
12800,3,999,753
12800,5,1481,586
12800,8,2024,502
12800,13,2582,418
12800,21,3093,335
12800,34,3468,251
12800,55,4096,251
12800,89,4096,251
12800,128,4096,251
12800,255,4096,251
25600,1,620,502
25600,2,538,502
25600,3,589,502
25600,5,880,502
25600,8,1317,586
25600,13,1841,502
25600,21,2379,335
25600,34,2923,335
25600,55,4096,335
25600,89,4096,335
25600,128,4096,335
25600,255,4096,335
51200,1,662,502
51200,2,580,502
51200,3,558,418
51200,5,579,419
51200,8,784,502
51200,13,1182,502
51200,21,1665,418
51200,34,2220,335
51200,55,2770,251
51200,89,3350,251
51200,128,4096,251
51200,255,3839,251
100000,1,688,502
100000,2,615,419
100000,3,727,419
100000,5,1110,419
100000,8,1581,335
100000,13,2184,335
100000,21,2856,251
100000,34,647,419
100000,55,4096,419
100000,89,4096,419
100000,128,4096,419
100000,255,4096,419
200000,1,733,418
200000,2,648,419
200000,3,628,335
200000,5,830,419
200000,8,1234,335
200000,13,1798,251
200000,21,2552,251
200000,34,654,335
200000,55,2728,251
200000,89,4096,251
200000,128,4096,251
200000,255,4096,251
400000,1,783,419
400000,2,683,419
400000,3,656,335
400000,5,694,335
400000,8,1061,335
400000,13,1619,335
400000,21,2396,251
400000,34,687,335
400000,55,2596,251
400000,89,4096,251
400000,128,4096,251
400000,255,4096,251
800000,1,816,419
800000,2,736,419
800000,3,681,335
800000,5,684,335
800000,8,941,335
800000,13,1523,335
800000,21,2332,251
800000,34,727,335
800000,55,2520,251
800000,89,4096,251
800000,128,4096,251
800000,255,4096,251
1600000,1,851,419
1600000,2,803,335
1600000,3,1328,335
1600000,5,2161,335
1600000,8,4096,335
1600000,13,2176,251
1600000,21,4096,251
1600000,34,4096,251
1600000,55,4096,251
1600000,89,4096,251
1600000,128,4096,251
1600000,255,4096,251
3200000,1,4096,251
3200000,2,788,838
3200000,3,1175,1006
3200000,5,2162,335
3200000,8,4096,335
3200000,13,4096,335
3200000,21,4096,335
3200000,34,4096,335
3200000,55,4096,335
3200000,89,4096,335
3200000,128,4096,335
3200000,255,4096,335
6400000,1,4096,335
6400000,2,4096,335
6400000,3,4096,335
6400000,5,4096,335
6400000,8,4096,335
6400000,13,4096,335
6400000,21,4096,335
6400000,34,4096,335
6400000,55,4096,335
6400000,89,4096,335
6400000,128,4096,335
6400000,255,4096,335
