frequency,duty_cycle,measurement,stabilization_time
100,1,303,1776
100,2,0,80
100,3,0,80
100,5,0,80
100,8,0,80
100,13,0,80
100,21,4096,80
100,34,3374,1935
100,55,3472,1532
100,89,3554,1291
100,128,3568,887
100,255,3674,807
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,0,80
200,13,4096,80
200,21,4096,80
200,34,4096,80
200,55,3488,1612
200,89,3548,1209
200,128,3621,1210
200,255,3677,806
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,0,80
400,13,4096,80
400,21,4096,80
400,34,4096,80
400,55,3475,1530
400,89,3536,1128
400,128,3570,886
400,255,3697,968
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,0,80
800,21,4096,80
800,34,4096,80
800,55,3498,1773
800,89,3566,1370
800,128,3613,1128
800,255,3691,887
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,0,80
1600,8,0,80
1600,13,4096,80
1600,21,4096,80
1600,34,3531,1772
1600,55,3597,1290
1600,89,3635,887
1600,128,3698,968
1600,255,3751,645
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,0,80
3200,13,4096,80
3200,21,4096,80
3200,34,3493,1692
3200,55,3576,1289
3200,89,3625,886
3200,128,3673,806
3200,255,3768,807
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,0,80
6400,13,4096,80
6400,21,4096,80
6400,34,3455,2013
6400,55,3551,1370
6400,89,3606,886
6400,128,3692,1048
6400,255,3757,726
12800,1,0,80
12800,2,0,80
12800,3,0,80
12800,5,4096,80
12800,8,4096,80
12800,13,3474,1530
12800,21,3608,1290
12800,34,3663,887
12800,55,3695,564
12800,89,3768,564
12800,128,3850,726
12800,255,3822,565
25600,1,0,80
25600,2,0,80
25600,3,0,80
25600,5,4096,80
25600,8,4096,80
25600,13,4096,80
25600,21,3531,1289
25600,34,3621,886
25600,55,3702,806
25600,89,3776,726
25600,128,3837,646
25600,255,3814,565
51200,1,0,80
51200,2,0,80
51200,3,0,80
51200,5,4096,80
51200,8,4096,80
51200,13,4096,80
51200,21,3439,1692
51200,34,3558,1047
51200,55,3642,725
51200,89,3715,564
51200,128,3849,726
51200,255,3780,484
100000,1,4096,484
100000,2,4096,484
100000,3,4096,484
100000,5,4096,484
100000,8,3425,1369
100000,13,3545,805
100000,21,3638,564
100000,34,4096,564
100000,55,3652,564
100000,89,3820,565
100000,128,3834,645
100000,255,3847,726
200000,1,641,1128
200000,2,4096,1128
200000,3,4096,1128
200000,5,4096,1128
200000,8,3182,1933
200000,13,3437,1208
200000,21,3539,564
200000,34,4096,564
200000,55,3561,645
200000,89,3829,645
200000,128,3835,645
200000,255,3825,564
400000,1,624,806
400000,2,720,1128
400000,3,4096,1128
400000,5,4096,1128
400000,8,4096,1128
400000,13,3119,1450
400000,21,3420,886
400000,34,788,1532
400000,55,3455,806
400000,89,3818,565
400000,128,3845,726
400000,255,3838,645
800000,1,574,726
800000,2,654,726
800000,3,657,645
800000,5,4096,645
800000,8,1904,1934
800000,13,2605,1773
800000,21,3059,967
800000,34,655,645
800000,55,3120,886
800000,89,3843,726
800000,128,3824,565
800000,255,3826,565
1600000,1,692,565
1600000,2,1159,1614
1600000,3,1837,1694
1600000,5,2579,1210
1600000,8,3848,807
1600000,13,2620,1452
1600000,21,3834,645
1600000,34,3826,565
1600000,55,3840,645
1600000,89,3827,565
1600000,128,3860,807
1600000,255,3841,645
3200000,1,699,1777
3200000,2,793,1131
3200000,3,1282,1292
3200000,5,2325,1454
3200000,8,3827,645
3200000,13,2308,1131
3200000,21,3819,565
3200000,34,3826,565
3200000,55,3860,807
3200000,89,3853,726
3200000,128,3868,888
3200000,255,3863,807
6400000,1,4096,807
6400000,2,4096,807
6400000,3,4096,807
6400000,5,4096,807
6400000,8,3823,645
6400000,13,4096,645
6400000,21,3840,726
6400000,34,3825,565
6400000,55,3865,888
6400000,89,3877,968
6400000,128,3853,726
6400000,255,3862,807
