frequency,duty_cycle,measurement,stabilization_time
100,1,24,405
100,2,0,80
100,3,422,485
100,5,745,485
100,8,1138,485
100,13,1552,405
100,21,1945,324
100,34,2287,243
100,55,4096,243
100,89,2789,162
100,128,4096,162
100,255,3157,162
200,1,0,80
200,2,0,80
200,3,347,484
200,5,679,566
200,8,1074,485
200,13,1510,566
200,21,1926,404
200,34,2283,404
200,55,2571,1295
200,89,2790,162
200,128,4096,162
200,255,3170,1375
400,1,0,80
400,2,0,80
400,3,271,484
400,5,561,403
400,8,928,484
400,13,1420,404
400,21,1865,404
400,34,2246,323
400,55,2551,242
400,89,2791,890
400,128,4096,890
400,255,3171,728
800,1,0,80
800,2,0,80
800,3,0,80
800,5,435,403
800,8,719,403
800,13,1258,403
800,21,1759,403
800,34,2174,323
800,55,2516,242
800,89,2777,242
800,128,2930,161
800,255,4096,161
1600,1,0,80
1600,2,0,80
1600,3,322,403
1600,5,781,403
1600,8,1168,403
1600,13,1779,322
1600,21,2253,323
1600,34,2590,889
1600,55,2842,161
1600,89,4096,161
1600,128,4096,161
1600,255,3332,162
3200,1,0,80
3200,2,0,80
3200,3,306,403
3200,5,603,403
3200,8,1011,403
3200,13,1535,403
3200,21,2059,322
3200,34,2483,242
3200,55,2799,242
3200,89,3021,161
3200,128,3153,161
3200,255,3331,970
6400,1,0,80
6400,2,0,80
6400,3,220,322
6400,5,444,403
6400,8,781,403
6400,13,1263,402
6400,21,1803,322
6400,34,2307,322
6400,55,2699,1293
6400,89,4096,1293
6400,128,3133,1132
6400,255,3325,728
12800,1,261,322
12800,2,578,403
12800,3,912,403
12800,5,1454,403
12800,8,1988,322
12800,13,2473,242
12800,21,2831,161
12800,34,4096,161
12800,55,3273,2021
12800,89,4096,2021
12800,128,3459,162
12800,255,3452,162
25600,1,240,242
25600,2,424,322
25600,3,672,403
25600,5,1155,403
25600,8,1681,322
25600,13,2222,241
25600,21,2669,242
25600,34,2994,161
25600,55,4096,161
25600,89,3371,323
25600,128,3458,323
25600,255,3446,243
51200,1,278,242
51200,2,362,242
51200,3,481,242
51200,5,851,322
51200,8,1344,403
51200,13,1918,322
51200,21,2423,242
51200,34,2829,161
51200,55,4096,161
51200,89,4096,161
51200,128,3460,162
51200,255,3439,404
100000,1,496,242
100000,2,995,322
100000,3,1450,322
100000,5,2061,322
100000,8,2544,242
100000,13,2943,161
100000,21,4096,161
100000,34,998,322
100000,55,3278,1132
100000,89,3459,323
100000,128,3459,162
100000,255,3459,242
200000,1,446,161
200000,2,655,242
200000,3,1021,322
200000,5,1627,322
200000,8,2197,242
200000,13,2693,970
200000,21,3085,161
200000,34,658,242
200000,55,3142,161
200000,89,3460,323
200000,128,3459,323
200000,255,3459,162
400000,1,4096,162
400000,2,4096,162
400000,3,659,242
400000,5,1146,322
400000,8,1730,242
400000,13,2320,242
400000,21,2820,161
400000,34,4096,161
400000,55,2907,161
400000,89,3457,404
400000,128,3456,162
400000,255,3457,323
800000,1,4096,323
800000,2,4096,323
800000,3,4096,323
800000,5,718,242
800000,8,1198,242
800000,13,1839,242
800000,21,2466,161
800000,34,4096,161
800000,55,2587,161
800000,89,3451,162
800000,128,3452,243
800000,255,3453,404
1600000,1,4096,404
1600000,2,730,162
1600000,3,1279,323
1600000,5,2037,242
1600000,8,3450,323
1600000,13,2037,161
1600000,21,3451,970
1600000,34,3450,243
1600000,55,3449,162
1600000,89,3451,404
1600000,128,3450,162
1600000,255,3450,323
3200000,1,569,1618
3200000,2,4096,1618
3200000,3,4096,1618
3200000,5,1920,1617
3200000,8,3446,162
3200000,13,4096,162
3200000,21,3444,162
3200000,34,3444,162
3200000,55,3445,242
3200000,89,3445,243
3200000,128,3444,162
3200000,255,3445,243
6400000,1,585,647
6400000,2,4096,647
6400000,3,4096,647
6400000,5,4096,647
6400000,8,3444,162
6400000,13,4096,162
6400000,21,3443,162
6400000,34,3442,162
6400000,55,3444,162
6400000,89,3443,162
6400000,128,3443,162
6400000,255,3444,323
