frequency,duty_cycle,measurement,stabilization_time
100,1,139,81
100,2,0,80
100,3,0,80
100,5,0,80
100,8,1661,1616
100,13,2064,1374
100,21,2378,1051
100,34,2649,971
100,55,2843,647
100,89,3010,485
100,128,3122,404
100,255,3279,889
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,1580,1532
200,13,2001,1290
200,21,2363,1130
200,34,2624,807
200,55,2837,646
200,89,3009,484
200,128,3119,404
200,255,3268,242
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,1389,1530
400,13,1920,1369
400,21,2309,1128
400,34,2609,967
400,55,2828,645
400,89,3004,483
400,128,3118,403
400,255,3277,323
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,1745,1449
800,21,2220,1207
800,34,2541,885
800,55,2800,644
800,89,2993,483
800,128,3111,403
800,255,3277,484
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,1198,1691
1600,8,1635,1449
1600,13,2225,1126
1600,21,2607,885
1600,34,2854,644
1600,55,3050,483
1600,89,3187,322
1600,128,3271,322
1600,255,4096,322
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,1455,1529
3200,13,1996,1288
3200,21,2447,965
3200,34,2784,724
3200,55,3015,483
3200,89,3181,403
3200,128,3266,322
3200,255,4096,322
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,1180,1610
6400,13,1726,1449
6400,21,2239,1127
6400,34,2653,885
6400,55,2944,563
6400,89,3150,403
6400,128,3251,322
6400,255,4096,322
12800,1,0,80
12800,2,879,1288
12800,3,1326,1449
12800,5,1902,1207
12800,8,2400,1046
12800,13,2784,724
12800,21,3057,483
12800,34,3238,322
12800,55,3346,242
12800,89,4096,242
12800,128,3474,161
12800,255,3471,161
25600,1,0,80
25600,2,0,80
25600,3,1040,1449
25600,5,1601,1288
25600,8,2126,1046
25600,13,2603,885
25600,21,2946,644
25600,34,3185,403
25600,55,3324,242
25600,89,4096,242
25600,128,3474,161
25600,255,4096,161
51200,1,0,80
51200,2,0,80
51200,3,754,1289
51200,5,1263,1207
51200,8,1824,1288
51200,13,2352,965
51200,21,2766,724
51200,34,3084,483
51200,55,3281,322
51200,89,4096,322
51200,128,3473,161
51200,255,3461,161
100000,1,719,966
100000,2,1469,1288
100000,3,1934,1046
100000,5,2485,885
100000,8,2878,644
100000,13,3175,403
100000,21,3348,242
100000,34,1455,1127
100000,55,3372,242
100000,89,4096,242
100000,128,3471,161
100000,255,3472,161
200000,1,511,725
200000,2,1070,1127
200000,3,1520,1127
200000,5,2127,885
200000,8,2624,724
200000,13,3008,483
200000,21,3278,322
200000,34,1085,1208
200000,55,3313,322
200000,89,3468,161
200000,128,3469,161
200000,255,4096,161
400000,1,480,484
400000,2,655,725
400000,3,1102,966
400000,5,1709,1047
400000,8,2278,886
400000,13,2758,644
400000,21,3131,403
400000,34,670,806
400000,55,3180,322
400000,89,3469,161
400000,128,3469,161
400000,255,3469,161
800000,1,418,322
800000,2,528,322
800000,3,656,645
800000,5,1247,1048
800000,8,1804,967
800000,13,2391,725
800000,21,2874,483
800000,34,544,403
800000,55,2952,484
800000,89,3468,161
800000,128,4096,161
800000,255,3468,161
1600000,1,612,403
1600000,2,1200,807
1600000,3,1791,726
1600000,5,2430,564
1600000,8,3467,161
1600000,13,2432,564
1600000,21,4096,564
1600000,34,3469,161
1600000,55,3468,161
1600000,89,3468,161
1600000,128,3468,161
1600000,255,4096,161
3200000,1,522,1616
3200000,2,741,404
3200000,3,1259,1697
3200000,5,2134,889
3200000,8,4096,889
3200000,13,4096,889
3200000,21,3467,161
3200000,34,3468,161
3200000,55,3468,161
3200000,89,3468,161
3200000,128,3468,161
3200000,255,3468,161
6400000,1,4096,161
6400000,2,4096,161
6400000,3,4096,161
6400000,5,4096,161
6400000,8,3466,161
6400000,13,4096,161
6400000,21,3467,161
6400000,34,3467,161
6400000,55,3468,161
6400000,89,3467,161
6400000,128,3467,161
6400000,255,3469,161
