frequency,duty_cycle,measurement,stabilization_time
100,1,1387,1858
100,2,2111,1453
100,3,2351,1049
100,5,2525,726
100,8,2644,565
100,13,2728,404
100,21,2808,323
100,34,2900,323
100,55,2957,243
100,89,3031,243
100,128,3098,243
100,255,3241,243
200,1,812,1211
200,2,1589,1372
200,3,2038,1291
200,5,2352,806
200,8,2523,565
200,13,2645,484
200,21,2734,404
200,34,2813,323
200,55,2902,323
200,89,2964,242
200,128,3028,242
200,255,3172,242
400,1,489,727
400,2,947,1453
400,3,1518,1291
400,5,2022,968
400,8,2336,726
400,13,2531,484
400,21,2648,403
400,34,2735,323
400,55,2830,323
400,89,2907,242
400,128,2981,242
400,255,3135,242
800,1,396,565
800,2,465,888
800,3,773,1049
800,5,1481,1049
800,8,1888,887
800,13,2321,645
800,21,2512,403
800,34,2636,323
800,55,2741,323
800,89,2825,242
800,128,2904,242
800,255,3079,242
1600,1,410,484
1600,2,589,888
1600,3,900,968
1600,5,1571,807
1600,8,1957,726
1600,13,2342,484
1600,21,2518,323
1600,34,2647,323
1600,55,2743,242
1600,89,2867,242
1600,128,2976,242
1600,255,3216,242
3200,1,431,484
3200,2,439,807
3200,3,577,646
3200,5,945,807
3200,8,1345,646
3200,13,1765,565
3200,21,2072,403
3200,34,2269,323
3200,55,2391,242
3200,89,2517,242
3200,128,2629,242
3200,255,2887,242
6400,1,467,565
6400,2,404,727
6400,3,418,727
6400,5,543,646
6400,8,830,646
6400,13,1232,565
6400,21,1670,565
6400,34,2016,404
6400,55,2269,323
6400,89,2434,242
6400,128,2559,242
6400,255,2835,242
12800,1,514,484
12800,2,529,565
12800,3,717,646
12800,5,1081,484
12800,8,1515,565
12800,13,1904,323
12800,21,2248,323
12800,34,2488,242
12800,55,2718,242
12800,89,3014,404
12800,128,3299,242
12800,255,3274,242
25600,1,585,484
25600,2,530,565
25600,3,501,404
25600,5,676,565
25600,8,989,484
25600,13,1406,403
25600,21,1852,323
25600,34,2266,323
25600,55,2577,242
25600,89,2924,323
25600,128,4096,323
25600,255,3118,242
51200,1,639,484
51200,2,560,404
51200,3,563,484
51200,5,552,404
51200,8,626,404
51200,13,942,484
51200,21,1350,404
51200,34,1819,323
51200,55,2259,242
51200,89,2720,404
51200,128,4096,404
51200,255,3026,242
100000,1,665,404
100000,2,607,404
100000,3,636,404
100000,5,930,404
100000,8,1331,323
100000,13,1832,323
100000,21,2458,404
100000,34,625,323
100000,55,2581,323
100000,89,4096,323
100000,128,3023,242
100000,255,3017,242
200000,1,689,323
200000,2,630,323
200000,3,623,323
200000,5,714,323
200000,8,1070,323
200000,13,1549,323
200000,21,2263,404
200000,34,652,323
200000,55,2404,323
200000,89,4096,323
200000,128,2995,242
200000,255,2990,242
400000,1,742,404
400000,2,665,323
400000,3,654,323
400000,5,649,242
400000,8,940,404
400000,13,1391,323
400000,21,2149,404
400000,34,686,323
400000,55,2306,323
400000,89,3027,162
400000,128,3045,242
400000,255,4096,242
800000,1,812,404
800000,2,704,323
800000,3,684,323
800000,5,683,323
800000,8,841,323
800000,13,1324,323
800000,21,2101,404
800000,34,720,323
800000,55,2253,323
800000,89,4096,323
800000,128,2971,242
800000,255,2963,242
1600000,1,807,485
1600000,2,749,323
1600000,3,1199,485
1600000,5,1938,323
1600000,8,4096,323
1600000,13,1928,242
1600000,21,4096,242
1600000,34,2914,242
1600000,55,2912,242
1600000,89,2912,242
1600000,128,4096,242
1600000,255,2888,242
3200000,1,863,1051
3200000,2,4096,1051
3200000,3,996,323
3200000,5,1953,808
3200000,8,4096,808
3200000,13,1963,1940
3200000,21,2920,242
3200000,34,2914,242
3200000,55,2911,242
3200000,89,2905,242
3200000,128,2902,242
3200000,255,2899,242
6400000,1,4096,242
6400000,2,4096,242
6400000,3,1014,1698
6400000,5,4096,1698
6400000,8,2959,242
6400000,13,4096,242
6400000,21,2953,242
6400000,34,2941,242
6400000,55,2929,242
6400000,89,2924,242
6400000,128,2919,242
6400000,255,4096,242
