frequency,duty_cycle,measurement,stabilization_time
100,1,0,81
100,2,0,80
100,3,0,80
100,5,0,80
100,8,0,80
100,13,0,80
100,21,4096,80
100,34,4096,80
100,55,3534,2018
100,89,3583,1453
100,128,3595,969
100,255,3710,1050
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,0,80
200,13,4096,80
200,21,4096,80
200,34,4096,80
200,55,3515,1856
200,89,3562,1291
200,128,3625,1211
200,255,3721,1130
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,0,80
400,13,0,80
400,21,4096,80
400,34,4096,80
400,55,3498,1936
400,89,3548,1290
400,128,3642,1453
400,255,3713,1049
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,0,80
800,21,4096,80
800,34,4096,80
800,55,3415,1774
800,89,3539,1452
800,128,3608,1291
800,255,3672,807
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,0,80
1600,8,0,80
1600,13,4096,80
1600,21,4096,80
1600,34,3395,1936
1600,55,3506,1210
1600,89,3617,1049
1600,128,3664,888
1600,255,3723,565
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,0,80
3200,13,4096,80
3200,21,4096,80
3200,34,4096,80
3200,55,3414,1614
3200,89,3559,1129
3200,128,3646,1049
3200,255,3705,565
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,0,80
6400,13,0,80
6400,21,4096,80
6400,34,4096,80
6400,55,3026,1937
6400,89,3394,1372
6400,128,3529,968
6400,255,3718,969
12800,1,0,80
12800,2,0,80
12800,3,0,80
12800,5,1067,1938
12800,8,1642,1937
12800,13,2264,1775
12800,21,2811,1452
12800,34,3312,1372
12800,55,3548,807
12800,89,3701,727
12800,128,3870,969
12800,255,3804,646
25600,1,0,80
25600,2,0,80
25600,3,0,80
25600,5,0,80
25600,8,916,1453
25600,13,1485,1614
25600,21,2071,1291
25600,34,2671,1291
25600,55,3212,1211
25600,89,3559,807
25600,128,3854,808
25600,255,3770,565
51200,1,0,80
51200,2,0,80
51200,3,0,80
51200,5,0,80
51200,8,0,80
51200,13,880,1534
51200,21,1361,1372
51200,34,1963,1291
51200,55,2544,887
51200,89,3215,1049
51200,128,3872,1050
51200,255,3736,565
100000,1,0,80
100000,2,0,80
100000,3,529,1050
100000,5,834,1049
100000,8,1338,1130
100000,13,1971,968
100000,21,2687,726
100000,34,462,1130
100000,55,2862,888
100000,89,3849,889
100000,128,3844,727
100000,255,3853,808
200000,1,524,969
200000,2,525,1130
200000,3,506,969
200000,5,628,969
200000,8,1033,969
200000,13,1637,888
200000,21,2427,726
200000,34,496,888
200000,55,2604,645
200000,89,3828,727
200000,128,3862,969
200000,255,3859,888
400000,1,580,807
400000,2,575,969
400000,3,561,888
400000,5,568,727
400000,8,884,888
400000,13,1456,726
400000,21,2298,726
400000,34,561,807
400000,55,2485,565
400000,89,3842,889
400000,128,3849,808
400000,255,3860,888
800000,1,621,727
800000,2,622,807
800000,3,606,807
800000,5,589,646
800000,8,791,888
800000,13,1388,727
800000,21,2250,727
800000,34,623,808
800000,55,2417,484
800000,89,3870,1293
800000,128,3815,565
800000,255,3830,646
1600000,1,679,808
1600000,2,665,565
1600000,3,1193,727
1600000,5,2065,727
1600000,8,3826,727
1600000,13,2058,565
1600000,21,3805,565
1600000,34,3839,727
1600000,55,3842,727
1600000,89,3851,807
1600000,128,3833,646
1600000,255,3874,1050
3200000,1,730,1293
3200000,2,718,1132
3200000,3,1025,727
3200000,5,2077,727
3200000,8,3850,969
3200000,13,2072,566
3200000,21,3858,969
3200000,34,3820,565
3200000,55,3831,646
3200000,89,3834,646
3200000,128,3845,727
3200000,255,3855,808
6400000,1,4096,808
6400000,2,4096,808
6400000,3,4096,808
6400000,5,4096,808
6400000,8,3828,727
6400000,13,4096,727
6400000,21,3830,727
6400000,34,3843,727
6400000,55,3854,808
6400000,89,3863,888
6400000,128,3858,808
6400000,255,3871,970
