frequency,duty_cycle,measurement,stabilization_time
100,1,0,161
100,2,0,80
100,3,167,404
100,5,358,404
100,8,600,404
100,13,877,324
100,21,1206,324
100,34,4096,324
100,55,4096,324
100,89,4096,324
100,128,4096,324
100,255,4096,324
200,1,237,809
200,2,260,242
200,3,306,242
200,5,447,404
200,8,622,323
200,13,814,243
200,21,1075,566
200,34,1376,243
200,55,4096,243
200,89,4096,243
200,128,4096,243
200,255,4096,243
400,1,265,647
400,2,262,162
400,3,295,242
400,5,390,323
400,8,525,242
400,13,729,242
400,21,956,242
400,34,1475,1051
400,55,1833,647
400,89,2112,404
400,128,2287,647
400,255,4096,647
800,1,267,647
800,2,255,162
800,3,258,242
800,5,321,242
800,8,422,323
800,13,630,242
800,21,866,242
800,34,1319,970
800,55,1742,404
800,89,2058,404
800,128,2258,162
800,255,2589,324
1600,1,278,405
1600,2,262,162
1600,3,274,242
1600,5,415,323
1600,8,570,242
1600,13,864,242
1600,21,1366,889
1600,34,1772,323
1600,55,2113,161
1600,89,2394,162
1600,128,2548,566
1600,255,2841,243
3200,1,270,566
3200,2,250,162
3200,3,252,243
3200,5,308,242
3200,8,448,242
3200,13,681,242
3200,21,975,242
3200,34,1551,727
3200,55,1966,242
3200,89,2297,242
3200,128,2497,242
3200,255,2819,162
6400,1,273,485
6400,2,244,162
6400,3,233,243
6400,5,236,162
6400,8,311,242
6400,13,484,242
6400,21,750,242
6400,34,1090,161
6400,55,1697,646
6400,89,2118,161
6400,128,2382,161
6400,255,2768,162
12800,1,235,971
12800,2,239,162
12800,3,299,242
12800,5,480,242
12800,8,759,242
12800,13,1133,161
12800,21,1743,646
12800,34,2190,161
12800,55,2548,242
12800,89,2838,243
12800,128,3130,162
12800,255,3091,162
25600,1,277,728
25600,2,260,162
25600,3,259,162
25600,5,319,242
25600,8,480,242
25600,13,767,161
25600,21,1162,161
25600,34,1787,485
25600,55,2269,162
25600,89,2678,243
25600,128,3128,243
25600,255,3070,485
51200,1,317,485
51200,2,301,162
51200,3,289,162
51200,5,288,162
51200,8,331,162
51200,13,491,242
51200,21,780,162
51200,34,1228,323
51200,55,1866,323
51200,89,2427,485
51200,128,3115,404
51200,255,3058,485
100000,1,342,566
100000,2,334,162
100000,3,365,162
100000,5,529,162
100000,8,843,162
100000,13,1452,485
100000,21,2137,162
100000,34,331,647
100000,55,2287,242
100000,89,3124,243
100000,128,3118,162
100000,255,3112,243
200000,1,371,809
200000,2,359,162
200000,3,361,162
200000,5,437,162
200000,8,698,162
200000,13,1180,162
200000,21,1994,323
200000,34,368,566
200000,55,2173,243
200000,89,3132,162
200000,128,3124,162
200000,255,3119,162
400000,1,403,809
400000,2,407,324
400000,3,404,647
400000,5,425,162
400000,8,627,162
400000,13,1099,162
400000,21,1927,323
400000,34,407,1133
400000,55,2130,323
400000,89,3132,243
400000,128,3126,162
400000,255,3109,485
800000,1,495,162
800000,2,446,648
800000,3,451,324
800000,5,455,1376
800000,8,569,162
800000,13,1049,162
800000,21,1892,324
800000,34,448,405
800000,55,2089,243
800000,89,3128,324
800000,128,3121,162
800000,255,3116,162
1600000,1,495,324
1600000,2,530,243
1600000,3,883,162
1600000,5,1729,324
1600000,8,3128,162
1600000,13,1729,162
1600000,21,3124,162
1600000,34,3111,324
1600000,55,3107,162
1600000,89,3103,162
1600000,128,3102,162
1600000,255,3093,324
3200000,1,557,810
3200000,2,529,324
3200000,3,793,892
3200000,5,1775,1786
3200000,8,3114,243
3200000,13,1774,811
3200000,21,3110,162
3200000,34,3100,243
3200000,55,3096,162
3200000,89,3093,162
3200000,128,3087,324
3200000,255,3082,324
6400000,1,4096,324
6400000,2,4096,324
6400000,3,4096,324
6400000,5,4096,324
6400000,8,3110,404
6400000,13,4096,404
6400000,21,3116,162
6400000,34,3108,162
6400000,55,3100,243
6400000,89,3098,162
6400000,128,3094,162
6400000,255,3087,323
