frequency,duty_cycle,measurement,stabilization_time
100,1,85,81
100,2,0,80
100,3,0,80
100,5,0,80
100,8,1638,1614
100,13,2041,1373
100,21,2372,1131
100,34,2626,807
100,55,2832,646
100,89,3001,485
100,128,3116,566
100,255,3268,970
200,1,0,80
200,2,0,80
200,3,0,80
200,5,0,80
200,8,1513,1452
200,13,1963,1291
200,21,2342,1210
200,34,2612,887
200,55,2822,646
200,89,2995,484
200,128,3107,403
200,255,3266,566
400,1,0,80
400,2,0,80
400,3,0,80
400,5,0,80
400,8,1297,1533
400,13,1830,1290
400,21,2255,1210
400,34,2568,968
400,55,2798,645
400,89,2982,484
400,128,3098,403
400,255,3259,323
800,1,0,80
800,2,0,80
800,3,0,80
800,5,0,80
800,8,0,80
800,13,1586,1371
800,21,2096,1210
800,34,2456,887
800,55,2753,725
800,89,2957,484
800,128,3080,403
800,255,3255,323
1600,1,0,80
1600,2,0,80
1600,3,0,80
1600,5,940,1372
1600,8,1359,1210
1600,13,2022,1210
1600,21,2448,806
1600,34,2760,645
1600,55,2993,484
1600,89,3150,322
1600,128,3243,323
1600,255,3369,485
3200,1,0,80
3200,2,0,80
3200,3,0,80
3200,5,0,80
3200,8,1075,1210
3200,13,1622,1129
3200,21,2160,968
3200,34,2593,725
3200,55,2903,564
3200,89,3114,403
3200,128,3218,323
3200,255,4096,323
6400,1,0,80
6400,2,0,80
6400,3,0,80
6400,5,0,80
6400,8,708,1130
6400,13,1182,1129
6400,21,1714,887
6400,34,2252,806
6400,55,2672,564
6400,89,2975,403
6400,128,3137,322
6400,255,4096,322
12800,1,0,80
12800,2,0,80
12800,3,687,888
12800,5,1168,887
12800,8,1711,887
12800,13,2254,725
12800,21,2695,564
12800,34,3022,403
12800,55,3226,242
12800,89,4096,242
12800,128,4096,242
12800,255,4096,242
25600,1,0,80
25600,2,0,80
25600,3,0,80
25600,5,760,888
25600,8,1196,888
25600,13,1724,726
25600,21,2266,645
25600,34,2720,484
25600,55,3069,323
25600,89,3298,242
25600,128,3458,161
25600,255,3435,161
51200,1,0,80
51200,2,0,80
51200,3,0,80
51200,5,474,807
51200,8,771,888
51200,13,1193,726
51200,21,1701,645
51200,34,2235,484
51200,55,2718,403
51200,89,3133,1212
51200,128,3459,161
51200,255,4096,161
100000,1,324,646
100000,2,500,646
100000,3,747,726
100000,5,1159,645
100000,8,1644,565
100000,13,2204,484
100000,21,2755,323
100000,34,494,565
100000,55,2864,323
100000,89,3456,161
100000,128,4096,161
100000,255,4096,161
200000,1,342,484
200000,2,408,565
200000,3,532,646
200000,5,849,646
200000,8,1256,484
200000,13,1798,404
200000,21,2457,323
200000,34,401,484
200000,55,2605,323
200000,89,4096,323
200000,128,3458,162
200000,255,3457,161
400000,1,398,485
400000,2,413,484
400000,3,458,485
400000,5,674,646
400000,8,1057,484
400000,13,1582,404
400000,21,2288,323
400000,34,407,404
400000,55,2449,242
400000,89,3453,161
400000,128,3455,161
400000,255,3456,161
800000,1,485,404
800000,2,436,323
800000,3,461,404
800000,5,555,404
800000,8,903,566
800000,13,1460,404
800000,21,2210,324
800000,34,446,404
800000,55,2372,243
800000,89,3454,161
800000,128,3455,162
800000,255,4096,162
1600000,1,496,324
1600000,2,688,405
1600000,3,1223,566
1600000,5,1997,324
1600000,8,4096,324
1600000,13,2003,405
1600000,21,3454,161
1600000,34,4096,161
1600000,55,4096,161
1600000,89,4096,161
1600000,128,3457,161
1600000,255,3458,161
3200000,1,4096,161
3200000,2,583,649
3200000,3,987,974
3200000,5,1958,816
3200000,8,4096,816
3200000,13,1957,1059
3200000,21,4096,1059
3200000,34,4096,1059
3200000,55,4096,1059
3200000,89,4096,1059
3200000,128,3462,2021
3200000,255,4096,2021
6400000,1,4096,2021
6400000,2,4096,2021
6400000,3,4096,2021
6400000,5,4096,2021
6400000,8,3451,161
6400000,13,4096,161
6400000,21,4096,161
6400000,34,3456,161
6400000,55,4096,161
6400000,89,4096,161
6400000,128,3456,161
6400000,255,4096,161
