frequency,duty_cycle,measurement,stabilization_time
100,1,4096,0
100,2,2992,1424
100,3,3180,1005
100,5,3336,754
100,8,3408,503
100,13,4096,503
100,21,4096,503
100,34,4096,503
100,55,4096,503
100,89,3705,252
100,128,3743,252
100,255,4096,252
200,1,4096,252
200,2,2820,1755
200,3,3110,1254
200,5,3284,753
200,8,3409,586
200,13,3475,419
200,21,3533,335
200,34,4096,335
200,55,4096,335
200,89,3706,251
200,128,4096,251
200,255,4096,251
400,1,4096,251
400,2,4096,251
400,3,2943,1503
400,5,3226,919
400,8,3378,668
400,13,4096,668
400,21,3525,335
400,34,4096,335
400,55,3639,251
400,89,4096,251
400,128,3753,251
400,255,4096,251
800,1,1260,2005
800,2,4096,2005
800,3,2528,1920
800,5,3092,1169
800,8,3293,835
800,13,3436,501
800,21,3498,334
800,34,4096,334
800,55,3628,251
800,89,3752,419
800,128,4096,419
800,255,4096,419
1600,1,4096,419
1600,2,2493,1919
1600,3,2881,1502
1600,5,3272,751
1600,8,3391,501
1600,13,3505,334
1600,21,3563,251
1600,34,3637,251
1600,55,3750,335
1600,89,4096,335
1600,128,4096,335
1600,255,4096,335
3200,1,4096,335
3200,2,2288,1919
3200,3,2704,1502
3200,5,3118,1001
3200,8,3347,668
3200,13,3469,418
3200,21,4096,418
3200,34,3624,251
3200,55,4096,251
3200,89,4096,251
3200,128,4096,251
3200,255,4096,251
6400,1,963,1421
6400,2,4096,1421
6400,3,2291,1836
6400,5,2817,1335
6400,8,3161,835
6400,13,3364,501
6400,21,3487,334
6400,34,4096,334
6400,55,3670,251
6400,89,4096,251
6400,128,4096,251
6400,255,4096,251
12800,1,2066,1587
12800,2,2799,1085
12800,3,3132,751
12800,5,4096,751
12800,8,3502,334
12800,13,4096,334
12800,21,4096,334
12800,34,4096,334
12800,55,4096,334
12800,89,4096,334
12800,128,4096,334
12800,255,4096,334
25600,1,1357,1253
25600,2,2221,1252
25600,3,2717,1085
25600,5,3139,668
25600,8,3353,418
25600,13,3498,334
25600,21,3597,251
25600,34,4096,251
25600,55,4096,251
25600,89,4096,251
25600,128,4096,251
25600,255,4096,251
51200,1,784,585
51200,2,1525,1336
51200,3,2039,1169
51200,5,2670,918
51200,8,3075,585
51200,13,3326,418
51200,21,3478,418
51200,34,3573,251
51200,55,4096,251
51200,89,4096,251
51200,128,4096,251
51200,255,3830,167
100000,1,1677,919
100000,2,2554,835
100000,3,2970,585
100000,5,3259,502
100000,8,3440,418
100000,13,3540,167
100000,21,3790,251
100000,34,2556,751
100000,55,3794,1090
100000,89,4096,1090
100000,128,4096,1090
100000,255,4096,1090
200000,1,878,501
200000,2,1752,835
200000,3,2259,668
200000,5,2866,501
200000,8,4096,501
200000,13,3396,586
200000,21,3519,167
200000,34,1744,668
200000,55,3533,167
200000,89,4096,167
200000,128,4096,167
200000,255,4096,167
400000,1,873,418
400000,2,879,585
400000,3,1435,668
400000,5,2103,585
400000,8,2713,501
400000,13,3067,921
400000,21,4096,921
400000,34,931,585
400000,55,3394,586
400000,89,4096,586
400000,128,4096,586
400000,255,4096,586
800000,1,766,418
800000,2,813,335
800000,3,718,251
800000,5,1293,585
800000,8,1898,502
800000,13,2584,502
800000,21,3004,419
800000,34,851,335
800000,55,3051,251
800000,89,4096,251
800000,128,4096,251
800000,255,4096,251
1600000,1,940,502
1600000,2,1167,502
1600000,3,1801,418
1600000,5,2578,335
1600000,8,4096,335
1600000,13,2608,335
1600000,21,4096,335
1600000,34,4096,335
1600000,55,4096,335
1600000,89,4096,335
1600000,128,4096,335
1600000,255,4096,335
3200000,1,835,586
3200000,2,4096,586
3200000,3,4096,586
3200000,5,4096,586
3200000,8,4096,586
3200000,13,4096,586
3200000,21,4096,586
3200000,34,4096,586
3200000,55,4096,586
3200000,89,4096,586
3200000,128,4096,586
3200000,255,4096,586
6400000,1,4096,586
6400000,2,4096,586
6400000,3,4096,586
6400000,5,4096,586
6400000,8,4096,586
6400000,13,4096,586
6400000,21,4096,586
6400000,34,4096,586
6400000,55,4096,586
6400000,89,4096,586
6400000,128,4096,586
6400000,255,4096,586
