frequency,duty_cycle,measurement,stabilization_time
100,1,1239,261
100,2,2245,1560
100,3,2638,1127
100,5,3013,954
100,8,4096,954
100,13,4096,954
100,21,4096,954
100,34,4096,954
100,55,4096,954
100,89,4096,954
100,128,4096,954
100,255,4096,954
200,1,809,1040
200,2,1649,1472
200,3,2204,1386
200,5,2708,953
200,8,3056,693
200,13,3243,433
200,21,3367,347
200,34,4096,347
200,55,4096,347
200,89,4096,347
200,128,4096,347
200,255,4096,347
400,1,529,607
400,2,881,1300
400,3,1518,1299
400,5,2173,1039
400,8,2640,779
400,13,4096,779
400,21,4096,779
400,34,4096,779
400,55,4096,779
400,89,4096,779
400,128,4096,779
400,255,4096,779
800,1,491,693
800,2,427,867
800,3,733,1213
800,5,1468,1126
800,8,1972,953
800,13,2608,693
800,21,3008,433
800,34,3282,346
800,55,4096,346
800,89,4096,346
800,128,4096,346
800,255,4096,346
1600,1,494,607
1600,2,530,866
1600,3,828,953
1600,5,1584,866
1600,8,2091,779
1600,13,2697,519
1600,21,3113,346
1600,34,4096,346
1600,55,4096,346
1600,89,4096,346
1600,128,4096,346
1600,255,4096,346
3200,1,501,520
3200,2,387,693
3200,3,535,780
3200,5,943,953
3200,8,1420,693
3200,13,2003,606
3200,21,2537,433
3200,34,3013,346
3200,55,3341,260
3200,89,4096,260
3200,128,4096,260
3200,255,4096,260
6400,1,546,607
6400,2,411,780
6400,3,400,780
6400,5,494,693
6400,8,808,780
6400,13,1263,606
6400,21,1815,520
6400,34,2379,433
6400,55,2887,346
6400,89,4096,346
6400,128,4096,346
6400,255,4096,346
12800,1,570,520
12800,2,494,607
12800,3,636,520
12800,5,1055,520
12800,8,1565,520
12800,13,2134,433
12800,21,2667,346
12800,34,4096,346
12800,55,4096,346
12800,89,4096,346
12800,128,4096,346
12800,255,4096,346
25600,1,596,520
25600,2,499,520
25600,3,493,520
25600,5,586,520
25600,8,898,433
25600,13,1392,520
25600,21,1930,346
25600,34,2478,260
25600,55,3024,260
25600,89,4096,260
25600,128,4096,260
25600,255,4096,260
51200,1,624,433
51200,2,558,520
51200,3,531,433
51200,5,529,433
51200,8,557,433
51200,13,837,520
51200,21,1259,347
51200,34,1818,347
51200,55,2411,260
51200,89,4096,260
51200,128,4096,260
51200,255,3768,1041
100000,1,662,433
100000,2,588,433
100000,3,574,347
100000,5,838,433
100000,8,1290,433
100000,13,1892,347
100000,21,2617,260
100000,34,614,433
100000,55,2776,260
100000,89,4096,260
100000,128,4096,260
100000,255,4096,260
200000,1,706,433
200000,2,609,347
200000,3,599,347
200000,5,651,347
200000,8,1038,433
200000,13,1592,260
200000,21,2383,260
200000,34,627,347
200000,55,2568,260
200000,89,4096,260
200000,128,4096,260
200000,255,4096,260
400000,1,732,520
400000,2,638,347
400000,3,630,347
400000,5,632,347
400000,8,899,347
400000,13,1446,260
400000,21,2267,260
400000,34,652,347
400000,55,2472,260
400000,89,4096,260
400000,128,4096,260
400000,255,4096,260
800000,1,838,434
800000,2,650,347
800000,3,684,434
800000,5,659,347
800000,8,827,434
800000,13,1398,347
800000,21,2227,260
800000,34,660,347
800000,55,2420,260
800000,89,4096,260
800000,128,4096,260
800000,255,4096,260
1600000,1,807,607
1600000,2,750,521
1600000,3,1225,347
1600000,5,2052,261
1600000,8,4096,261
1600000,13,2088,261
1600000,21,4096,261
1600000,34,4096,261
1600000,55,4096,261
1600000,89,4096,261
1600000,128,4096,261
1600000,255,4096,261
3200000,1,877,1824
3200000,2,729,1911
3200000,3,1098,869
3200000,5,2122,1391
3200000,8,4096,1391
3200000,13,2132,522
3200000,21,4096,522
3200000,34,4096,522
3200000,55,4096,522
3200000,89,4096,522
3200000,128,4096,522
3200000,255,4096,522
6400000,1,4096,522
6400000,2,4096,522
6400000,3,4096,522
6400000,5,4096,522
6400000,8,4096,522
6400000,13,4096,522
6400000,21,4096,522
6400000,34,4096,522
6400000,55,4096,522
6400000,89,4096,522
6400000,128,4096,522
6400000,255,4096,522
