Designator,Mid X,Mid Y,Rotation,Layer
BZ1_2,49.0,-37.899997,180.0,top
BZ1,21.0,-37.899997,180.0,top
C1_2,28.249999,-17.719997,90.0,top
C1,56.249999,-17.719997,90.0,top
C10_2,21.949999,-17.706306,90.0,top
C10,49.949999,-17.706306,90.0,top
C11_2,43.5,-37.3,270.0,top
C11,15.5,-37.3,270.0,top
C2_2,58.349999,-17.706306,270.0,top
C2,30.349999,-17.706306,270.0,top
C3_2,43.1,-13.089997,0.0,top
C3,15.1,-13.089997,0.0,top
C4_2,21.0,-61.0,0.0,bottom
C4,49.0,-61.0,0.0,bottom
C5_2,26.5,-37.28,270.0,top
C5,54.5,-37.28,270.0,top
C6_2,23.449999,-17.719997,90.0,top
C6,51.449999,-17.719997,90.0,top
C7_2,11.449999,-6.899997,180.0,top
C7,39.449999,-6.899997,180.0,top
C8_2,12.8,-2.449997,90.0,top
C8,40.8,-2.449997,90.0,top
C9_2,39.8,-2.449997,90.0,top
C9,11.8,-2.449997,90.0,top
D1_2,41.7,-20.5,90.0,top
D1,13.7,-20.5,90.0,top
D2_2,44.76505,-14.689997,0.0,top
D2,16.76505,-14.689997,0.0,top
D3_2,11.65,-20.5,90.0,top
D3,39.65,-20.5,90.0,top
L1_2,25.549999,-21.706306,180.0,top
L1,53.549999,-21.706306,180.0,top
R1_2,55.849999,-13.496306,270.0,top
R1,27.849999,-13.496306,270.0,top
R10_2,27.4,-7.899997,270.0,top
R10,55.4,-7.899997,270.0,top
R11_2,18.349999,-26.299997,180.0,top
R11,46.349999,-26.299997,180.0,top
R12_2,46.349999,-29.099997,180.0,top
R12,18.349999,-29.099997,180.0,top
R13_2,41.65,-18.1,0.0,top
R13,13.65,-18.1,0.0,top
R14_2,11.7,-18.1,180.0,top
R14,39.7,-18.1,180.0,top
R15_2,26.849999,-13.496306,270.0,top
R15,54.849999,-13.496306,270.0,top
R16_2,53.349999,-13.996306,180.0,top
R16,25.349999,-13.996306,180.0,top
R17_2,22.2,-12.5,270.0,top
R17,50.2,-12.5,270.0,top
R2_2,55.4,-5.999997,90.0,top
R2,27.4,-5.999997,90.0,top
R3_2,39.449999,-7.899997,180.0,top
R3,11.449999,-7.899997,180.0,top
R4_2,16.549999,-17.289997,180.0,top
R4,44.549999,-17.289997,180.0,top
R5_2,23.2,-12.499997,270.0,top
R5,51.2,-12.499997,270.0,top
R6_2,16.549999,-16.299997,0.0,top
R6,44.549999,-16.299997,0.0,top
R7_2,49.2,-14.25,0.0,top
R7,21.2,-14.25,0.0,top
R8_2,18.5,-12.599997,90.0,top
R8,46.5,-12.599997,90.0,top
R9_2,11.249999,-4.399997,270.0,top
R9,39.249999,-4.399997,270.0,top
U1_2,42.049999,-27.599997,270.0,top
U1,14.049999,-27.599997,270.0,top
U13_2,20.099975,-5.699921,0.0,top
U13,48.099975,-5.699921,0.0,top
U3_2,57.95,-8.199997,180.0,top
U3,29.95,-8.199997,180.0,top
U4_2,40.749999,-35.299997,0.0,top
U4,12.749999,-35.299997,0.0,top
U5_2,53.849999,-17.689663,180.0,top
U5,25.849999,-17.689663,180.0,top
U6_2,12.5,-4.899997,270.0,top
U6,40.5,-4.899997,270.0,top
U7_2,29.249999,-35.299997,180.0,top
U7,57.249999,-35.299997,180.0,top
U8_2,30.649999,-27.599997,90.0,top
U8,58.649999,-27.599997,90.0,top
U9_2,49.0,-44.5,0.0,bottom
U9,21.0,-44.5,0.0,bottom
