Designator,Mid X,Mid Y,Rotation,Layer
BZ1_2,49.001,-37.899997,180.0,top
BZ1,21.001,-37.899997,180.0,top
C1_2,24.001,-20.199975,0.0,top
C1,52.001,-20.199975,0.0,top
C10_2,24.301,-14.95,0.0,top
C10,52.301,-14.95,0.0,top
C11_2,43.501,-37.3,270.0,top
C11,15.501,-37.3,270.0,top
C12_2,24.301,-14.0,0.0,top
C12,52.301,-14.0,0.0,top
C2_2,50.401,-16.6,270.0,top
C2,22.401,-16.6,270.0,top
C3_2,43.101,-13.089997,0.0,top
C3,15.101,-13.089997,0.0,top
C4_2,49.001,-87.25,0.0,bottom
C4,21.001,-87.25,0.0,bottom
C5_2,26.501,-37.28,270.0,top
C5,54.501,-37.28,270.0,top
C6_2,24.301,-15.9,0.0,top
C6,52.301,-15.9,0.0,top
C7_2,39.351,-7.85,180.0,top
C7,11.351,-7.85,180.0,top
C8_2,12.801,-2.449997,90.0,top
C8,40.801,-2.449997,90.0,top
C9_2,11.801,-2.449997,90.0,top
C9,39.801,-2.449997,90.0,top
D1_2,41.701,-20.5,90.0,top
D1,13.701,-20.5,90.0,top
D2_2,16.76605,-14.7,0.0,top
D2,44.76605,-14.7,0.0,top
D3_2,11.651,-20.5,90.0,top
D3,39.651,-20.5,90.0,top
L1_2,54.601,-18.05,270.0,top
L1,26.601,-18.05,270.0,top
R1_2,21.401,-16.6,270.0,top
R1,49.401,-16.6,270.0,top
R10_2,29.061,-18.5,0.0,top
R10,57.061,-18.5,0.0,top
R11_2,46.350999,-26.299997,180.0,top
R11,18.350999,-26.299997,180.0,top
R12_2,18.350999,-29.099997,180.0,top
R12,46.350999,-29.099997,180.0,top
R13_2,13.651,-18.1,0.0,top
R13,41.651,-18.1,0.0,top
R14_2,11.701,-18.1,180.0,top
R14,39.701,-18.1,180.0,top
R15_2,49.402152,-18.5,270.0,top
R15,21.402152,-18.5,270.0,top
R2_2,31.001,-18.5,180.0,top
R2,59.001,-18.5,180.0,top
R3_2,12.251,-6.9,180.0,top
R3,40.251,-6.9,180.0,top
R4_2,45.001,-13.05,180.0,top
R4,17.001,-13.05,180.0,top
R5_2,51.301,-12.5,270.0,top
R5,23.301,-12.5,270.0,top
R6_2,45.001,-12.1,0.0,top
R6,17.001,-12.1,0.0,top
R8_2,18.501,-12.599997,90.0,top
R8,46.501,-12.599997,90.0,top
R9_2,11.250999,-4.399997,270.0,top
R9,39.250999,-4.399997,270.0,top
REF1_2,52.001,-18.05,0.0,top
REF1,24.001,-18.05,0.0,top
U1_2,42.030999,-27.599997,270.0,top
U1,14.030999,-27.599997,270.0,top
U13_2,20.100975,-5.699921,0.0,top
U13,48.100975,-5.699921,0.0,top
U3_2,58.051,-21.0,0.0,top
U3,30.051,-21.0,0.0,top
U4_2,40.750999,-35.299997,0.0,top
U4,12.750999,-35.299997,0.0,top
U6_2,12.501,-4.899997,270.0,top
U6,40.501,-4.899997,270.0,top
U7_2,57.250999,-35.299997,180.0,top
U7,29.250999,-35.299997,180.0,top
U8_2,29.501,-27.6,90.0,top
U8,57.501,-27.6,90.0,top
U9_2,49.001,-44.5,0.0,bottom
U9,21.001,-44.5,0.0,bottom
